PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfEVCars;NumberOfFCEVCars;Eloctrolyzer_Cap;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualH2demand;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;Total Local System Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;Annual MaximumImportElectr.;Annual MaximumExportElectr.;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;1000 units;KWe;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KW;KW;
39987;2187;5334;0;1;22828;59.30466902321054;3.303679392541514E-4;19.3717563818712;0.007758211429854503;9;52.23;1.92;20.78;29.24;0.020016185489024618;0.0;0.0;102.87;9.85;131.24;44.16;22.63;174.30;0.00;98.76;0.00;;;-20020;-14783;29921;37572.0;86151;-12.181;0.819794134;138861.0;0.9226048254860623;0.09921040216135188;0.0014327520923718173;0.0033363817307592598;114.30224386726778;9.85;131.24;44.16;0.002118087968940141;0.0014199064192570953;0.002668096980643849;35.48217449000771;5.253030347773846;18.56537618202909;0.0;0.0;23.583476986633933;2.817919714716754;17.756665155564576;28892;70802;
39972;442;5328;0;1;24602;56.17300700642632;3.2159619165799763E-4;19.37093765238241;0.008585712666240206;10;52.21;0.38;20.59;29.24;0.02215113867889973;0.0;0.0;110.87;1.99;131.1;43.43;23.29;173.59;0.00;98.46;0.00;;;-19840;-14618;29836;37539.0;85862;-12.072;0.8436741219999999;138619.0;0.9231923473694081;0.10303831831643678;0.0010886063057932683;0.0031046794820036696;123.18769044876824;1.99;131.1;43.43;0.00206184966357692;0.0010827060481101393;0.002281576307224219;34.928476467191096;1.2492960931860893;19.991870163693793;0.0;0.0;24.137377408434116;0.6101703517255128;18.6799514502941;29136;70795;
39949;228;5321;0;1;24858;52.424682779417445;2.3763498068113097E-4;19.37395220124054;0.005655125019084422;7;52.18;0.22;20.94;29.24;0.01459022254923781;0.0;0.0;112.02;1.03;130.92;41.13;23.40;173.17;0.00;98.66;0.00;;;-19770;-14538;29823;37599.0;85682;-12.029;0.84765412;138566.0;0.9202284537240765;0.10398915110701504;1.4594017160769515E-4;0.0033539197896794437;124.46809657727164;1.03;130.92;41.13;0.001523549151640935;1.404664297840587E-4;0.0027673675267124768;35.1819282749629;0.2912142126417302;16.948632457856313;0.0;0.0;24.34429435829937;0.21072786149856107;16.570175304324202;29162;70719;
39972;1902;5399;1;0;22757;53.50173730117905;5.57398769621196E-4;19.375358100269978;0.003929462200708646;5;52.21;1.70;21.24;29.24;0.010138012477828307;0.0;0.0;102.55;8.57;132.84;41.45;22.85;173.83;0.01;98.67;0.00;;;-19930;-14697;29895;37652.0;85916;-12.126;0.8277541300000001;138766.0;0.9194521060258987;0.10046388369411925;0.0027801849740836343;3.711289252067346E-4;113.94765484304486;8.57;132.84;41.45;0.003573650731672373;0.002762221863209816;2.6578441211065254E-4;32.15347304066149;4.088280309562971;17.256955944679266;0.0;0.0;22.264596111364362;2.3266390246613797;16.859398092502932;28965;70735;
39988;2748;5405;0;1;21877;59.51453489384953;3.851125475925107E-4;19.375973628418294;0.0034862202744218762;4;52.23;2.59;20.80;29.24;0.00899444830800844;0.0;0.0;98.59;12.39;132.99;44.93;22.45;174.78;0.00;98.80;0.00;;;-20108;-14868;29940;37574.0;86244;-12.235;0.8132814100000001;138890.0;0.9239237363563965;0.09768198419642832;7.752255811901927E-4;0.003961031916381803;109.5411536212797;12.39;132.99;44.93;0.0024690720763798635;7.682662380516445E-4;0.0038877390359285144;34.0042171975245;4.430597306955679;21.07506438409537;0.0;0.0;22.60163199767447;2.8986458420694525;19.426086557365828;28849;70804;
39990;38;5399;0;0;24620;47.56229855048062;6.93595296771756E-4;19.3707363525458;0.008415013397734462;10;52.23;0.03;21.23;29.24;0.02171073456615491;0.0;0.0;110.95;0.17;132.84;39.15;23.59;172.94;0.01;98.82;0.00;;;-19713;-14472;29801;37648.0;85504;-11.994;0.855528662;138481.0;0.9187938288920056;0.1049012085377372;0.0015129638690629364;6.376304736344908E-4;123.2793435348576;0.17;132.84;39.15;0.00444684752619276;0.0014528504249602264;4.7989538667122443E-4;30.127398824581316;0.0974223797776417;17.33554460031003;0.0;0.0;22.18101705953769;0.05019651886316466;16.919623035402935;29229;70748;
39993;197;5326;1;1;24857;52.405572727134185;2.373008465245259E-4;19.37395220124054;0.0056554591532410265;7;52.24;0.19;20.97;29.24;0.014591084615361847;0.0;0.0;112.02;0.89;131.06;41.12;23.41;173.19;0.00;98.48;0.00;;;-19770;-14547;29821;37602.0;85684;-12.029;0.8490159380000001;138560.0;0.9202396554952256;0.10405932451526793;0.0036013382346958504;0.0036462013060352726;124.46412445540908;0.89;131.06;41.12;0.0015214069173226927;0.0034661478211384885;0.003011021665563247;35.18080552214261;0.2515533096796477;16.966736725825225;0.0;0.0;24.34384584340668;0.18205282836937223;16.58787903353366;29169;70741;
39993;197;5326;1;1;24857;52.405572727134185;2.373008465245259E-4;19.37395220124054;0.0056554591532410265;7;52.24;0.19;20.97;29.24;0.014591084615361847;0.0;0.0;112.02;0.89;131.06;41.12;23.41;173.19;0.00;98.48;0.00;;;-19770;-14547;29821;37602.0;85684;-12.029;0.8490159380000001;138560.0;0.9202396554952256;0.10405932451526793;0.0036013382346958504;0.0036462013060352726;124.46412445540908;0.89;131.06;41.12;0.0015214069173226927;0.0034661478211384885;0.003011021665563247;35.18080552214261;0.2515533096796477;16.966736725825225;0.0;0.0;24.34384584340668;0.18205282836937223;16.58787903353366;29169;70741;
39995;157;5402;1;1;24481;50.936883796939945;4.971825015210366E-4;19.371574336329928;0.007773442408858366;9;52.24;0.14;20.84;29.24;0.020055481414854585;0.01;0.0;110.32;0.71;132.93;41.38;23.51;173.35;0.01;98.83;0.00;;;-19779;-14536;29810;37583.0;85657;-12.033;0.8526341180000001;138514.0;0.9220177040888013;0.10409231435960889;0.005318390988693936;0.0042796228179947;122.58175393341266;0.71;132.93;41.38;0.003187586172001822;0.0027907114741518154;0.003376846986868373;29.95328892999545;0.4138487886877531;20.563578519795726;0.0020307409149391783;0.0;22.053785177962485;0.2111614977021146;19.1162472288439;29214;70807;
