-0.565,5887,-0.364,3659,-0.565,2835
-0.564,5789,-0.36,3646
-0.564,5789,-0.356,3638
-0.563,5721,-0.351,3628
-0.562,5657,-0.342,3603
-0.561,5589,-0.332,3579
-0.56,5513,-0.328,3569
-0.559,5470,-0.321,3554
-0.558,5416,-0.303,3525
-0.557,5363,-0.302,3522
-0.556,5319,,
-0.555,5258,,
-0.554,5236,,
-0.553,5188,,
-0.552,5144,,
-0.55,5083,,
-0.549,5048,,
-0.548,5007,,
-0.546,4951,,
-0.545,4929,,
-0.543,4870,,
-0.542,4869,,
-0.541,4826,,
-0.54,4802,,
-0.539,4783,,
-0.538,4781,,
-0.536,4725,,
-0.534,4690,,
-0.532,4672,,
-0.531,4649,,
-0.529,4622,,
-0.528,4614,,
-0.527,4603,,
-0.526,4588,,
-0.525,4576,,
-0.523,4535,,
-0.521,4520,,
-0.519,4493,,
-0.516,4475,,
-0.514,4452,,
-0.511,4401,,
-0.509,4389,,
-0.506,4346,,
-0.506,4346,,
-0.501,4322,,
-0.5,4297,,
-0.499,4281,,
-0.493,4278,,
-0.492,4232,,
-0.489,4210,,
-0.487,4203,,
-0.486,4183,,
-0.485,4178,,
-0.484,4163,,
-0.482,4156,,
-0.479,4131,,
-0.476,4111,,
-0.472,4096,,
-0.469,4075,,
-0.465,4061,,
-0.463,4034,,
-0.456,3993,,
-0.455,3992,,
-0.452,3978,,
-0.445,3974,,
-0.443,3933,,
-0.441,3927,,
-0.438,3909,,
-0.438,3909,,
-0.434,3890,,
-0.43,3873,,
-0.425,3869,,
-0.421,3843,,
-0.421,3843,,
-0.413,3815,,
-0.41,3813,,
-0.409,3808,,
-0.406,3792,,
-0.4,3778,,
-0.399,3773,,
-0.398,3769,,
-0.392,3746,,
-0.389,3736,,
-0.389,3736,,
-0.385,3721,,
-0.382,3716,,
-0.376,3703,,
-0.374,3688,,
-0.372,3681,,
-0.366,3666,,
-0.364,3659,,
-0.36,3646,,
-0.356,3638,,
-0.351,3628,,
-0.342,3603,,
-0.332,3579,,
-0.328,3569,,
-0.321,3554,,
-0.303,3525,,
-0.302,3522,,
-0.29,3503,,
-0.279,3490,,
-0.277,3485,,
-0.266,3471,,
-0.259,3463,,
-0.257,3456,,
-0.253,3453,,
-0.249,3448,,
-0.242,3447,,
-0.239,3437,,
-0.238,3434,,
-0.235,3432,,
-0.232,3426,,
-0.227,3422,,
-0.217,3418,,
-0.207,3402,,
-0.205,3397,,
-0.19,3378,,
-0.182,3373,,
-0.169,3357,,
-0.158,3353,,
-0.157,3352,,
-0.15,3339,,
-0.143,3335,,
-0.131,3322,,
-0.126,3319,,
-0.119,3313,,
-0.102,3311,,
-0.098,3298,,
-0.093,3295,,
-0.09,3291,,
-0.075,3283,,
-0.075,3283,,
-0.066,3272,,
-0.055,3264,,
-0.046,3257,,
-0.035,3254,,
-0.031,3246,,
-0.029,3244,,
-0.005,3230,,
-0.002,3227,,
0.001,3225,,
0.011,3220,,
0.023,3212,,
0.03,3209,,
0.031,3206,,
0.036,3204,,
0.045,3198,,
0.053,3195,,
0.054,3194,,
0.055,3190,,
0.063,3186,,
0.072,3185,,
0.076,3178,,
0.097,3164,,
0.097,3164,,
0.115,3153,,
0.124,3149,,
0.125,3147,,
0.129,3144,,
0.144,3135,,
0.148,3133,,
0.148,3133,,
0.157,3128,,
0.167,3127,,
0.177,3115,,
0.19,3106,,
0.197,3102,,
0.203,3100,,
0.209,3098,,
0.212,3096,,
0.215,3092,,
0.219,3089,,
0.229,3082,,
0.24,3076,,
0.242,3075,,
0.243,3073,,
0.248,3071,,
0.263,3061,,
0.27,3058,,
0.271,3056,,
0.275,3053,,
0.279,3051,,
0.289,3050,,
0.296,3042,,
0.301,3039,,
0.313,3030,,
0.315,3028,,
0.327,3026,,
0.333,3025,,
0.339,3017,,
0.34,3013,,
0.34,3013,,
0.356,3010,,
0.364,3003,,
0.368,2998,,
0.37,2995,,
0.38,2991,,
0.394,2979,,
0.408,2969,,
0.417,2965,,
0.421,2962,,
0.431,2957,,
0.433,2955,,
0.446,2948,,
0.449,2945,,
0.449,2945,,
0.461,2936,,
0.474,2933,,
0.476,2928,,
0.481,2927,,
0.486,2924,,
0.489,2919,,
0.499,2914,,
0.503,2910,,
0.518,2904,,
0.522,2898,,
0.53,2897,,
0.535,2891,,
0.538,2887,,
0.544,2885,,
0.545,2884,,
0.556,2876,,
0.568,2870,,
0.578,2863,,
0.583,2861,,
0.585,2860,,
0.588,2858,,
0.595,2852,,
0.603,2848,,
0.609,2843,,
0.619,2837,,
0.619,2837,,
0.619,2837,,
0.619,2837,,
0.621,2835,,
