PV_C HP_Heat_P OilBoilerHeat NgasBoilerHeat BiomassBoilerHeat AnlPV_P AnlImport AnlExport AnlOilBoilerFuel AnlNgasBoilerFuel AnlBiomassBoilerFuel AnlOilCost AnlLPGCost AnlBiomassCost AnlElecExchage TotalVariableCost FixedOperationalCost AdditionalCost InvestmentCost CO2Emission AnnualCost LoadFollowingCapacity
(KW) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (Mt) (KEuro)
9826 0.03241876322065968 9.082770396529131E-4 1.6522225397772332E-4 26.01650773748571 16.53 1.33 17.55 0.0011353462995661414 1.8358028219747033E-4 37.16643962497959 0.0 0.0 2007.0 -838.0 1221.0 810.0 1784.0 1146.2934682858981 -9.139 4961.293468285898 0.9076923076923078 
5778 0.0015639655915328748 5.650420804935871E-4 3.400737595327106E-4 26.04753091856844 9.72 2.07 11.50 7.063026006169839E-4 3.7785973281412283E-4 37.210758455097775 0.0 0.0 2009.0 -469.0 1591.0 709.0 1783.0 114.21188257620497 -5.308 4197.2118825762045 0.6524038461538462 
7965 0.001260256647928472 2.493795650994587E-4 1.9480386137052752E-4 26.048295559925602 13.40 1.63 14.73 3.1172445637432335E-4 2.1644873485614167E-4 37.21185079989372 0.0 0.0 2009.0 -679.0 1382.0 763.0 1783.0 671.211882576205 -7.381 4599.2118825762045 0.7865384615384615 
5937 0.0021853262163294943 6.00955572521992E-4 4.140901321697995E-4 26.046799628078983 9.99 2.04 11.73 7.511944656524899E-4 4.6010014685533276E-4 37.20971375439855 0.0 0.0 2009.0 -485.0 1576.0 713.0 1783.0 155.25787117016034 -5.459 4227.257871170161 0.6620192307692307 
5577 0.001460132553465162 4.1167931804004637E-4 2.0358947608329524E-4 26.04792459865241 9.38 2.12 11.20 5.145991475500579E-4 2.2621052898143915E-4 37.211320855217735 0.0 0.0 2009.0 -450.0 1611.0 704.0 1783.0 63.21188257620497 -5.118 4161.2118825762045 0.6403846153846153 
5710 0.0013668914299684975 4.2938666330297285E-4 2.7215206094406046E-4 26.047931569845787 9.61 2.09 11.40 5.36733329128716E-4 3.0239117882673386E-4 37.21133081406541 0.0 0.0 2009.0 -463.0 1598.0 707.0 1783.0 97.21188257620497 -5.244 4185.2118825762045 0.6485576923076923 
6195 0.21529049197919742 5.868839512421964E-4 4.7338505218453766E-4 25.833649239017376 10.42 2.01 12.07 7.336049390527455E-4 5.259833913161529E-4 36.90521319859625 0.0 0.0 1993.0 -506.0 1538.0 718.0 1789.0 229.55303957427887 -5.666 4274.553039574279 0.6769230769230768 
9509 8.363227394235761E-4 1.2438849863166568E-4 2.2332856618464158E-4 26.048815960195764 16.00 1.37 17.07 1.5548562328958208E-4 2.481428513162684E-4 37.212594228851096 0.0 0.0 2009.0 -813.0 1248.0 802.0 1783.0 1064.211882576205 -8.844 4897.2118825762045 0.8865384615384616 
6326 5.821359179832696E-4 5.420237227132766E-4 3.3472112515025036E-4 26.048541119234155 10.64 1.95 12.30 6.775296533915957E-4 3.7191236127805593E-4 37.212201598905935 0.0 0.0 2009.0 -523.0 1538.0 722.0 1783.0 254.21188257620497 -5.828 4297.2118825762045 0.6850961538461539 
9059 1.310760972260977E-4 6.284476990408373E-4 1.2467803625514816E-4 26.049115798167477 15.24 1.44 16.39 7.855596238010466E-4 1.3853115139460907E-4 37.213022568810686 0.0 0.0 2010.0 -776.0 1285.0 791.0 1783.0 950.211882576205 -8.418 4809.2118825762045 0.8572115384615385 
8688 0.001016268532495387 4.1903567146461536E-4 2.5904678081156436E-4 26.04830564901523 14.62 1.50 15.82 5.237945893307691E-4 2.8782975645729375E-4 37.211865212878905 0.0 0.0 2009.0 -744.0 1317.0 782.0 1783.0 855.211882576205 -8.066 4737.2118825762045 0.8326923076923077 
5357 0.00107969521159447 4.962338100956075E-4 1.6565270531573536E-4 26.048258418272997 9.01 2.17 10.88 6.202922626195093E-4 1.8405856146192818E-4 37.21179774039 0.0 0.0 2009.0 -428.0 1633.0 698.0 1783.0 7.211882576204971 -4.909 4121.2118825762045 0.6274038461538461 
8174 0.00318026293904317 1.231481848625421E-4 2.350512832215668E-4 26.046461537592876 13.75 1.59 15.05 1.5393523107817763E-4 2.6116809246840754E-4 37.20923076798982 0.0 0.0 2009.0 -698.0 1362.0 769.0 1783.0 725.2578711701603 -7.578 4639.257871170161 0.8 
7499 0.0017753387674815904 3.2409352779152475E-4 0.0011196846887424946 26.046780883015987 12.62 1.72 14.04 4.051169097394059E-4 0.0012440940986027718 37.20968697573713 0.0 0.0 2009.0 -636.0 1425.0 752.0 1783.0 553.211882576205 -6.939 4513.2118825762045 0.7576923076923077 
9247 3.637885682077801E-4 9.313733171194124E-5 2.7232052112465465E-4 26.049270753578956 15.56 1.41 16.67 1.1642166463992654E-4 3.0257835680517185E-4 37.213243933684225 0.0 0.0 2010.0 -792.0 1269.0 796.0 1783.0 998.211882576205 -8.596 4846.2118825762045 0.8692307692307693 
