PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfEVCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;Total Local System Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;Annual MaximumImportElectr.;Annual MaximumExportElectr.;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KW;KW;
39187;273;7470;3;12;15755;0.35266906050855523;3.2204828494758947E-4;19.37952291295536;51.19;0.32;33.64;29.25;0.01;0.06;71.0;1.23;183.81;0.32;31.07;159.91;0.01;86.17;0.04;;;-5709;-1985;29446;37006.0;83475;-10.193;1.1351685260000002;147942.0;0.8173064578251379;0.13292837841188768;0.015202500040782715;0.05560265055144457;84.52409733727006;1.23;183.81;0.32;0.0020647481692844805;0.011634793986238661;0.03931111638322701;0.09693520126211742;0.06834096424054896;0.13644698463642319;0.003604909588468768;0.01870355348043797;0.09693520126211867;0.06834096424054988;0.1364469846364253;36868;69507;
39604;7730;7173;3;18;9915;5.272546148180837;3.2204828494758947E-4;19.37952291295536;51.73;8.26;32.30;29.25;0.01;0.08;44.68;34.84;176.5;5.09;26.96;165.62;0.01;98.63;0.05;;;-6182;-1919;29834;36794.0;84369;-10.968;0.989461328;149078.0;0.8289071579219215;0.1096376229602359;0.014589301341407462;0.08026434172752563;53.19147745154194;34.84;176.5;5.09;0.0020647481692844805;0.007877431024406713;0.06666774375981305;0.39571401460098166;4.675555197662049;0.12673176113358717;0.0033144612096996325;0.026910819452606687;0.39571401460098937;4.535144554599956;0.12673176113358733;35659;69794;
937;63;8605;7;17;9762;0.13190127434313403;19.134302902436282;0.24554205880402846;1.22;0.07;38.78;0.37;0.03;0.08;43.99;0.29;211.73;0.11;33.79;136.16;122.70;52.71;0.06;;;-4437;15374;26752;33245.0;71325;24.592;33.921583022;146696.0;0.8095555661410946;0.32780428122478883;0.03627920174831149;0.07613274215023016;52.37108786870942;0.29;211.73;0.11;122.67575619838973;0.025144671604698333;0.025446743453633063;0.028208110128356292;0.03999592635485319;0.013105822801593153;0.010105693133634597;0.017513295556555702;0.028208110128356185;0.03852916954289255;0.013105822801593434;31258;53301;
1018;22;8600;0;14;9836;0.30806598434650845;4.047312800514206;15.332532160726101;1.33;0.03;38.75;23.14;0.0;0.06;44.33;0.1;211.62;0.29;41.00;120.68;25.95;52.64;0.05;;;-3433;2550;28475;36850.0;79290;0.611;8.4054538;147165.0;0.6948897580263893;0.21589426779549578;0.0023665964018533725;0.06492447874308616;52.769507513159226;0.1;211.62;0.29;25.948536557936727;0.0017478837058701926;0.03653888058436749;0.2331018437972322;0.0015198195403216975;0.03515755671871687;0.0;0.01817176764815338;0.23310184379723603;0.0015198195403217248;0.03515755671871713;35403;53331;
1019;27;8599;8;23;9823;0.09622866574075294;1.0782635722008163;18.30158138903949;1.33;0.03;38.75;27.62;0.03;0.1;44.27;0.12;211.58;0.07;42.68;117.89;6.94;52.85;0.08;;;-3235;43;28814;37557.0;80841;-4.092;3.409239224;147255.0;0.6770820156019397;0.19162647983739886;0.0386726271983386;0.10534471438097938;52.70088598332083;0.12;211.58;0.07;6.913071240451093;0.02081255789055761;0.03799356209392885;0.0217150461199602;0.002977690362861665;0.01272980927344461;0.009548551352625442;0.024187133070386713;0.021715046119960474;0.002977690362861742;0.01272980927344486;36932;53330;
1407;7;8604;1;14;9834;0.4300372695915902;3.588394494413974;15.791450466826335;1.84;0.01;38.77;23.83;0.0;0.06;44.32;0.03;211.7;0.42;41.12;120.59;23.01;52.36;0.05;;;-3424;2127;28530;36960.0;79566;-0.154;7.627795616;147183.0;0.6929042762875995;0.2117549809034769;0.00444624986128539;0.0645856575106666;52.75598648362974;0.03;211.7;0.42;23.00627362203631;0.0026016776753769928;0.02660584873082515;0.36790324790141615;0.0040891283270123166;0.028837366956959598;0.0;0.01571385672576562;0.36790324790142814;0.003951249704217059;0.028837366956959664;35643;53463;
39213;9790;7547;2;0;5836;0.8699698488956901;3.23321821258451E-4;19.379521639419053;51.22;11.91;33.97;29.25;0.01;0.0;26.3;44.12;185.69;0.87;26.60;166.73;0.01;97.24;0.00;;;-6251;-2052;29887;37059.0;84390;-11.096;0.9644358800000001;149284.0;0.8261965811965811;0.1055129999032417;0.008350039010350275;3.0326938468273976E-4;31.307746263693016;44.12;185.69;0.87;0.002072913192634307;0.005538279003506783;1.0143199326685444E-4;0.17995701233392214;0.4616923204923468;0.2226808050726475;0.002909393166776069;0.0;0.17995701233392694;0.4616923204923601;0.22268080507265184;35562;70059;
1006;33;9186;2;26;6612;0.5960719113537098;5.1408912374547215;14.238953723785588;1.31;0.04;41.35;21.49;0.01;0.12;29.8;0.15;226.04;0.59;41.69;120.42;32.97;35.33;0.10;;;-3381;2862;28298;36998.0;78976;2.568;10.311419242;147134.0;0.6939046314527866;0.2304176102710276;0.01191579125554338;0.1166914560491235;35.474442665951926;0.15;226.04;0.59;32.95979599069346;0.006706859889804686;0.018623311052836124;0.2932254317440775;0.015291561350148712;0.26222474731684287;0.003144579150999561;0.017292777606178672;0.29322543174408344;0.015291561350149203;0.2622247473168479;35142;53209;
39604;7619;7194;3;18;9915;5.067538517270521;3.2204828494758947E-4;19.37952291295536;51.73;8.15;32.41;29.25;0.01;0.08;44.68;34.34;177.0;4.92;27.05;165.48;0.01;97.97;0.06;;;-6171;-1936;29827;36813.0;84354;-10.948;0.9947176900000001;149058.0;0.8282997762863534;0.11011974156725843;0.01489652586483768;0.07987502307475773;53.19161077968526;34.34;177.0;4.92;0.0020647481692844805;0.00804331559527776;0.027851392043857476;0.3966782541675083;4.608517768913242;0.02644778655063563;0.0033335387396548023;0.01843668787329544;0.3966782541675077;4.470105277026887;0.02644778655063625;35686;69783;
1038;34;8597;0;37;9824;0.5862024447972364;10.581452096470198;8.798392864770111;1.36;0.04;38.74;13.28;0.0;0.17;44.27;0.15;211.52;0.52;37.62;127.22;67.84;52.40;0.11;;;-3872;8092;27730;35285.0;75865;10.999;19.457159316;146972.0;0.7398563734290844;0.2668393777691001;1.7523392983108394E-4;0.16686327481887545;52.704456868556576;0.15;211.52;0.52;67.84086382609938;1.0191003705325058E-4;0.11726702599870038;0.4429582062883611;0.0016586996016313793;0.02421660287149026;0.0;0.05400029821223857;0.44295820628836874;0.0016586996016313906;0.024216602871490488;32031;53339;
