1209	2096	8635	1	7	19263	2238.518251	18725.70823	654.1367293
1253	174	8639	6	174	20959	2195.455494	18653.59199	726.252971
4275	148	8736	7	21	20613	2477.250214	18909.59042	470.2545398
958	173	8463	12	118	22016	3424.19956	18867.64299	512.2019747
989	21	8473	12	96	22137	2977.68806	18911.08846	468.7565013
3060	515	8719	2	24	20344	1220.008249	19149.2093	230.635658
1652	1167	8679	11	11	19923	2977.68806	19229.68033	150.1646286
1262	2431	8680	9	2	18670	3746.07039	19327.80428	52.04068449
1279	9	8681	10	1	21082	3932.703178	19327.80428	52.04068449
1247	697	8594	10	7	20886	802.3398844	19373.20592	6.639043365
1164	258	7531	15	27	20748	903.0726961	13742	5638
1164	39	7531	20	21	20964	822.1987125	13742	5638
1063	2	7443	3	17	21567	444.2642553	13884	5495
1077	64	7431	1	4	21599	367.0174568	14271	5108
1100	40	7449	3	17	21491	984.7486539	14509	4871
1726	43	7467	5	15	21376	168.5225866	14865	4515
1082	318	7494	9	2	20952	731.382279	15252	4128
1071	53	7466	3	5	21389	85.86898918	15509	3871
1066	32	7467	18	4	21388	1005.018697	15986	3393
1074	78	7418	4	0	21662	298.1909036	16221	3159
39631	19549	6891	1	6	4242	85998.25088	1.977351815	19377.86761
39356	12862	7392	1	28	7327	9158.228456	0.170821275	19379.67414
39656	1048	7109	1	1	20447	11670.99681	0.670936634	19379.17402
35423	806	7089	7	11	20788	16663.888	0.650903479	19379.19406
34993	33	9299	4	2	7174	248.8310427	5.687160464	19374.1578
1218	288	7109	3	0	21170	1557.342706	0.670936634	19379.17402
2091	239	7470	3	20	18845	583.0156304	46.39445879	19333.4505
1062	15	9298	1	2	7201	837.0474502	2.454912244	19377.39005
1019	6	8603	8	24	11695	235.834898	1306.021387	18073.82357
953	35	9298	1	4	7180	730.101966	1662.892045	17716.95292
