PV_Cap Biomass_CHP_Cap HP_Cap Oil_boiler_Cap LPG_boiler_Cap Biomass_boiler_Cap AnnualPV AnnualCHPelec AnnualHPelec AnnualOilBoilerheat AnnualLPGBoilerheat AnnualBiomassBoilerheat AnnualBiomassmCHPheat AnnualHPheat AnnualImport AnnualExport OilConsumption BiomassConsumption LPGConsuption DieselCost PetrolCost BiomassCost TotalElectricityExchangeCost TotalVariableCost FixedOperationCosts AdditionalCost InvestmentCost CO2-Emission AnnualCost LoadFollowingCapacity ESD oilBoilerFuelDemand ngasBoilerFuelDemand biomassBoilerFuelDemand AnnualmCHPheat AnnualHPheat 
KWe KWe KWe KWth KWth KWth GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh KEuro KEuro KEuro KEuro KEuro KEuro KEuro KEuro Mt KEuro   GWh GWh GWh GWh GWh 
12691 1198 993 1034 683 18616 15.52;0.84;3.09;2.15;1.42;38.63;3.73;9.89;5.64;16.03;29.72;56.17;1.57;2651.0;2074.0;3033.0;-389.0;7797.0;910.0;3109.0;4020.5522923996787;2.173;15836.55229239968;0.7403484796720192;0.31730499213415797;2.68320638412496;1.5740509485355634;51.51212983453376;3.73;9.89;
40487 65 1321 76 2221 18160 49.51;0.05;4.11;0.16;4.61;37.69;0.2;13.16;6.17;48.72;27.24;50.50;5.12;2291.0;2074.0;2727.0;-827.0;7540.0;1360.0;3220.0;8017.710856368748;-16.186;20137.710856368747;1.8121492241663917;0.34615596468808213;0.19742394578488032;5.1214341692369265;50.25038301103486;0.2;13.16;
7683 12114 1320 104 799 1488 9.40;8.48;4.11;0.22;1.66;3.09;37.71;13.15;2.07;12.96;27.31;51.25;1.84;2301.0;2074.0;2768.0;-536.0;7098.0;1651.0;3218.0;9615.187106830323;1.306;21582.187106830323;0.4962033674480027;0.21829438185380562;0.27009645019118195;1.8423903098844687;4.117490339471451;37.71;13.15;
13225 9722 1159 42 1209 5501 16.17;6.81;3.61;0.09;2.51;11.42;30.26;11.54;2.40;18.89;27.15;53.05;2.79;2278.0;2074.0;2865.0;-746.0;7188.0;1582.0;3165.0;9057.529739644817;-1.753;20992.529739644815;0.7146693521315878;0.23971725341658795;0.10927130776386769;2.7883916291577746;15.221372998193234;30.26;11.54;
30428 11309 1370 418 685 2256 37.21;7.92;4.26;0.87;1.42;4.68;35.21;13.64;2.02;40.01;28.12;50.25;1.58;2419.0;2074.0;2713.0;-1146.0;6490.0;2040.0;3234.0;12927.523351562806;-14.055;24691.523351562806;1.380749014454665;0.24269350952718796;1.0839427692632153;1.5800367386855787;6.242499428449808;35.21;13.64;
41247 13716 1083 553 56 515 50.44;9.61;3.37;1.15;0.12;1.07;42.7;10.79;1.26;55.06;28.48;54.80;0.13;2470.0;2074.0;2959.0;-1400.0;6186.0;2461.0;3139.0;16110.244079613693;-23.314;27896.244079613694;1.9059221658206429;0.22481635392740765;1.4355290719644067;0.12902912871346273;1.4260323868076192;42.7;10.79;
29004 5059 970 531 1188 12934 35.47;3.54;3.02;1.1;2.47;26.84;15.75;9.66;3.53;36.64;28.42;55.47;2.74;2462.0;2074.0;2996.0;-949.0;7289.0;1541.0;3102.0;8829.001776411746;-10.949;20761.001776411744;1.3756849315068493;0.28430791829626656;1.3772862099744876;2.740252643858215;35.78875002671347;15.75;9.66;
5036 11424 1362 706 88 2431 6.16;8.00;4.24;1.46;0.18;5.05;35.56;13.57;2.44;9.47;28.87;51.18;0.20;2528.0;2074.0;2764.0;-315.0;7149.0;1541.0;3233.0;8768.56530594227;3.587;20691.56530594227;0.3915187376725838;0.22017627350553234;1.831148654718875;0.20278272166632683;6.726730955097942;35.56;13.57;
36125 13469 1031 338 190 1219 44.18;9.43;3.21;0.7;0.39;2.53;41.93;10.27;1.28;48.80;27.92;55.78;0.44;2389.0;2074.0;3012.0;-1353.0;6278.0;2342.0;3122.0;15096.50604475512;-19.804;26838.506044755122;1.703980945899966;0.22129367501403516;0.8765277756730467;0.43816542425102234;3.3725789026385953;41.93;10.27;
41247 7645 2294 61 922 3435 50.44;5.35;7.14;0.13;1.91;7.13;23.8;22.85;4.75;50.52;27.20;39.25;2.13;2285.0;2074.0;2120.0;-961.0;6077.0;1921.0;3540.0;12740.17884240212;-18.647;24278.17884240212;1.658763505402161;0.2939162006832428;0.15852763848593063;2.1259059712520685;9.504587324192356;23.8;22.85;
