PV_C HP_Heat_P AnlPV_P AnlImport AnlExport AnlOilBoilerHeat AnlOilBoilerFuel AnlNgasBoilerHeat AnlNgasBoilerFuel AnlBiomassBoilerHeat AnlBiomassBoilerFuel AnlOilCost AnlLPGCost AnlBiomassCost AnlElecExchage TotalVariableCost FixedOperationalCost AdditionalCost InvestmentCost CO2Emission AnnualCost
(KW) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (Mt) (KEuro)
5569 13.472897426612263 5.97 4.47 10.11 0 0 0 0 8.807102573387738 12.581575104839626 0.0 0.0 679.0 -246.0 478.0 699.0 1567.0 582.0838946161471 -3.176 3326.083894616147 
5569 13.472897426612263 5.97 4.47 10.11 0 0 0 0 8.807102573387738 12.581575104839626 0.0 0.0 679.0 -246.0 478.0 699.0 1567.0 582.0838946161471 -3.176 3326.083894616147 
10032 13.43068246390247 10.75 4.23 14.67 0 0 0.0393175360975313 0.043686151219479226 8.81 12.585714285714287 0.0 4.0 680.0 -513.0 215.0 811.0 1566.0 1716.6417803365564 -5.869 4308.641780336557 
12590 13.223808102195534 13.49 4.11 17.35 0 0 0.24619189780446682 0.27354655311607423 8.81 12.585714285714287 0.0 24.0 680.0 -656.0 92.0 876.0 1560.0 2359.3006233384826 -7.403 4887.300623338482 
9920 13.473744658862609 10.63 4.24 14.55 0 0 0 0 8.806255341137392 12.580364773053418 0.0 0.0 679.0 -506.0 218.0 808.0 1566.0 1690.1298832101024 -5.803 4282.129883210102 
11012 13.488010371903398 11.80 4.21 15.68 0 0 0 0 8.791989628096603 12.559985182995149 0.0 0.0 678.0 -567.0 156.0 835.0 1567.0 1968.7129745680315 -6.459 4526.712974568031 
10392 13.46735328753104 11.14 4.23 15.04 0 0 0.0026467124689606436 0.0029407916321784926 8.81 12.585714285714287 0.0 0.0 680.0 -533.0 192.0 820.0 1567.0 1809.8613318281157 -6.088 4388.861331828116 
12058 13.4766865036553 12.92 4.17 16.76 0 0 0 0 8.803313496344702 12.576162137635288 0.0 0.0 679.0 -624.0 100.0 862.0 1567.0 2235.175871804058 -7.093 4764.175871804058 
12463 13.333672124168237 13.36 4.13 17.20 0 0 0.1363278758317641 0.15147541759084898 8.81 12.585714285714287 0.0 13.0 680.0 -647.0 90.0 872.0 1564.0 2332.174460419446 -7.331 4858.174460419446 
