PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfEVCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;Total Local System Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;Annual MaximumImportElectr.;Annual MaximumExportElectr.;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KW;KW;
969;61;8625;12;5;21344;0.09880574532872628;19.343653019408187;0.036191941832123764;1.27;0.05;38.87;0.08;0.05;0.02;76.95;0.22;176.46;0.06;32.72;137.92;151.50;96.48;0.02;;;-5521;22215;26288;28243.0;69560;4.209;45.424226528000005;146306.0;0.8238702201622247;0.3525417280566419;0.05537265135084151;0.021804939318709166;96.18502547634127;0.22;176.46;0.06;151.46660623787193;0.053029503945442286;0.002211830307407982;0.013286764437989203;0.015154647748797866;0.015122998889088957;0.017711883232798847;0.0022045452631712726;0.01328676443798931;0.01515464774879822;0.015122998889089023;30763;53403;
10468;312;8602;7;26;21207;0.5906254865901541;1.4909133514325854E-4;19.379695869905166;13.67;0.27;38.71;42.25;0.03;0.11;76.45;1.12;175.98;0.57;44.37;120.18;0.02;96.86;0.10;;;-3977;-367;47989;33971.0;93816;-26.029;6.886926988000001;175409.0;0.6604985349014572;0.17963998575309892;0.030874401419191178;0.11697847806135438;95.56719106056202;1.12;175.98;0.57;0.0011674298815722572;0.029682462614654365;0.02509055728587778;0.2518704689494957;0.06091956883986116;0.22306242890026515;0.01048022834995684;0.01989444131592825;0.25187046894949733;0.060919568839861965;0.2230624289002706;41482;56707;
969;61;8625;12;4;21344;0.09855408581693566;19.343653019408187;0.036191941832123764;1.27;0.05;38.87;0.08;0.05;0.02;76.95;0.22;176.46;0.06;32.72;137.92;151.50;96.48;0.02;;;-5521;22214;26288;28243.0;69560;4.209;45.424226528000005;146305.0;0.8238702201622247;0.3525417280566419;0.05537265135084151;0.019319979833723775;96.18797636572968;0.22;176.46;0.06;151.46660623787193;0.053029503945442286;0.001959763166966291;0.013287172066640257;0.015154647748797866;0.015122998889088957;0.017711883232798847;0.001959763166966273;0.013287172066640462;0.01515464774879822;0.015122998889089023;30763;53403;
10468;312;8602;7;26;21207;0.5906254865901541;1.4909133514325854E-4;19.379695869905166;13.67;0.27;38.71;42.25;0.03;0.11;76.45;1.12;175.98;0.57;44.37;120.18;0.02;96.86;0.10;;;-3977;-367;47989;33971.0;93816;-26.029;6.886926988000001;175409.0;0.6604985349014572;0.17963998575309892;0.030874401419191178;0.11697847806135438;95.56719106056202;1.12;175.98;0.57;0.0011674298815722572;0.029682462614654365;0.02509055728587778;0.2518704689494957;0.06091956883986116;0.22306242890026515;0.01048022834995684;0.01989444131592825;0.25187046894949733;0.060919568839861965;0.2230624289002706;41482;56707;
9870;224;8591;6;15;21370;0.15060616997833579;16.240614655780824;3.139230305459484;12.89;0.21;38.71;6.84;0.02;0.06;77.04;0.81;175.76;0.12;31.46;141.83;127.19;97.43;0.05;;;-5821;18077;29976;29144.0;74194;-4.040;38.75736450400001;151391.0;0.8108272506082727;0.31896120435395775;0.02659757301871453;0.06569029140339613;96.30602194355042;0.81;175.76;0.12;127.1688849391606;0.026574096681252758;0.035039614349394406;0.07174661262587717;0.005717786145983485;0.011528060175827973;0.007376372327898865;0.017858870867246798;0.07174661262587798;0.005717786145983461;0.011528060175828098;30708;56491;
2556;366;8592;14;14;21214;0.4503363908529659;1.4909133514325854E-4;19.379695869905166;3.34;0.32;38.71;42.25;0.05;0.06;76.48;1.32;175.79;0.41;47.01;112.54;0.04;97.18;0.05;;;-3409;212;47777;33971.0;92993;-22.501;7.2912093239999995;174953.0;0.6404286918476298;0.18911734608991082;0.062501446586022;0.06102706261445451;95.60002963091544;1.32;175.79;0.41;0.0011674298815722572;0.059322703621911804;0.013089613028763427;0.257897082513076;0.061798679378671034;0.058228312310543665;0.018088289534516817;0.010576845865392084;0.2578970825130719;0.06179867937866962;0.05822831231054344;41471;53971;
1559;544;8587;4;28;21059;0.37467485632835573;9.7757830883071;9.604061872933206;2.04;0.50;38.65;20.94;0.01;0.12;75.92;1.96;175.68;0.34;38.65;124.43;76.56;97.76;0.09;;;-4488;11356;36928;31057.0;81162;-9.065;26.391315260000002;160503.0;0.7160168598524764;0.27383812202585855;0.017419565251672323;0.12713502753059128;94.90382314881214;1.96;175.68;0.34;76.5473143163711;0.017332308354882416;0.056222746347565446;0.061088016192206;0.02425092161401419;0.21578086381968772;0.0038282816360429954;0.03229652751726711;0.06108801619220653;0.02425092161401456;0.21578086381968936;34171;53647;
1509;911;8627;2;20;20477;0.4467610037989798;4.136648932031461;15.243196029208846;1.97;0.80;38.85;33.23;0.01;0.09;73.82;3.29;176.5;0.43;43.28;116.80;32.40;96.83;0.07;;;-3834;4934;43189;32760.0;87984;-16.620;15.338355872000001;168867.0;0.66630593132154;0.225414705623538;0.009626224972195093;0.09120345975260194;92.27976514233876;3.29;176.5;0.43;32.39120213248595;0.009607518599621502;0.030437354232071563;0.11796171565803823;0.18495860435509684;0.1037958109541517;0.0034722502622577586;0.020404943766102916;0.11796171565803974;0.184958604355098;0.10379581095415384;38351;53622;
1022;182;8584;1;31;21437;0.3114820874166944;3.7555066200881764;15.62433834115213;1.33;0.15;38.66;34.06;0.0;0.13;77.28;0.66;175.62;0.30;44.05;115.63;29.41;97.35;0.11;;;-3727;4587;43567;32849.0;88293;-16.743;14.670438219999998;169296.0;0.6628751712399851;0.22460719627373624;0.0035036402516741066;0.13958089160588133;96.60486008123378;0.66;175.62;0.30;29.406743487276447;0.00349524390439893;0.03363360397756712;0.08849661373891075;0.09748065647143118;0.0883759693243864;0.0;0.025276340020184498;0.08849661373891002;0.09205077830416179;0.08837596932438856;38691;53435;
1077;160;8592;1;36;21406;0.2491632301595654;8.574048014347868;10.80579694689244;1.41;0.15;38.72;23.56;0.0;0.16;77.17;0.58;175.79;0.20;39.95;122.05;67.14;97.16;0.11;;;-4289;10033;38228;31426.0;82509;-10.307;24.08736338;162196.0;0.702972445215882;0.2657248487988268;0.0034823307223000306;0.1643244831211944;96.46752999529018;0.58;175.79;0.20;67.1373681667481;0.0034721989430551306;0.09578300180837424;0.1354980291384639;0.011500393807317218;0.0029096064623549242;0.0;0.04811762333251563;0.13549802913846423;0.011500393807317174;0.002909606462354953;35109;53452;
2325;161;8591;5;16;21431;0.15625310865756584;16.45857726107473;2.9212677001655782;3.04;0.15;38.70;6.37;0.02;0.07;77.26;0.58;175.77;0.12;33.92;134.86;128.89;97.41;0.05;;;-5298;18871;29527;29079.0;73161;-0.345;39.591809407999996;150638.0;0.7915025323579067;0.32833986322353037;0.020840668834588034;0.07084120567340405;96.57799405487656;0.58;175.77;0.12;128.87559752739347;0.020369955986332802;0.03786224619561754;0.0341429038035177;0.003869859926442068;0.06000814274565574;0.007028193105292261;0.020153507580332384;0.034142903803518074;0.0038698599264420618;0.060008142745655926;30719;53887;
1069;286;8618;4;16;21155;0.16072776217617102;13.451137896881589;5.92870706435872;1.40;0.26;38.82;12.93;0.02;0.07;76.27;1.03;176.32;0.15;36.37;129.12;105.34;96.83;0.06;;;-4857;15537;32829;29987.0;76666;-3.800;33.698707788;155019.0;0.752500909421608;0.30564067873037376;0.01796676113651031;0.07187042841932166;95.33342418340156;1.03;176.32;0.15;105.3264450739519;0.0179343869585421;0.01317447577866105;0.047167244182923715;0.0030496949047328394;0.07940196035131133;0.006842935897065599;0.011323522902651996;0.047167244182923965;0.003049694904732888;0.0794019603513122;31478;53454;
3014;29;8571;1;20;21673;0.4872591033141844;10.738126764128733;8.641718197111574;3.94;0.03;38.61;18.84;0.01;0.09;78.13;0.11;175.37;0.47;37.61;126.95;84.09;97.35;0.07;;;-4680;12346;35879;30767.0;80119;-8.288;28.231476763999996;159111.0;0.7293679638329935;0.2817164899947933;0.006190162474967486;0.09113657495132443;97.66849457586667;0.11;175.37;0.47;84.08275400115723;0.00571083795979276;0.033802210550771206;0.3773750637655973;0.0069975984019734405;0.06337339263604971;0.0029483505899553205;0.021633450433674678;0.37737506376559876;0.006997598401973676;0.06337339263605031;33502;54123;
