CHP_Cap HP_Cap PV_Cap Boiler_Cap AnnualPV AnnualCHPelec AnnualCHPheat AnnualHPheat AnnualHPelec AnnualBiolerHeat AnnualImport AnnualExport OilConsumption BiomassConsumption DieselCost PetrolCost BiomassCost TotalElectricityExchangeCost TotalVariableCost FixedOperationCosts AdditionalCost InvestmentCost CO2-Emission AnnualCost LoadFollowingCapacity 
KW KW KW KW GWh GWh GWh GWh GWh GWh KEuro KEuro GWh GWh KEuro KEuro KEuro KEuro KEuro KEuro KEuro KEuro Mt KEuro  
1825 1554 5328 10367.0 6.52 7.86 9.82 24.30 7.84 21.66 3.94 5.03 35.99 46.72 3217.0 2761.0 2523.0 31.0 8613.0 699.0 3014.0 616.1925007111076 8.821 12910.192500711108 0.32845111680703043 
4992 1081 13465 12821.0 16.48 8.68 10.84 18.89 6.09 26.04 0.33 13.93 35.99 54.24 3217.0 2761.0 2929.0 -642.0 8349.0 961.0 2865.0 2791.1925007111076 1.636 14945.192500711108 0.5221530574880996 
5672 2243 9459 9031.0 11.58 11.61 14.51 27.38 8.83 13.89 0.34 9.24 35.99 46.38 3217.0 2761.0 2505.0 -452.0 8121.0 880.0 3100.0 1997.1925007111076 4.338 14060.192500711108 0.3507872574148664 
5847 5139 13142 8086.0 16.08 11.21 14.01 27.49 8.87 14.28 0.33 13.29 35.99 45.87 3217.0 2761.0 2477.0 -615.0 7930.0 992.0 3103.0 3509.1925007111076 2.002 15492.192500711108 0.4987184181618455 
5217 1926 10466 10201.0 12.81 11.25 14.07 26.69 8.61 15.02 0.34 10.34 35.99 46.91 3217.0 2761.0 2533.0 -503.0 8097.0 895.0 3080.0 2178.1925007111076 3.707 14217.192500711108 0.39106554375686564 
5414 2529 7190 7623.0 8.80 12.01 15.01 27.44 8.85 13.33 0.36 6.86 35.99 46.68 3217.0 2761.0 2521.0 -328.0 8263.0 820.0 3101.0 1446.1925007111076 5.712 13586.192500711108 0.26437202489930434 
3261 1594 5376 10228.0 6.58 10.86 13.58 24.61 7.94 17.59 1.02 5.07 35.99 49.15 3217.0 2761.0 2654.0 -178.0 8543.0 728.0 3022.0 712.1925007111076 7.121 12972.192500711108 0.22299523983888686 
5157 2529 7486 7623.0 9.16 11.95 14.94 27.44 8.85 13.40 0.36 7.17 35.99 46.62 3217.0 2761.0 2518.0 -344.0 8243.0 823.0 3100.0 1508.1925007111076 5.538 13630.192500711108 0.2757231783229586 
1456 1591 5328 10692.0 6.52 6.64 8.31 24.62 7.94 22.85 5.25 5.02 35.99 45.18 3217.0 2761.0 2440.0 119.0 8615.0 692.0 3022.0 607.1925007111076 9.576 12905.192500711108 0.3760527279384841 
4865 5922 14316 8086.0 17.52 11.08 13.86 27.49 8.87 14.43 0.33 14.61 35.99 45.75 3217.0 2761.0 2470.0 -655.0 7883.0 1006.0 3102.0 3911.1925007111076 1.249 15860.192500711108 0.5470523617722446 
