PV_Cap NGas_CHP_Cap HP_Cap Oil_boiler_Cap Ngas_boiler_Cap Biomass_boiler_Cap AnnualPV AnnualCHPelec AnnualHPelec AnnualOilBoilerheat AnnualNGasBoilerheat AnnualBiomassBoilerheat AnnualmCHPheat AnnualHPheat AnnualImport AnnualExport OilConsumption BiomassConsumption NgasConsuption DieselCost PetrolCost BiomassCost TotalElectricityExchangeCost TotalVariableCost FixedOperationCosts AdditionalCost InvestmentCost CO2-Emission AnnualCost LoadFollowingCapacity 
KWe KWe KWe KWth KWth KWth GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh KEuro KEuro KEuro KEuro KEuro KEuro KEuro KEuro Mt KEuro  
5892 5117 1149 49 444 11083 6.31 22.71 3.57 0.1 0.92 22.96 15.9 11.42 9.08 8.31 24.95 30.61 46.45 2095.0 1904.0 1071.0 231.0 9317.0 1078.0 5073.0 2775.0 16.466 18243.0 0.39 
14953 1958 1983 30 165 12118 16.02 8.69 6.16 0.06 0.34 25.1 6.08 19.72 17.72 10.05 24.90 33.47 17.76 2088.0 1904.0 1171.0 726.0 7437.0 920.0 5349.0 3238.0 14.554 16944.0 0.63 
14983 8864 27 12 6 11325 16.05 39.34 0.08 0.02 0.01 23.46 27.54 0.27 4.58 33.67 24.85 31.28 78.70 2081.0 1904.0 1094.0 -1578.0 10291.0 1669.0 4702.0 5211.0 5.921 21873.0 0.87 
12055 4850 1147 36 455 11494 12.91 21.53 3.56 0.07 0.94 23.81 15.07 11.41 8.33 12.99 24.91 31.74 44.10 2090.0 1904.0 1111.0 -66.0 8852.0 1176.0 5072.0 3627.0 12.872 18727.0 0.48 
12833 5412 970 85 401 11506 13.75 24.02 3.02 0.18 0.83 23.83 16.81 9.65 7.22 15.75 25.04 31.78 48.96 2108.0 1904.0 1112.0 -304.0 9052.0 1254.0 5015.0 3904.0 11.678 19225.0 0.52 
14213 5102 1150 2 8 11582 15.23 22.65 3.57 0.0 0.02 23.99 15.85 11.44 7.68 15.76 24.83 31.99 45.31 2077.0 1904.0 1119.0 -266.0 8752.0 1243.0 5074.0 4022.0 11.136 19091.0 0.53 
14972 4945 1170 0 24 11709 16.04 21.95 3.64 0.0 0.05 24.25 15.36 11.63 7.87 16.00 24.82 32.34 43.95 2077.0 1904.0 1132.0 -264.0 8649.0 1242.0 5081.0 4092.0 10.827 19064.0 0.54 
5697 307 1793 10 4051 11638 6.10 1.36 5.57 0.02 8.39 24.11 0.96 17.83 26.38 2.06 24.85 32.14 12.05 2080.0 1904.0 1125.0 1706.0 7873.0 591.0 5285.0 1386.0 22.914 15135.0 0.64 
12365 4891 1124 12 447 11574 13.25 21.71 3.49 0.02 0.93 23.97 15.2 11.18 8.20 13.44 24.85 31.96 44.45 2081.0 1904.0 1118.0 -101.0 8846.0 1188.0 5066.0 3686.0 12.591 18786.0 0.49 
14127 93 2595 49 145 11978 15.13 0.41 8.06 0.1 0.3 24.81 0.29 25.8 26.93 8.20 24.95 33.08 1.16 2095.0 1904.0 1158.0 1414.0 6691.0 698.0 5549.0 2581.0 17.516 15519.0 0.8 
