PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfEVCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;Total Local System Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;Annual MaximumImportElectr.;Annual MaximumExportElectr.;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KW;KW;
39985;24033;6863;1;2;153;77.90528955020959;5.346047001512029E-4;19.379310356540156;52.23;17.21;25.51;29.25;0.01;0.01;0.58;86.64;168.87;53.19;21.55;176.44;0.01;96.21;0.01;;;-10036;-5882;30506;35720.0;90100;-12.264;0.78271779;150444.0;0.8778487186308416;0.08022096264916997;0.006590598875789455;0.008039245540407075;0.6891872233914024;86.64;168.87;53.19;0.003427511114079407;0.006015553546186237;0.0072616224509666465;0.07093029715745305;41.428201988310896;36.392880088744086;0.0030133960863536714;0.0032325226054700103;0.06992943732796547;23.548157788797198;29.562039580665378;33873;71565;
39869;93;7038;1;3;21813;0.17094502567811923;6.158811552199551E-4;19.37922908008509;52.08;0.08;31.70;29.25;0.0;0.01;82.57;0.34;173.18;0.16;30.29;161.73;0.01;98.75;0.01;;;-8419;-4154;29482;36697.0;83311;-10.406;1.099946722;145336.0;0.8286367755577612;0.12948629502448059;0.005046065412339789;0.015056217070575832;98.29976564568523;0.34;173.18;0.16;0.003948598850461699;0.004260651119913812;0.011299841574262358;0.012015772354314258;0.02610195783524616;0.11726680279438263;0.0;0.003585484573159836;0.012015772354314523;0.026101957835246468;0.11726680279438326;36672;69922;
39985;24311;6838;1;2;54;55.53028122596432;1.270409134221578E-4;19.379717920326886;52.23;17.65;27.76;29.25;0.01;0.01;0.2;87.65;168.25;39.65;21.58;174.66;0.01;98.26;0.01;;;-9916;-5673;30488;36077.0;88627;-12.122;0.7828032439999999;149519.0;0.8614952368409501;0.08146619354758866;0.006675865128212305;0.008419179628356763;0.24171360657655272;87.65;168.25;39.65;8.144974082234802E-4;0.006075652510563193;0.007588448452823595;0.022454535708809654;38.805861414828705;16.68830117446342;0.0030257390411484258;0.003277993870819584;0.022350542159081895;22.937286925412014;16.68830117446355;33829;71092;
39999;22960;6886;1;2;1029;32.66650679999814;4.3342197525227057E-4;19.379411539265057;52.25;17.06;31.02;29.25;0.0;0.01;3.9;82.77;169.43;20.82;22.19;171.45;0.01;98.79;0.01;;;-9661;-5395;30402;36591.0;87036;-11.819;0.8058741420000001;148634.0;0.8380869941571087;0.08590202942710627;0.005212240447455399;0.007651158487967045;4.637858012021418;82.77;169.43;20.82;0.0027787983099348823;0.003658239826347797;0.006870299297019924;0.549502976026542;32.033065298723606;0.07340998612462231;0.0;0.003171960602121998;0.5261608101622355;20.21742061431666;0.07340998612462263;34006;70014;
39951;22997;7026;0;3;82;45.197464045891714;1.0999435619435781E-4;19.379734966884115;52.18;17.69;28.19;29.25;0.0;0.01;0.31;82.91;172.87;37.06;22.10;174.75;0.00;98.61;0.01;;;-9887;-5629;30407;36143.0;87925;-12.088;0.80161778;148846.0;0.8625449128034353;0.08302946933426758;3.583422532812108E-4;0.013916905901849658;0.37093468648977856;82.91;172.87;37.06;7.052068158688862E-4;2.4406987774626773E-4;0.010235058457176606;0.022173787104745466;26.134183054427787;19.030628076024257;0.0;0.0035175475383044446;0.022173787104745622;18.05590831243932;18.975748362382735;34075;71191;
39950;24324;6836;1;1;52;39.51820702746001;5.128998513393223E-4;19.37933206138897;52.18;17.62;30.78;29.25;0.0;0.0;0.2;87.69;168.21;23.29;21.77;171.77;0.01;98.10;0.00;;;-9711;-5476;30467;36552.0;87564;-11.878;0.789677786;149107.0;0.8385251938824142;0.08403170510779964;0.004624115141415501;0.0022842259751724874;0.23571661395274965;87.69;168.21;23.29;0.0032883548168917975;0.0033608115536147187;0.0019906262633940324;0.010253337996675662;39.322558540404636;0.18004371124169075;0.0;0.0;0.010253337996675866;23.094835603540233;0.1800437112416914;33826;70009;
39984;20891;7339;0;0;59;11.62779139191688;2.3843403958157325E-4;19.37960652720073;52.23;17.59;33.07;29.25;0.0;0.0;0.22;75.32;180.57;10.83;23.28;171.00;0.00;98.01;0.00;;;-9556;-5325;30254;36916.0;85682;-11.699;0.843312304;147527.0;0.8334620334620335;0.08957136432346313;0.001677449541466417;0.0015181845143195;0.2654176516316495;75.32;180.57;10.83;0.0015286721579693405;0.001317277461537245;8.877121882642922E-4;0.0011352685660995815;11.603874972178822;0.020576161522155502;0.0;0.0;0.0011352685660995713;10.802898222210716;0.020576161522155974;34475;69901;
39870;22666;7065;0;3;145;24.598088409762553;4.486282243222692E-4;19.379396333015986;52.08;17.65;31.69;29.25;0.0;0.01;0.55;81.72;173.83;17.81;22.43;171.44;0.00;98.69;0.01;;;-9645;-5383;30362;36697.0;86547;-11.799;0.8145577740000001;148223.0;0.8366563093388573;0.0863425429339202;7.839787845650386E-4;0.013791547722608924;0.6546763016817564;81.72;173.83;17.81;0.0028762901345973646;4.8174514984621E-4;0.008975103012313532;0.01811095946786564;23.777299998835318;0.7932206032972116;0.0;0.0034221376458262866;0.018110959467866023;16.996003873154223;0.7932206032972382;34132;69958;
39901;24250;6838;0;1;114;48.709061940212294;1.0805381463401384E-4;19.379736907425674;52.12;17.65;28.90;29.25;0.0;0.01;0.43;87.43;168.25;33.25;21.67;173.50;0.00;98.49;0.00;;;-9833;-5582;30476;36257.0;88165;-12.025;0.7850596060000001;149316.0;0.8525313414580876;0.08244391811109425;1.4203854354555195E-4;0.005396040292724265;0.5127824800109922;87.43;168.25;33.25;6.927654217630529E-4;1.223895956798226E-4;0.004240447146542546;0.05668983795275702;38.17132097467667;10.476688290840652;0.0;0.0025606178428116476;0.05520913079532818;22.71952313711869;10.476688290840833;33836;70646;
