PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfEVCars;NumberOfFCEVCars;Eloctrolyzer_Cap;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualH2demand;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;Total Local System Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;Annual MaximumImportElectr.;Annual MaximumExportElectr.;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;1000 units;KWe;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KW;KW;
32099;161;7909;67;136;17867;2.961710633337136;14.011818090372387;5.313121687888126;0.054905182979793694;110;41.93;0.15;35.59;11.58;0.2365644713867391;0.3;0.61;80.52;0.73;161.81;2.68;24.67;166.83;109.94;98.81;0.63;;;-13931;6474;33246;27631.0;80459;-19.437;33.233274707999996;147810.0;0.9093067426400758;0.2837194460266683;0.35432388725417985;0.6441672711798557;100.64636840157235;0.73;161.81;2.68;109.7167391930429;0.3538631897980897;0.01002223101367273;2.1883241164168425;0.17199150898647966;0.2375095871220511;0.10841540381465653;0.010022231013673102;2.1883241164168847;0.13454744881927405;0.23750958712206058;29939;66314;
35011;242;8021;12;88;17379;5.107354390818055;8.99759206469931;10.382126382759585;1.2651378141271137E-4;1;45.73;0.28;35.50;22.63;5.450972785948083E-4;0.06;0.4;78.32;1.09;164.11;5.05;27.80;163.24;70.50;97.05;0.32;;;-13273;1120;38862;29026.0;87090;-27.701;23.146336720000004;156098.0;0.8622495035204911;0.23599277630150636;0.06590335669332519;0.416268089410288;97.89971421950847;1.09;164.11;5.05;70.45384514421501;0.02232569828011556;0.13970390812751193;1.9803797241886127;0.017689345915798526;2.9472557143060163;0.014349254424395354;0.09234994980864611;1.9803797241886176;0.01768934591579892;2.947255714306142;33724;67942;
8751;74;7883;1;750;17523;1.4823093139524084;2.890923211860767;16.425017851096133;0.06390389828340541;128;11.43;0.09;35.48;35.81;0.27533633614388053;0.0;3.38;78.97;0.33;161.29;1.48;38.75;126.17;22.64;97.84;3.35;;;-8567;-1112;44929;30798.0;91221;-23.328;12.7087805;165836.0;0.7026244035446491;0.2069998296594112;0.004895590279398308;3.556049645697903;98.70903656529666;0.33;161.29;1.48;22.636796025833366;0.0024188012378546413;0.19305500344592738;1.098844793789214;5.856623039983994E-4;0.1874050531754138;0.0;0.19305500344592755;1.0988447937892436;5.856623039983957E-4;0.18740505317541933;38217;56394;
34255;197;7913;20;33;17962;6.848340947134365;17.838020064190808;1.488981577993821;0.05284331905568001;106;44.74;0.21;35.64;3.25;0.22768072448330287;0.09;0.15;80.94;0.89;161.9;6.82;21.91;175.25;139.78;94.19;0.11;;;-15027;9640;29075;26542.0;76596;-15.438;40.648434084;141853.0;0.9744958481613286;0.3145371416091469;0.10360216865273153;0.15579052191771475;101.18111462813208;0.89;161.9;6.82;139.67704850863328;0.0017181386270667168;0.06824750631312809;6.60321322910628;0.05565408539385959;0.11950798769403136;0.0017181386270667242;0.039791894317582135;6.603213229106451;0.05565408539386074;0.11950798769403231;29257;67345;
33378;3976;7943;7;60;14035;9.389566756669847;4.198867920779456;15.06399633362065;0.11698070684020132;233;43.60;3.93;35.61;32.84;0.5040230734916914;0.03;0.27;63.25;17.92;162.5;9.04;30.18;156.13;32.91;95.33;0.20;;;-12344;-3670;44426;30468.0;93694;-34.481;13.474409432000002;164918.0;0.803475935828877;0.1816151225868417;0.03943549373713164;0.2829284503465908;79.06222603355528;17.92;162.5;9.04;32.87839548007938;0.01749780946985975;0.1574886062458625;5.463394901779722;2.942713716047155;0.8084717231272469;0.00892472424468779;0.08032430029191734;5.463394901779857;2.674678697811521;0.8084717231272552;36748;66922;
34911;1795;7767;4;59;17016;9.066503200146474;16.558062932710836;2.8055764382478365;0.016205590281634805;33;45.60;1.76;34.85;6.12;0.06982340628745172;0.02;0.27;76.68;8.09;158.91;8.89;21.69;175.55;129.67;97.54;0.26;;;-15079;8212;30608;26790.0;78564;-18.282;37.951410556000006;144174.0;0.9649706457925636;0.2977100814089904;0.021970862726970488;0.28148753081918587;95.85554383601912;8.09;158.91;8.89;129.65460018200568;0.019946078970219213;0.019847468804674008;6.928419350839711;1.4247955666529828;0.673494734878887;0.006998321336404615;0.019847468804674293;6.928419350839893;1.2585234640165217;0.6734947348789123;28784;67753;
34841;416;8069;59;119;16910;4.117101158486773;15.99028571529608;3.374480787679585;0.015078458264643912;30;45.51;0.46;36.22;7.36;0.06496704527904476;0.27;0.53;76.21;1.87;165.09;3.97;23.10;172.98;125.42;94.04;0.56;;;-14688;7849;31123;27129.0;78608;-17.983;37.09747044;144709.0;0.9472006183276168;0.2995067988178943;0.314389611776061;0.5627555807142403;95.25643670099821;1.87;165.09;3.97;125.2087342364829;0.23930336951002376;0.0021179266919469017;3.1575218992745415;0.07390438420931807;0.6442535788009426;0.09213898451037399;0.002117926691946881;3.1575218992746192;0.07390438420931877;0.6442535788009612;29312;67667;
34928;1667;7739;56;8;17272;8.673898321335438;6.59502663760173;12.42678998819888;0.3580283354396957;712;45.62;1.74;34.75;27.09;1.542600886075473;0.25;0.03;77.84;7.51;158.33;8.46;28.84;159.84;51.83;98.72;0.03;;;-12838;-1203;41777;29784.0;90657;-31.209;18.273175216;161015.0;0.8375726905491189;0.20871988167073005;0.294724528925023;0.03666583083030882;97.2946028993863;7.51;158.33;8.46;51.64103708041283;0.290414854848108;0.019829117264987484;7.032434249327908;0.7693299212795068;0.5618901786149277;0.09009724287553139;0.009382791884468767;7.032434249328065;0.7693299212795187;0.5618901786149377;35147;67560;
37200;1035;7883;1;796;16516;4.257371679026024;2.890923211860767;16.425017851096133;0.06390389828340541;128;48.59;1.18;35.48;35.81;0.27533633614388053;0.01;3.59;74.43;4.66;161.29;3.31;32.01;157.69;22.64;97.48;2.68;;;-12316;-4923;45767;30797.0;94584;-36.614;11.528423324;166225.0;0.8081970006816632;0.1796279981294315;0.00652086710269734;3.77411480233888;93.03660690286146;4.66;161.29;3.31;22.636796025833366;0.003260577095228119;1.9838166411366849;2.011118025634498;0.07177138198419943;0.1874050531754138;0.0022204834007680265;1.0434516381434367;2.0111180256345333;0.07177138198420097;0.18740505317541933;38088;68809;
25363;107;7953;2;68;17854;7.855836353275465;1.765820269525432;17.534062647477775;0.07996204423709866;160;33.13;0.11;35.67;38.23;0.3445244637999633;0.01;0.31;80.46;0.48;162.72;7.77;35.58;142.02;13.83;92.63;0.23;;;-10431;-4723;46645;31152.0;95142;-32.848;9.234532392000002;168216.0;0.7483251169257996;0.17515288449998315;0.010126111951762122;0.32245348170618504;100.57312208060722;0.48;162.72;7.77;13.826902456464989;0.0047841215373581785;0.16929001822977607;6.851111534060891;0.07794859102897105;0.7527020884184694;0.0027186080197213977;0.08963379171876037;6.851111534060905;0.07117721715110117;0.7527020884184844;39085;63098;
