CHP3_C HP3_C PP_Cap Wind_C OffShoreWind_C PV_C Boiler3_C Anl_CHP3_heat_P Anl_CHP_elec_P Anl_HP3_heat_P Anl_PP_P Anl_Wind_P Anl_OffShoreWind_P Anl_PV_P Anl_Boiler_P Import Export CO2Emission Annual_Cost
(MW) (MW) (MW) (MW) (MW) (MW) (MJ) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (Mton) (DKK)
96 0 83 1499 716 346 196 0.01 0.02 0.00 0.00 0.95 1.92 0.05 0.11 0.00 1.25 -0.545 4935 
0 55 234 92 334 16 14 0.00 0.00 0.52 0.41 0.23 1.28 0.01 0.00 0.00 0.50 -0.038 3256 
1 52 192 601 391 47 12 0.00 0.00 0.52 0.08 0.86 1.42 0.02 0.00 0.00 0.95 -0.379 3701 
48 0 84 1485 872 448 196 0.01 0.01 0.00 0.00 0.86 2.03 0.06 0.10 0.00 1.26 -0.550 5091 
0 55 234 92 334 16 14 0.00 0.00 0.52 0.41 0.23 1.28 0.01 0.00 0.00 0.50 -0.038 3256 
5 7 148 913 388 172 171 0.00 0.00 0.16 0.04 1.09 1.43 0.06 0.15 0.00 1.09 -0.458 4018 
0 5 191 679 395 49 182 0.00 0.00 0.12 0.06 0.97 1.46 0.02 0.21 0.00 1.00 -0.411 3812 
39 0 89 1306 436 441 196 0.01 0.02 0.00 0.01 1.17 1.55 0.09 0.16 0.00 1.20 -0.518 4505 
0 63 243 42 315 19 0 0.00 0.00 0.52 0.52 0.11 1.21 0.01 0.00 0.00 0.41 0.047 3202 
0 65 242 39 345 24 0 0.00 0.00 0.52 0.47 0.10 1.32 0.02 0.00 0.00 0.48 -0.002 3234 
0 49 247 39 218 12 35 0.00 0.00 0.52 0.65 0.10 0.83 0.01 0.00 0.00 0.16 0.214 3095 
0 51 248 22 306 32 28 0.00 0.00 0.52 0.55 0.06 1.17 0.02 0.00 0.00 0.37 0.080 3183 
8 0 121 1033 440 234 196 0.00 0.01 0.00 0.03 1.09 1.57 0.07 0.19 0.00 1.14 -0.488 4199 
0 45 249 22 286 32 46 0.00 0.00 0.52 0.58 0.06 1.10 0.02 0.00 0.00 0.32 0.113 3162 
0 43 252 3 249 29 55 0.00 0.00 0.52 0.65 0.01 0.95 0.02 0.00 0.00 0.20 0.197 3108 
0 42 229 347 301 29 38 0.00 0.00 0.52 0.20 0.76 1.15 0.02 0.00 0.00 0.70 -0.218 3412 
79 0 83 1490 805 629 196 0.01 0.02 0.00 0.00 0.89 1.98 0.07 0.10 0.00 1.26 -0.551 5129 
0 56 192 571 370 110 1 0.00 0.00 0.52 0.08 0.86 1.37 0.05 0.00 0.00 0.94 -0.373 3681 
0 45 250 22 205 32 50 0.00 0.00 0.52 0.69 0.06 0.78 0.02 0.00 0.00 0.12 0.248 3077 
