PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfEVCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;Total Local System Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;Annual MaximumImportElectr.;Annual MaximumExportElectr.;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KW;KW;
39974;17754;6878;17;51;2744;56.370739774974574;0.004483847491875128;19.375361113748436;52.21;15.04;30.21;36.24;0.08;0.23;12.37;80.01;157.16;29.17;23.76;169.46;0.09;98.38;0.16;;;-7168;-3300;32107;33564.0;93910;-37.105;2.7814755648;156281.0;0.8308393532851736;0.09337632999248936;0.09015881343804846;0.23654138958678514;15.079801325022911;80.01;157.16;29.17;0.03175505632220885;0.08989059061634877;0.14131189904255045;0.22178492499728686;51.91661706094435;4.001135299374043;0.02865347036720629;0.06991080659413658;0.2217849249972943;24.84967857794692;4.001135299374121;35730;70493;
998;14;7375;10;27;17998;0.3886007218314759;19.37534012475907;0.004504836481238955;1.30;0.02;33.23;0.01;0.05;0.12;81.11;0.06;168.5;0.37;29.43;142.41;137.26;98.64;0.09;;;-5420;18853;26752;28771.0;70399;7.770;39.9606345064;144775.0;0.8620015048908954;0.3323349817846697;0.05400633515846288;0.12405787937331315;98.9103963695913;0.06;168.5;0.37;137.21809629755623;0.009189074262691289;0.04808694020039738;0.2924580683766687;0.009021705439362494;0.02984493355235607;0.007974761724776161;0.02985120457247315;0.29245806837666893;0.008470258512465974;0.029844933552356175;29356;53761;
39095;17929;6957;2;52;2183;52.80727177481561;0.008382478644298762;19.371462482596012;51.06;15.21;31.23;36.23;0.01;0.23;9.84;80.8;158.96;25.75;23.95;167.65;0.07;96.45;0.19;;;-7068;-3275;32091;33711.0;93596;-36.597;2.8032621960000004;156123.0;0.8203108275891595;0.09446466446454467;0.010429088780110982;0.24021176247531278;11.998003123374225;80.8;158.96;25.75;0.05936555200678826;0.009879398887705528;0.06148231392730768;0.036087043320472585;52.0675195697625;0.6323034489176242;0.0034923323467461035;0.04557085408035894;0.036087043320473126;25.02881169313658;0.6323034489176342;35744;69820;
39825;17324;7059;11;59;2259;42.1431854610643;7.39778203611617E-4;19.3791051830367;52.02;15.35;31.33;36.25;0.05;0.26;10.18;78.07;161.28;24.34;24.09;168.76;0.04;97.64;0.20;;;-7117;-3282;32049;33730.0;92766;-36.850;2.8143155032000005;155263.0;0.8252385639094527;0.09460686919520384;0.0578877872997379;0.27189689981372656;12.413077486910597;78.07;161.28;24.34;0.005239183215797832;0.05334437876999096;0.12427288194637456;0.02175656338268451;39.51774510211235;2.4260665348528976;0.017732284956820627;0.07065254208563908;0.02175656338268469;21.801768136423412;2.426066534852877;35887;70271;
39920;3386;7373;16;28;14629;4.9026954875247535;7.978014192430395E-4;19.37904715982107;52.14;3.30;33.18;36.25;0.07;0.13;65.93;15.26;168.45;3.60;30.58;161.49;0.06;98.57;0.10;;;-6392;-2527;31272;33994.0;88507;-33.354;3.5425009584;151246.0;0.8154453595992187;0.12844464127269994;0.0836663557954928;0.13116202595094997;80.39927022176086;15.26;168.45;3.60;0.0056501094312211295;0.06461439168262835;0.06001299464299142;0.1409338573914756;4.396548629398677;0.24058561440898107;0.024101611945876074;0.034734969748664565;0.14093385739147735;3.155893099713133;0.24058561440898338;38020;70094;
995;139;7391;1;20;17807;0.5030808305778725;8.21843828954852;11.161406671691793;1.30;0.12;33.29;20.88;0.01;0.09;80.25;0.63;168.87;0.33;35.65;127.80;58.21;98.52;0.07;;;-4411;8099;28918;31792.0;78664;-7.983;19.608860011999997;147473.0;0.7420101688759759;0.2443888219241468;0.006643811641225096;0.09421964140177644;97.86035664429467;0.63;168.87;0.33;58.20380181041156;0.006573342919984879;0.038832715854189806;0.01412947780937349;0.3377110055948522;0.10583428839947216;0.003121112484100798;0.02324889465500233;0.014129477809373635;0.18064986287812376;0.10583428839947266;33239;53760;
982;34;7378;2;89;17908;0.10660758770696759;9.446441926235213;9.933403035005098;1.28;0.03;33.24;18.58;0.01;0.4;80.7;0.15;168.58;0.09;34.92;129.30;66.91;98.58;0.40;;;-4519;9314;28675;31454.0;77708;-6.167;21.9111534816;147151.0;0.7535447161932731;0.2554297077177244;0.009752528495259798;0.41140503248024923;98.41876452829445;0.15;168.58;0.09;66.90064636579041;0.006071518806266244;0.006442942088938763;0.017429081802357374;0.045996716725839173;0.030667328283566036;0.00302489460196989;0.006442942088938865;0.017429081802357776;0.03215152600596674;0.030667328283566744;32463;53754;
1035;0;7375;13;21;18013;0.674004636664606;8.533945659574412;10.8458993016659;1.35;0.00;33.17;20.29;0.06;0.09;81.17;0.0;168.51;0.61;35.46;128.24;60.48;98.73;0.07;;;-4442;8414;28852;31691.0;78428;-7.541;20.192073380800004;147385.0;0.7455481167736941;0.24719946950075297;0.06551514493526214;0.09751472105388201;98.99295747474153;0.0;168.51;0.61;60.43825655567195;0.054505717213564946;0.05404158654114291;0.21782038007759436;5.047517541450868E-4;0.3471322010781586;0.02058744498372223;0.02710020268408277;0.21782038007759685;0.0;0.34713220107816734;33049;53789;
974;110;7380;2;18;17891;0.3792490043665029;3.0595016104177093;16.3203433508226;1.27;0.11;33.23;30.53;0.01;0.08;80.63;0.5;168.63;0.36;39.09;121.61;21.67;98.82;0.07;;;-3945;3144;29916;33176.0;82453;-15.260;10.270312703200002;148689.0;0.6990907904467742;0.2002315981235986;0.009860479219483454;0.0851024379502912;98.32591004034994;0.5;168.63;0.36;21.66769635513926;0.006342212398455622;0.018203277921550173;0.11692724751105402;0.0820173670636699;0.15575889947177315;0.003078630492758063;0.014448227726010603;0.11692724751105682;0.07458054785193852;0.1557588994717773;36533;53758;
