PV_Cap;NumberOfConCars;NumberOfEVCars;NumberOfFCEVCars;Eloctrolyzer_Cap;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualH2demand;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualNgasmCHPheat;AnnualBiomassmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;AnnualCost;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualNgasmCHPheat;AnnualBiomassmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilBoilerSolarInput;NGasBoilerSolarInput;NGasCHPSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;
MWe;1000 units;1000 units;1000 units;MWe;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;MEuro;MEuro;MEuro;MEuro;MEuro;Mt;MEuro;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;
107;0.17014752275414013;780.4901925477208;0.037334348129811464;1;0.11;0.17;0.82;1.34;1.440023141714958E-4;0.0;1.29;1.47;0.0;0.21;3.31;0.55;1.07;0.48;0.01;2.45;1.17;47;262;404;1234.130741431163;2064;0.237;3964.130741431163;5.870784749540672E-4;1.3567114447980806;1.889330104498487;0.0;0.21;3.31;0.55;0.0010096554000230675;1.2501483132765784E-4;1.0580603424449309;0.003534528314712672;0.028344729871176897;0.002338573556422436;0.03181588442267579;
101;0.19384681945693136;780.4667749045389;0.03705269460883433;1;0.11;0.18;0.83;1.34;1.4291594837573487E-4;0.0;1.29;1.46;0.0;0.22;3.31;0.57;1.07;0.48;0.01;2.44;1.13;48;258;407;1236.156967689964;2082;0.229;3983.156967689964;0.0013664248910444537;1.3555854563352436;1.8679386260007578;0.0;0.22;3.31;0.57;0.0011502870266574307;6.678874442484968E-4;1.304373517227072;0.006391964905853934;0.03546702290539189;0.0013488500500251617;0.0027288151510745052;
103;0.1906162017160245;780.4660805421465;0.040977674742114584;1;0.11;0.19;0.83;1.34;1.5805498924781016E-4;0.0;1.29;1.46;0.0;0.23;3.31;0.52;1.06;0.48;0.01;2.44;1.18;47;263;402;1236.1567253283204;2057;0.24;3958.15672532832;0.0012897451885892472;1.355926491898415;1.867210634911026;0.0;0.23;3.31;0.52;0.0011311165409828895;4.3167814624480924E-4;0.9877546226684685;0.00451859836306165;0.04334605460482439;0.001301471908374747;0.0019959258214712903;
108;0.10945298488462103;780.4551904861261;0.13303094759406825;1;0.11;0.18;0.83;1.34;5.131136679650806E-4;0.0;1.29;1.45;0.0;0.23;3.31;0.46;1.06;0.48;0.01;2.44;1.26;47;270;396;1236.1529242412998;2031;0.255;3933.1529242413;0.0017072591933733232;1.3557559759604967;1.862641751659108;0.0;0.23;3.31;0.46;6.494940123053412E-4;2.0725418659719744E-4;0.6490432604895767;0.0027394053614753578;0.03655676896078733;0.009665668253923707;0.006447510640303194;
101;0.16901574569754155;780.3487247363327;0.17993393657457837;1;0.11;0.18;0.82;1.34;6.940231867618062E-4;0.0;1.29;1.46;0.0;0.23;3.3;0.53;1.06;0.48;0.01;2.45;1.19;47;265;401;1234.0813632222087;2053;0.242;3953.081363222209;7.238625701583147E-4;1.3561737996755263;1.8663207050430415;0.0;0.23;3.3;0.53;0.0010029394349692115;2.3915366710776926E-4;0.9203256231475051;0.0043288298846785415;0.029095596901714718;0.006349573436005781;0.033049466258967465;
107;0.15213626358017063;780.4717968285985;0.07374132642603959;1;0.11;0.19;0.83;1.34;2.8442767015787734E-4;0.0;1.29;1.45;0.0;0.23;3.31;0.42;1.06;0.48;0.01;2.44;1.28;47;273;394;1236.158720552422;2021;0.261;3924.158720552422;0.0032510442402449565;1.353916674636943;1.8629586381605474;0.0;0.23;3.31;0.42;9.027765880847325E-4;0.0012626328688507796;0.5357890495598956;0.002171940598305586;0.041993971802221405;0.0039962507738974164;0.004004769229341137;
102;0.1663131236377687;780.4609252819042;0.07043601306264242;1;0.11;0.18;0.83;1.34;2.716787459839181E-4;0.0;1.29;1.46;0.0;0.23;3.31;0.40;1.06;0.48;0.01;2.46;1.29;47;275;393;1236.1549259259336;2017;0.263;3921.1549259259336;0.001765096123090457;1.3554850429508318;1.86788673538826;0.0;0.23;3.31;0.40;9.869020756665195E-4;5.899995432653881E-4;0.5124611146372726;0.0023295900332856024;0.026150027211003526;0.001277710197603159;0.0028079863983403704;
100;0.15213626358017063;780.4709461644352;0.07459199058929816;1;0.11;0.19;0.83;1.34;2.8770876690198193E-4;0.0;1.29;1.45;0.0;0.24;3.31;0.43;1.06;0.48;0.01;2.45;1.28;47;274;394;1236.1584236348942;2022;0.26;3926.1584236348945;0.0019112600230978408;1.3551009180647287;1.860755558876201;0.0;0.24;3.31;0.43;9.027765880847325E-4;6.632324439104026E-4;0.5605164652680231;0.0028523143321424957;0.03726001321832415;0.003629283056933748;0.004000318249871355;
101;0.19119293021461833;780.3645126754407;0.141968812949488;1;0.11;0.19;0.83;1.34;5.475879084274702E-4;0.0;1.29;1.45;0.0;0.24;3.31;0.46;1.06;0.48;0.01;2.46;1.25;47;270;396;1236.1212738761772;2032;0.254;3934.121273876177;0.001637352969070866;1.3557717255138708;1.8600677537065562;0.0;0.24;3.31;0.46;0.0011345388478935451;9.086406228769791E-4;0.6798939710242033;0.00296282016340817;0.03783711248373604;3.627078712802305E-4;0.0083389470644386;
101;0.14326120378028553;780.3730798287309;0.18133338609353866;1;0.11;0.19;0.82;1.34;6.99421003501388E-4;0.0;1.29;1.45;0.0;0.24;3.31;0.57;1.06;0.48;0.01;2.44;1.16;47;260;405;1234.0898641725644;2070;0.236;3969.0898641725644;0.001659829746788748;1.3553256585026843;1.8618680292323078;0.0;0.24;3.31;0.57;8.501119832322144E-4;1.9154961775105344E-4;1.1099764102892187;0.00565978837593999;0.044274704555661876;0.003655767141770706;0.030097973073470174;
105;0.16477115435435774;780.447155944632;0.08574731961844179;1;0.11;0.24;0.81;1.34;3.307359865002918E-4;0.0;1.29;1.47;0.0;0.3;3.23;0.67;1.00;0.49;0.01;2.45;1.15;42;254;407;1232.0813198488033;2081;0.233;3974.081319848803;0.0011073745854353481;1.3562444453080094;1.8810149856812766;0.0;0.3;3.23;0.67;9.777520299387589E-4;4.521539886721E-4;1.1758123791381403;0.00509996075441835;0.16027933077698742;4.627794364246946E-4;3.4983979526281313E-4;
100;0.1433776174276895;780.3516970411602;0.2025997600169505;1;0.11;0.18;0.82;1.34;7.814475343613797E-4;0.0;1.29;1.46;0.0;0.23;3.31;0.48;1.06;0.48;0.01;2.46;1.25;47;270;397;1234.0824006814541;2035;0.253;3936.082400681454;6.527423004764862E-4;1.3564795323642298;1.867311673260917;0.0;0.23;3.31;0.48;8.508027818159095E-4;2.1610162620764762E-4;0.7028322902934045;0.0033106713061171068;0.02581074851337954;0.003158540327614139;0.033991750337439244;
102;0.1655732292210591;780.4580648691701;0.07403632021358766;1;0.11;0.18;0.83;1.34;2.8556549069582896E-4;0.0;1.29;1.46;0.0;0.22;3.31;0.54;1.07;0.48;0.01;2.46;1.13;48;259;406;1236.1539275217292;2077;0.23;3978.153927521729;0.0013664248910444537;1.3555480561634292;1.866955746990419;0.0;0.22;3.31;0.54;9.825115421977647E-4;6.678874442484968E-4;1.2586893500747776;0.005529948714422268;0.02346391500022271;1.8173813401564822E-4;0.0013917160679283596;
101;0.17014752275414013;780.4909097668186;0.036617129031867056;1;0.11;0.17;0.83;1.34;1.4123592838881442E-4;0.0;1.29;1.47;0.0;0.21;3.31;0.54;1.07;0.47;0.01;2.45;1.14;48;261;405;1236.165391770757;2072;0.232;3974.165391770757;5.821560045556538E-4;1.3567158491137004;1.8896321311051851;0.0;0.21;3.31;0.54;0.0010096554000230675;1.2396662085354502E-4;1.185834264496496;0.003961353629679503;0.02834926103413269;0.0023340913866846044;0.003705457273978853;
101;0.19340312064204443;780.4560883786331;0.04818291932942809;1;0.11;0.18;0.83;1.34;1.8584633814553708E-4;0.0;1.29;1.46;0.0;0.23;3.31;0.49;1.06;0.48;0.01;2.46;1.21;47;267;399;1236.1532376435034;2044;0.246;3946.1532376435034;8.527044392414669E-4;1.3564864962154717;1.8677642827166532;0.0;0.23;3.31;0.49;0.0011476541178898915;2.7753188863324703E-4;0.8248495374356022;0.003095293305673512;0.025212904815854534;0.003942422002770981;0.019000639534243424;
103;0.14064895946668868;780.3786826050554;0.17834285408265196;1;0.11;0.19;0.83;1.34;6.878862224821969E-4;0.0;1.29;1.46;0.0;0.23;3.3;0.33;1.06;0.48;0.01;2.46;1.37;47;283;390;1236.1262197768629;2004;0.277;3913.126219776863;0.002104145465292869;1.3549384749232285;1.8663990268029265;0.0;0.23;3.3;0.33;8.346109254753307E-4;5.599043023453685E-4;0.3414497729659547;0.0016733888411864138;0.02859618975453148;0.0024518299204217206;0.004088614605900299;
103;0.1906162017160245;780.4660805421465;0.040977674742114584;1;0.11;0.17;0.83;1.34;1.5805498924781016E-4;0.0;1.29;1.47;0.0;0.21;3.31;0.52;1.07;0.47;0.01;2.43;1.18;48;263;402;1236.1567253283204;2057;0.24;3958.15672532832;9.725149268567665E-4;1.3562103295010175;1.8903125972060817;0.0;0.21;3.31;0.52;0.0011311165409828895;2.6021637049730776E-4;0.9879613904436634;0.004461062009199715;0.043882351314149734;0.00222813449796943;0.0021887176599422182;
107;0.17374481172513018;780.4739735246088;0.04995608227075896;1;0.11;0.18;0.83;1.34;1.9268560492654438E-4;0.0;1.29;1.46;0.0;0.22;3.31;0.36;1.06;0.48;0.01;2.46;1.34;47;280;391;1236.159480310768;2008;0.271;3915.1594803107682;9.403094571835658E-4;1.3562803705871715;1.8761657517744434;0.0;0.22;3.31;0.36;0.0010310017127769225;2.720719286823257E-4;0.3990646398068527;0.001817739724769587;0.02415524591295067;0.0029682589958685596;0.002805908488947152;
101;0.1657802031342852;780.4660804987138;0.06581371675653619;1;0.11;0.18;0.83;1.34;2.5385008690163575E-4;0.0;1.29;1.46;0.0;0.23;3.31;0.39;1.06;0.48;0.01;2.46;1.31;47;277;392;1236.1567253131605;2014;0.265;3919.1567253131607;0.0013664248910444537;1.3559960355299985;1.8667308757622043;0.0;0.23;3.31;0.39;9.837397253988484E-4;6.807986278742315E-4;0.4658984910525408;0.001738359843208818;0.02609782457512159;0.0024024698334494;0.0046914583366338925;
100;0.1445918707390869;780.4114523631584;0.14163018470713426;1;0.11;0.18;0.83;1.34;5.462817854338875E-4;0.0;1.29;1.46;0.0;0.23;3.3;0.48;1.06;0.48;0.01;2.46;1.22;47;268;398;1236.137657799033;2040;0.248;3942.137657799033;7.367602678088711E-4;1.3563003371420654;1.8748448158227213;0.0;0.23;3.3;0.48;8.580081609657417E-4;2.4597571263027115E-4;0.7879476939120909;0.0036831614520293995;0.037301877358960456;0.003043420595492203;0.004108481830514913;
103;0.1906162017160245;780.4660805421465;0.040977674742114584;1;0.11;0.19;0.83;1.34;1.5805498924781016E-4;0.0;1.29;1.46;0.0;0.23;3.31;0.52;1.06;0.48;0.01;2.44;1.18;47;263;402;1236.1567253283204;2057;0.24;3958.15672532832;0.0012897451885892472;1.355926491898415;1.867210634911026;0.0;0.23;3.31;0.52;0.0011311165409828895;4.3167814624480924E-4;0.9877546226684685;0.00451859836306165;0.04334605460482439;0.001301471908374747;0.0019959258214712903;
102;0.15290924434903572;780.473082806602;0.07168236765357251;1;0.11;0.19;0.82;1.34;2.7648606027659453E-4;0.0;1.29;1.45;0.0;0.24;3.31;0.46;1.06;0.48;0.01;2.45;1.27;46;272;395;1234.1247694127665;2027;0.259;3928.1247694127665;0.0019556239981037135;1.3551458880568783;1.861151331541484;0.0;0.24;3.31;0.46;9.07363455967178E-4;9.90494623177814E-4;0.585673234751898;0.002847852882082172;0.03737976248530916;0.0036210791642269273;0.03403579428644065;
101;0.20071954328701294;780.4560883786331;0.040866496684459554;1;0.11;0.19;0.83;1.34;1.5762616436162895E-4;0.0;1.29;1.46;0.0;0.23;3.31;0.46;1.06;0.48;0.01;2.46;1.24;47;269;397;1236.1532376435034;2036;0.251;3938.1532376435034;8.232403241817261E-4;1.3564863340278075;1.867231325217501;0.0;0.23;3.31;0.46;0.0011910697698651346;2.679421279575417E-4;0.7408406382667336;0.0032817103614986394;0.028927954248107093;0.0026490072059259092;0.0017052081458501804;
102;0.15213626358017063;780.473082806602;0.07245534842243762;1;0.11;0.19;0.82;1.34;2.794675244001841E-4;0.0;1.29;1.45;0.0;0.24;3.31;0.46;1.06;0.48;0.01;2.45;1.27;46;272;395;1234.1247694127665;2027;0.259;3928.1247694127665;0.0019112600230978408;1.3551009180647287;1.8610688175879488;0.0;0.24;3.31;0.46;9.027765880847325E-4;9.694806739003653E-4;0.5856537994121305;0.0029202716049507352;0.037378105257370405;0.003622070771461115;0.03403579428644065;
100;0.16788637838362294;780.4562641419888;0.07352389823239841;1;0.11;0.16;0.83;1.34;2.835890278721839E-4;0.0;1.29;1.47;0.0;0.2;3.31;0.26;1.08;0.47;0.01;2.44;1.43;49;290;388;1236.1532989922978;1995;0.29;3909.153298992298;7.185273854019168E-4;1.3562312349804007;1.8909722134655063;0.0;0.2;3.31;0.26;9.962377693284185E-4;2.052198630373342E-4;0.24353168722417753;0.0012156305117368737;0.010434063738887233;0.0084252652632681;0.003151294970682635;
101;0.19340312064204443;780.4560883786331;0.04818291932942809;1;0.11;0.18;0.82;1.34;1.8584633814553708E-4;0.0;1.29;1.46;0.0;0.23;3.31;0.49;1.06;0.48;0.01;2.46;1.23;47;268;398;1234.1188376435034;2040;0.249;3940.1188376435034;7.362490713725296E-4;1.356567646195617;1.8679455925592725;0.0;0.23;3.31;0.49;0.0011476541178898915;2.3962268453618424E-4;0.7600056612056486;0.0027036898078198366;0.025215352313028797;0.0040363869512579685;0.036708328789386624;
