PV_Cap;NumberOfConCars;NumberOfEVCars;NumberOfFCEVCars;Eloctrolyzer_Cap;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualH2demand;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualNgasmCHPheat;AnnualBiomassmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;AnnualCost;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualNgasmCHPheat;AnnualBiomassmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilBoilerSolarInput;NGasBoilerSolarInput;NGasCHPSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;
MWe;1000 units;1000 units;1000 units;MWe;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;MEuro;MEuro;MEuro;MEuro;MEuro;Mt;MEuro;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;
466;1.1199428682170542;828.3374219379846;0.0;1;0.50;0.03;1.15;1.13;0.0;0.0;0.0;0.76;0.0;0.04;4.97;0.02;1.03;0.94;0.01;1.15;0.25;13;84;413;1280.2769193831791;2738;0.052;4515.276919383179;0.0;0.0;0.9525918205085266;0.0;0.04;4.97;0.02;0.00491206942;0.0;0.0;0.0;0.0036086959119702947;0.004285547621108703;0.010213611939219823;
785;0.9564944186046512;828.5008702325582;0.0;1;0.84;0.03;1.15;1.13;0.0;0.0;0.0;0.79;0.0;0.04;4.94;0.01;0.95;1.21;0.01;1.18;0.25;-12;61;426;1280.322645084098;2770;0.052;4537.3226450840975;0.0;0.0;0.9842762734435215;0.0;0.04;4.94;0.01;0.004195184520000001;0.0;0.0;0.0;8.552053884425206E-4;0.009752096122772393;0.004199635332022603;
760;1.1956276744186047;828.2617373643412;0.0;1;0.82;0.03;1.15;1.13;0.0;0.0;0.0;0.77;0.0;0.04;4.96;0.02;0.95;1.18;0.01;1.15;0.25;-10;62;425;1280.2557461418944;2768;0.052;4535.255746141895;0.0;0.0;0.9590759397824552;0.0;0.04;4.96;0.02;0.0052440229800000005;0.0;0.0;0.0;0.009738576335608795;0.006903231864622074;0.01039818223360046;
823;0.8483074418604653;828.6090572093025;0.0;1;0.89;0.03;1.04;1.13;0.0;0.0;0.0;0.77;0.0;0.04;4.96;0.55;0.93;1.35;0.01;1.11;0.25;-22;48;446;1257.8480110795606;2885;0.051;4636.848011079561;0.0;0.0;0.9625441647291384;0.0;0.04;4.96;0.55;0.0037206764400000004;0.0;0.0;0.0;0.036856824394722966;0.005810087564770789;1.0116593523793287;
769;0.9478164341085271;828.5095482945738;0.0;1;0.83;0.03;1.15;1.13;0.0;0.0;0.0;0.78;0.0;0.04;4.94;0.01;0.95;1.19;0.01;1.17;0.25;-11;62;425;1280.3250728271912;2768;0.052;4535.325072827191;0.0;0.0;0.9761693964096633;0.0;0.04;4.94;0.01;0.00415712288;0.0;0.0;0.0;0.00354650761514091;0.009762603713657557;0.006320533121731493;
828;0.2781534883720931;829.1792115503878;0.0;1;0.89;0.03;1.09;1.13;0.0;0.0;0.0;0.79;0.0;0.04;4.94;0.32;0.93;1.30;0.00;1.11;0.25;-19;51;433;1268.2370153860818;2806;0.051;4558.237015386082;0.0;0.0;0.9934203627385753;0.0;0.04;4.94;0.32;0.0012199812000000003;0.0;0.0;0.0;0.06760609623168035;0.004407023897279533;0.24688391027759563;
26;0.9507960465116279;828.5065689147287;0.0;1;0.03;0.03;1.15;1.13;0.0;0.0;0.0;0.79;0.0;0.04;4.94;0.02;1.22;0.66;0.01;1.18;0.25;45;118;394;1280.324239326713;2693;0.052;4485.324239326713;0.0;0.0;0.9834832428188874;0.0;0.04;4.94;0.02;0.00417019146;0.0;0.0;0.0;0.004800003936928884;0.010726712607998729;0.006614153764948199;
178;0.7698083720930232;828.6875562790698;0.0;1;0.19;0.03;1.14;1.13;0.0;0.0;0.0;0.8;0.0;0.04;4.93;0.02;1.14;0.75;0.01;1.18;0.25;34;107;401;1278.328971694053;2707;0.051;4493.328971694053;0.0;0.0;0.9954406240449549;0.0;0.04;4.93;0.02;0.00337637952;0.0;0.0;0.0;0.0038819934355356998;0.0036802601529165513;0.008414538177103123;
828;0.2781534883720931;829.1792115503878;0.0;1;0.89;0.03;1.07;1.13;0.0;0.0;0.0;0.79;0.0;0.04;4.94;0.36;0.93;1.32;0.00;1.18;0.25;-21;52;435;1264.1452153860819;2818;0.051;4569.145215386082;0.0;0.0;0.9916829275695029;0.0;0.04;4.94;0.36;0.0012199812000000003;0.0;0.0;0.0;0.0041370742136990196;0.004399118561136997;0.41328678474813957;
