PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfFCEVCars;Eloctrolyzer_Cap;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualH2demand;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;Total Local System Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;Annual MaximumImportElectr.;Annual MaximumExportElectr.;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;KWe;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KW;KW;
39583;44;7038;10;76;18274;0.12500470535360142;3.665764882649328;15.714080078590982;7397;51.70;0.04;31.71;50.67790825345592;0.04;0.34;82.35;0.2;173.17;0.11;39.18;134.46;23.55;98.27;0.31;;;-5791;3073;28877;42358.0;79280;-1.211;7.7526029240000005;153588.0;0.8575238283372019;0.18866247968022665;0.04869635626167485;0.3464833540420492;98.03811296545723;0.2;173.17;0.11;23.502318392129638;0.004228368459646047;0.039601569836159076;0.008788283757145472;0.047640823099596705;0.02474566020105411;0.0042262574273982225;0.039255247472959956;0.008788283757145379;0.03709511835733711;0.024745660201054363;37397;62381;
39995;76;7023;12;24;18374;1.0250773562602349;4.070591919167812;15.309253042072497;7207;52.24;0.08;31.65;49.3723410606838;0.05;0.11;82.8;0.34;172.8;1.02;38.49;136.09;26.14;97.92;0.10;;;-5949;3384;28844;42082.0;79203;-0.745;8.377637482;153513.0;0.8624215778293731;0.1901214091172148;0.05917977806569472;0.10932122549465922;98.575480525459;0.34;172.8;1.02;26.097785971360594;0.02250665897059689;0.006136249644489918;0.9331002057521319;0.043931777919088436;0.01940246397392768;0.013193416904283387;0.006136249644490115;0.9331002057521586;0.042966543312618954;0.019402463973927975;37188;62772;
39961;13;7026;0;65;18391;0.5815926804511108;17.51846900756355;1.8613759536767607;877;52.20;0.01;31.66;6.002937450607553;0.0;0.3;82.88;0.06;172.88;0.58;22.85;175.92;112.32;98.10;0.27;;;-9764;16397;27459;33280.0;73852;17.853;30.803754129999998;150988.0;0.9818711717051966;0.27515976014202015;9.394255269914565E-4;0.2980233649448514;98.66642418206072;0.06;172.88;0.58;112.31616034819218;2.620276270172283E-4;0.025030947747218514;0.5378220086811702;0.013512297308045196;0.004965399087659646;0.0;0.025030947747219253;0.5378220086811781;0.010771593070128191;0.0049653990876596535;30874;69084;
39961;36;7033;3;7;18383;0.10363686873175562;7.044898643393961;12.334946317846347;5807;52.20;0.04;31.69;39.78020187505447;0.01;0.03;82.84;0.16;173.06;0.09;34.69;144.45;45.18;98.78;0.03;;;-6785;6290;28534;40144.0;77965;3.348;13.296146642;152933.0;0.8847730527979453;0.20786925473093681;0.01467088480164235;0.032679007092164494;98.62090052672471;0.16;173.06;0.09;45.16695867239171;0.0019550796944629084;0.007561258081614467;0.03615141902340557;0.03606039318551508;0.02190871874675759;0.0016539925641298864;0.005745526544094105;0.03615141902340509;0.028736964755885268;0.021908718746757934;35805;64153;
39837;69;7033;12;64;18283;0.7963854705629456;13.177967792989827;6.2018771682504825;2920;52.03;0.06;31.68;20.001053867607805;0.06;0.29;82.39;0.31;173.06;0.69;27.47;162.46;84.53;97.90;0.22;;;-8521;12207;27906;36124.0;75582;11.872;23.557914046;151819.0;0.9381112318482663;0.24672404234059217;0.06292590195342697;0.2910011525527811;98.08842616046762;0.31;173.06;0.69;84.48790491119568;0.05080287846173004;0.10340426347398123;0.46396778237125813;0.11324326948717242;0.06496727676880379;0.02026088283461346;0.06773648250460138;0.46396778237127045;0.07339088787300674;0.06496727676880429;32911;66984;
39988;15;7021;5;31;18444;0.48359383715415816;0.33407011454530416;19.045774846695007;8965;52.23;0.01;31.64;61.422623880591395;0.02;0.14;83.12;0.07;172.77;0.47;43.68;125.75;2.16;98.51;0.13;;;-4881;-195;29224;44529.0;80638;-5.898;2.1834210240000003;154196.0;0.8370220333959094;0.16891499648698136;0.024089140373332305;0.14086735432920724;98.94996658673035;0.07;172.77;0.47;2.1418237253843087;0.00927103563167828;0.007672558310048733;0.4370956056400235;0.019595713304209006;0.009958924268198669;0.005354741341060876;0.007672558310048739;0.4370956056400249;0.01424038456496112;0.009958924268198792;38959;61010;
38494;68;7029;12;28;18345;0.27893645938291733;18.415792586052838;0.9640523751874723;454;50.28;0.07;31.67;3.109068909979598;0.05;0.12;82.67;0.31;172.95;0.24;22.12;177.04;118.11;98.69;0.09;;;-9896;17402;27354;32692.0;73388;19.215;32.285341416;150836.0;0.983749073845394;0.2812700411551481;0.05842850397887122;0.1254078985643965;98.41756297335388;0.31;172.95;0.24;118.06917100696056;0.017983292465992156;0.053173862904332764;0.09268512000604728;0.06935541546892755;0.045738768537617595;0.011735276607883509;0.03141650201346072;0.09268512000604653;0.05544215674610426;0.045738768537618296;30442;68805;
39742;18;7026;12;29;18410;0.2771776631995017;8.821311016091904;10.558533945148405;4970;51.91;0.02;31.66;34.0512719731036;0.05;0.13;82.96;0.08;172.88;0.26;32.53;149.37;56.60;98.64;0.11;;;-7273;8031;28350;38973.0;77256;5.847;16.277993954000003;152610.0;0.8985378383718633;0.21909226430393758;0.058522238781637016;0.13342106240645404;98.76747126038819;0.08;172.88;0.26;56.55607131747003;0.016323213405534182;0.03540030670479794;0.20003026547039301;0.010304253874344011;0.015119623744432552;0.011110330466437704;0.026031693174072175;0.20003026547039343;0.01008399236785714;0.0151196237444328;34967;64886;
39837;69;7033;12;64;18283;0.7963854705629456;13.64679255316044;5.73305240807987;2699;52.03;0.06;31.68;18.48909401605758;0.06;0.29;82.39;0.31;173.06;0.69;26.95;163.88;87.54;97.90;0.22;;;-8655;12660;27857;35817.0;75397;12.520;24.340099509999998;151731.0;0.9425565543811122;0.24974332836159407;0.06292590195342697;0.2910011525527811;98.08842616046762;0.31;173.06;0.69;87.49368109607754;0.05080287846173004;0.10340426347398123;0.46396778237125813;0.11324326948717242;0.06496727676880379;0.02026088283461346;0.06773648250460138;0.46396778237127045;0.07339088787300674;0.06496727676880429;32690;67204;
38910;177;6990;5;3;18480;3.559172750018806;0.005209679411049374;19.37463528182926;9120;50.82;0.17;31.44;62.48319878389937;0.02;0.01;83.28;0.8;172.0;3.48;44.27;123.94;0.06;96.56;0.01;;;-4719;-539;29261;44711.0;80903;-6.292;1.6197682860000002;154336.0;0.8318168331520127;0.1671149578244255;0.02596214594653629;0.01172727752350834;99.14275167317264;0.8;172.0;3.48;0.03340081760806085;2.689252296579652E-4;2.1217708856592006E-4;2.9587784264146273;0.2616615470324435;0.33825167425351127;2.6892522965796657E-4;2.1217708856592496E-4;2.9587784264146513;0.17795582951577132;0.3382516742535184;39053;60366;
