PV_Cap;NumberOfConCars;NumberOfEVCars;NumberOfFCEVCars;Eloctrolyzer_Cap;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualH2demand;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualNgasmCHPheat;AnnualBiomassmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;AnnualCost;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualNgasmCHPheat;AnnualBiomassmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilBoilerSolarInput;NGasBoilerSolarInput;NGasCHPSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;
MWe;1000 units;1000 units;1000 units;MWe;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;MEuro;MEuro;MEuro;MEuro;MEuro;Mt;MEuro;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;
101;0.04949141292226172;780.5946653180932;0.05351768758929142;1;0.11;0.04;0.70;1.34;2.0642307280065592E-4;0.0;0.83;2.62;0.0;0.05;2.78;0.92;1.07;0.47;0.01;2.83;0.89;48;250;410;1209.7544068167151;2066;0.181;3935.7544068167153;0.0017802227333925192;0.8704617370525849;3.361751201619238;0.0;0.05;2.78;0.92;2.9368204428070104E-4;7.612240771915997E-4;0.5653331241945886;0.0046140072225271805;0.6971892583504531;0.022025099098366977;0.009293451261029475;
100;0.04949141292226172;780.5946653180932;0.05351768758929142;1;0.11;0.04;0.70;1.34;2.0642307280065592E-4;0.0;0.83;2.62;0.0;0.05;2.78;0.96;1.07;0.47;0.01;2.83;0.85;48;245;415;1209.7544068167151;2089;0.172;3958.7544068167153;4.299562552829412E-4;0.8716606279019946;3.36090127248138;0.0;0.05;2.78;0.96;2.9368204428070104E-4;2.5390625616061966E-4;0.8513232145537706;0.009138597073236167;0.6975691149720127;0.0232135332588829;0.009152906798251422;
103;0.23321782838730612;780.4259929989664;0.03846359125097304;1;0.11;0.04;0.70;1.34;1.4835791781412811E-4;0.0;0.83;2.62;0.0;0.05;2.78;0.90;1.07;0.47;0.01;2.83;0.90;48;250;410;1209.695533091753;2062;0.183;3931.695533091753;4.2174756197982486E-4;0.8737768406433182;3.3596976660741316;0.0;0.05;2.78;0.90;0.0013839145936502745;2.587630754909056E-4;0.527988224151748;0.0040116149637813665;0.6973243081799155;0.023634368476218894;0.004270506661234411;
103;0.2204093757493647;780.4259929989664;0.051272043888914445;1;0.11;0.04;0.70;1.34;1.977614004839319E-4;0.0;0.83;2.62;0.0;0.05;2.78;0.90;1.07;0.47;0.01;2.83;0.90;48;251;410;1209.695533091753;2062;0.183;3932.695533091753;4.2174756197982486E-4;0.8737768406433182;3.3596192554688122;0.0;0.05;2.78;0.90;0.0013079092356967303;2.592896399352154E-4;0.527988224151748;0.004088608076654564;0.6973080336140044;0.02366082033171191;0.002224661753935458;
106;0.2585376493973562;780.3242887906852;0.11484797852224758;1;0.11;0.04;0.70;1.34;4.429801379581611E-4;0.0;0.83;2.63;0.0;0.05;2.78;0.94;1.07;0.48;0.01;2.83;0.87;48;247;413;1209.6600340506723;2075;0.176;3944.660034050672;0.0015575894899867724;0.8702724243024231;3.36935839234212;0.0;0.05;2.78;0.94;0.0015341624115239117;0.0010188520225936244;0.6718129143659326;0.003959388069669326;0.6986611914712352;0.021498720368566974;0.015052466519934275;
100;0.04949141292226172;780.5946653180932;0.05351768758929142;1;0.11;0.04;0.70;1.34;2.0642307280065592E-4;0.0;0.83;2.62;0.0;0.05;2.78;0.96;1.07;0.47;0.01;2.83;0.85;48;245;415;1209.7544068167151;2089;0.172;3958.7544068167153;4.299562552829412E-4;0.8716606279019946;3.36090127248138;0.0;0.05;2.78;0.96;2.9368204428070104E-4;2.5390625616061966E-4;0.8513232145537706;0.009138597073236167;0.6975691149720127;0.0232135332588829;0.009152906798251422;
103;0.26994231538190994;780.3764593026399;0.05127280058300625;1;0.11;0.04;0.70;1.34;1.977643191287134E-4;0.0;0.83;2.63;0.0;0.05;2.78;0.92;1.07;0.47;0.01;2.83;0.88;48;249;411;1209.6782437509235;2067;0.179;3936.6782437509237;0.001559062800821635;0.8732210175416145;3.36582097407533;0.0;0.05;2.78;0.92;0.0016018376994762534;8.992280657069219E-4;0.6030807678425824;0.003607874738356469;0.6984240920224414;0.010892783927965149;0.0013748545648083767;
101;0.04949141292226172;780.5946653180932;0.05351768758929142;1;0.11;0.04;0.70;1.34;2.0642307280065592E-4;0.0;0.83;2.62;0.0;0.05;2.78;0.92;1.07;0.47;0.01;2.83;0.89;48;250;410;1209.7544068167151;2066;0.181;3935.7544068167153;0.0017802227333925192;0.8704617370525849;3.361751201619238;0.0;0.05;2.78;0.92;2.9368204428070104E-4;7.612240771915997E-4;0.5653331241945886;0.0046140072225271805;0.6971892583504531;0.022025099098366977;0.009293451261029475;
110;0.2734243670841681;780.3848114043335;0.03943864718701779;1;0.12;0.04;0.70;1.34;1.521188060650463E-4;0.0;0.83;2.62;0.0;0.05;2.78;0.89;1.07;0.48;0.01;2.83;0.92;47;252;408;1209.6811589852696;2056;0.187;3925.6811589852696;4.4730694118799534E-4;0.8742434846959941;3.3594663334126307;0.0;0.05;2.78;0.89;0.0016225001942774535;1.6238131259944843E-4;0.4415595887004003;0.0028638140530438012;0.6967992505454788;0.02118430274683739;0.005191038414242379;
103;0.22210944730064935;780.4422262093383;0.03333876196578057;1;0.11;0.04;0.70;1.34;1.2859093877821222E-4;0.0;0.83;2.62;0.0;0.05;2.78;0.85;1.07;0.47;0.01;2.83;0.95;48;256;406;1209.7011991640973;2045;0.194;3916.7011991640975;0.0012918373276828183;0.870721695263206;3.360789697112386;0.0;0.05;2.78;0.85;0.0013179974602820534;5.025500367737568E-4;0.3207671010225202;0.00307816169187035;0.6970390311633998;0.019319072264713053;0.003771917530631989;
106;0.16773508008246235;780.4148981806851;0.11504115783717657;1;0.11;0.04;0.70;1.34;4.4372524989377376E-4;0.0;0.83;2.62;0.0;0.05;2.78;0.91;1.07;0.48;0.01;2.83;0.89;48;250;410;1209.6916605341016;2064;0.182;3933.6916605341016;9.445341406904203E-4;0.8713808842239273;3.3625120214244437;0.0;0.05;2.78;0.91;9.953399652093315E-4;4.3488785929908427E-4;0.5430299054169662;0.003366614554147352;0.6994379295976275;0.016412498302235633;0.005788074895331687;
103;0.23321782838730612;780.4259929989664;0.03846359125097304;1;0.11;0.04;0.70;1.34;1.4835791781412811E-4;0.0;0.83;2.62;0.0;0.05;2.78;0.90;1.07;0.47;0.01;2.83;0.90;48;250;410;1209.695533091753;2062;0.183;3931.695533091753;4.2174756197982486E-4;0.8737768406433182;3.3596976660741316;0.0;0.05;2.78;0.90;0.0013839145936502745;2.587630754909056E-4;0.527988224151748;0.0040116149637813665;0.6973243081799155;0.023634368476218894;0.004270506661234411;
103;0.22210944730064935;780.4422262093383;0.03333876196578057;1;0.11;0.04;0.70;1.34;1.2859093877821222E-4;0.0;0.83;2.62;0.0;0.05;2.78;0.85;1.07;0.47;0.01;2.83;0.95;48;256;406;1209.7011991640973;2045;0.194;3916.7011991640975;0.0012712521157978223;0.870698838431135;3.360727049802485;0.0;0.05;2.78;0.85;0.0013179974602820534;4.945419859394026E-4;0.3207586807433405;0.0031457588422286182;0.6970279146828301;0.01918944553488829;0.00381707394986329;
104;0.19658933597828404;780.4616091267112;0.03947595591531479;1;0.11;0.02;0.70;1.34;1.5226270956096067E-4;0.0;0.83;2.63;0.0;0.03;2.8;0.94;1.09;0.47;0.01;2.83;0.85;49;246;414;1209.7079646164982;2081;0.172;3950.7079646164984;4.003038184637881E-4;0.8715743894282217;3.368900428269354;0.0;0.03;2.8;0.94;0.0011665611196951375;2.1876119940206998E-4;0.7882524252657274;0.003998247707458607;0.6542483029224901;0.012477429530953899;0.021198230823342393;
104;0.34982675944935915;780.2983576097529;0.04949004940244024;1;0.11;0.02;0.70;1.34;1.9088806955015226E-4;0.0;0.83;2.63;0.0;0.03;2.8;0.88;1.09;0.47;0.01;2.79;0.94;49;255;407;1209.6509829792099;2048;0.191;3919.65098297921;0.001435561068079629;0.872972825343423;3.367383886432084;0.0;0.03;2.8;0.88;0.0020758719905724973;9.2691350891132E-4;0.3495757348544796;0.001490755463630034;0.700533822888585;0.010375208151267344;0.01872413121522763;
106;0.27249634587042676;780.3158301553751;0.10934791735905561;1;0.11;0.04;0.70;1.34;4.217658520456134E-4;0.0;0.83;2.62;0.0;0.05;2.78;0.93;1.07;0.48;0.01;2.84;0.87;48;248;412;1209.657081631619;2071;0.178;3940.657081631619;0.001484418219711392;0.8702123215927734;3.36459819226912;0.0;0.05;2.78;0.93;0.0016169933163951125;9.478894495858143E-4;0.6411184413704774;0.0038397372590936365;0.6982927438322413;0.01199661506490942;0.008473621448654732;
106;0.27012878562253534;780.3158301553751;0.11171547760694704;1;0.11;0.04;0.70;1.34;4.308977686777554E-4;0.0;0.83;2.63;0.0;0.05;2.78;0.93;1.07;0.48;0.01;2.83;0.87;48;248;412;1209.657081631619;2071;0.177;3940.657081631619;0.0015162543462359831;0.8738709861494514;3.3661733073320814;0.0;0.05;2.78;0.93;0.0016029442138841248;9.394209242731638E-4;0.6441729730707277;0.002541998478763291;0.6986732434964555;0.011530190132590342;0.008473621448654732;
103;0.27230987562980136;780.3764593026399;0.04890524033511483;1;0.11;0.04;0.70;1.34;1.8863240249657138E-4;0.0;0.83;2.63;0.0;0.05;2.78;0.92;1.07;0.47;0.01;2.83;0.89;48;249;411;1209.6782437509235;2068;0.18;3937.6782437509237;3.8282400762608843E-4;0.8690292368678478;3.3690736398055248;0.0;0.05;2.78;0.92;0.0016158868019872413;2.2080322338674218E-4;0.6028121753633132;0.0070232895680113335;0.6990990358553908;0.010913791888570572;0.0013748545648083767;
111;0.22677786238977274;780.4002888382889;0.07060771792598468;1;0.12;0.03;0.70;1.34;2.723410288123155E-4;0.0;0.83;2.64;0.0;0.03;2.78;0.83;1.08;0.48;0.01;2.81;0.99;48;259;405;1209.6865612598963;2039;0.201;3912.6865612598963;5.09185364307816E-4;0.8735715517721225;3.385409977226553;0.0;0.03;2.78;0.83;0.0013456998354209114;3.1547125698585306E-4;0.23856561756165204;0.0018817022741809226;0.7026219233127092;0.0145632518236838;0.0050772970679151905;
106;0.2201419130885127;780.4148981806851;0.06263432483112623;1;0.11;0.04;0.70;1.34;2.4158685430613697E-4;0.0;0.83;2.63;0.0;0.05;2.78;0.91;1.07;0.48;0.01;2.83;0.89;48;250;410;1209.6916605341016;2063;0.182;3932.6916605341016;3.0799645659653103E-4;0.8719504179412746;3.3688499846918782;0.0;0.05;2.78;0.91;0.0013063221122672343;1.4224217837088444E-4;0.5433848292467887;0.003366614554147352;0.6990540338959913;0.014865212558578395;0.004079442493572124;
100;0.3230597426932751;780.2811833169549;0.09343135895648831;1;0.11;0.04;0.70;1.34;3.603740946310711E-4;0.0;0.83;2.62;0.0;0.05;2.78;0.90;1.07;0.47;0.01;2.83;0.90;48;251;409;1209.644988429566;2060;0.184;3929.644988429566;2.8377707137419646E-4;0.870828281530549;3.3648872602203093;0.0;0.05;2.78;0.90;0.0019170365131418944;1.6382446921496026E-4;0.5025070429404943;0.003542363872427962;0.697924161777804;0.02341035638186647;0.002329239314301488;
102;0.17781764533851166;780.4422262093383;0.07763056392791827;1;0.11;0.04;0.70;1.34;2.9942884812637357E-4;0.0;0.83;2.62;0.0;0.05;2.78;0.85;1.07;0.47;0.01;2.83;0.95;48;256;406;1209.7011991640973;2045;0.194;3916.7011991640975;0.0012712521157978223;0.870698838431135;3.360727049802485;0.0;0.05;2.78;0.85;0.0010551699074387282;4.8701864675541976E-4;0.3207586807433405;0.0031457588422286182;0.6970279146828301;0.019165600121775997;0.003817164349353159;
100;0.04949141292226172;780.5946653180932;0.05351768758929142;1;0.11;0.04;0.70;1.34;2.0642307280065592E-4;0.0;0.83;2.62;0.0;0.05;2.78;0.96;1.07;0.47;0.01;2.83;0.85;48;245;415;1209.7544068167151;2089;0.172;3958.7544068167153;4.299562552829412E-4;0.8716606279019946;3.36090127248138;0.0;0.05;2.78;0.96;2.9368204428070104E-4;2.5390625616061966E-4;0.8513232145537706;0.009138597073236167;0.6975691149720127;0.0232135332588829;0.009152906798251422;
106;0.27249634587042676;780.3158301553751;0.10934791735905561;1;0.11;0.04;0.70;1.34;4.217658520456134E-4;0.0;0.83;2.62;0.0;0.05;2.78;0.93;1.07;0.48;0.01;2.84;0.87;48;248;412;1209.657081631619;2071;0.178;3940.657081631619;0.001484418219711392;0.8702123215927734;3.36459819226912;0.0;0.05;2.78;0.93;0.0016169933163951125;9.478894495858143E-4;0.6411184413704774;0.0038397372590936365;0.6982927438322413;0.01199661506490942;0.008473621448654732;
118;0.04949141292226172;780.6104718446393;0.03771116104320403;1;0.12;0.04;0.70;1.34;1.4545571925974227E-4;0.0;0.83;2.62;0.0;0.05;2.78;0.96;1.06;0.48;0.01;2.83;0.85;47;244;415;1209.7599239584802;2087;0.172;3955.75992395848;0.0015194516776873336;0.8688583316865613;3.363566842529139;0.0;0.05;2.78;0.96;2.9368204428070104E-4;8.921374578055552E-4;0.8063230528783165;0.007086064633131535;0.6996360559869991;0.020902366177104444;0.005947330200087739;
102;0.2775005685424116;780.3837834405778;0.03639040948445902;1;0.11;0.04;0.70;1.34;1.403614484225069E-4;0.0;0.83;2.62;0.0;0.05;2.78;0.84;1.07;0.47;0.01;2.83;0.97;48;258;405;1209.6808001827362;2041;0.197;3913.680800182736;2.8377707137419646E-4;0.8707912809622843;3.3632335165756397;0.0;0.05;2.78;0.84;0.0016466883737306706;1.3007890553280705E-4;0.2702741335119479;0.0025991639774460224;0.6976051094576685;0.012214589121452587;0.0028867848816307527;
112;0.2199195974354511;780.4355761194772;0.04217870169208635;1;0.12;0.04;0.70;1.34;1.6268747029654626E-4;0.0;0.83;2.63;0.0;0.05;2.78;0.94;1.07;0.48;0.01;2.83;0.86;47;246;413;1209.698878003379;2076;0.176;3944.698878003379;3.8385929626258316E-4;0.871529043690676;3.3687308458701457;0.0;0.05;2.78;0.94;0.0013050028911819667;2.0951985081034194E-4;0.6927052096085872;0.005110491687483869;0.7001792765303849;0.019179357542904795;0.005747442790820947;
104;0.19658933597828404;780.4616091267112;0.03947595591531479;1;0.11;0.02;0.70;1.34;1.5226270956096067E-4;0.0;0.83;2.63;0.0;0.03;2.8;0.94;1.09;0.47;0.01;2.83;0.85;49;246;414;1209.7079646164982;2081;0.172;3950.7079646164984;4.003038184637881E-4;0.8715743894282217;3.368900428269354;0.0;0.03;2.8;0.94;0.0011665611196951375;2.1876119940206998E-4;0.7882524252657274;0.003998247707458607;0.6542483029224901;0.012477429530953899;0.021198230823342393;
