PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;ngasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
14516;372;2559;8;321;11597;1578;1196;1686.0;15.55;1.65;7.95;2.80;0.02;0.67;24.02;1.16;25.44;28.35;8.58;15.47;32.03;4.04;1295.0;1186.0;1121.0;1463.0;5433.0;733.0;5836.0;2834;5117.0;11.709;18852.0;0.67;0.37;0.020727451572760652;0.7395548545603348;32.027208281184954;1.16;25.44;6.54;8.91;
10052;3810;1365;65;791;11643;2532;1919;9.0;10.77;16.91;4.24;0.02;0.13;1.64;24.12;11.84;13.57;11.10;8.31;24.96;32.15;35.64;2098.0;1902.0;1125.0;387.0;8598.0;1028.0;5146.0;15;2582.0;14.791;17363.0;0.4;0.55;0.16736441604205496;1.8209726340114436;32.15428268900334;11.84;13.57;10.49;14.3;
13094;4042;1635;15;54;10785;2114;1602;744.0;14.03;17.94;5.08;1.24;0.03;0.11;22.34;12.56;16.26;11.22;10.65;20.74;29.78;36.01;1737.0;1588.0;1042.0;260.0;7746.0;1096.0;5366.0;1251;4378.0;12.989;19351.0;0.43;0.52;0.039977829081464925;0.12491443950227073;29.784030403595168;12.56;16.26;8.76;11.94;
10977;1468;2200;13;319;11672;1238;938;2284.0;11.76;6.51;6.84;3.80;0.03;0.66;24.18;4.56;21.88;24.59;6.01;12.15;32.23;13.76;1019.0;930.0;1128.0;1357.0;5638.0;784.0;5824.0;3839;5903.0;12.411;20497.0;0.56;0.39;0.034439373591476884;0.7345891438318719;32.234932270866246;4.56;21.88;5.13;6.99;
13389;3180;1738;85;214;11356;734;556;3170.0;14.34;14.11;5.40;5.27;0.18;0.44;23.52;9.88;17.28;17.61;9.17;7.40;31.36;28.72;632.0;551.0;1097.0;727.0;5500.0;1016.0;5828.0;5329;8244.0;10.716;23847.0;0.49;0.41;0.2210945174787668;0.49359253027939004;31.362163875510817;9.88;17.28;3.04;4.14;
13263;4046;1725;8;80;10329;2263;1715;482.0;14.21;17.96;5.36;0.80;0.02;0.17;21.39;12.57;17.15;11.08;10.86;22.18;28.53;36.10;1856.0;1701.0;998.0;242.0;7923.0;1095.0;5350.0;810;3961.0;13.264;18824.0;0.44;0.53;0.021490028976310492;0.183393326004126;28.525970113273328;12.57;17.15;9.38;12.78;
10736;1450;2076;206;263;12158;1008;764;2688.0;11.50;6.43;6.45;4.47;0.43;0.55;25.18;4.5;20.64;25.04;5.84;10.40;33.58;13.48;902.0;758.0;1175.0;1389.0;5405.0;784.0;5853.0;4519;6536.0;12.108;21341.0;0.56;0.37;0.5336130863973256;0.60626766872728;33.578545864269515;4.5;20.64;4.18;5.69;
8312;2673;1867;211;380;11204;75;57;4328.0;8.90;11.87;5.80;7.20;0.44;0.79;23.21;8.31;18.56;22.86;4.41;1.28;30.94;24.61;140.0;56.0;1083.0;1307.0;4723.0;860.0;6075.0;7275;9268.0;11.724;25375.0;0.48;0.37;0.5456447362288395;0.8738203165556068;30.941541500460172;8.31;18.56;.31;.42;
9571;367;2567;191;145;11558;510;386;3564.0;10.25;1.63;7.98;5.93;0.4;0.3;23.94;1.14;25.52;32.78;4.54;5.48;31.92;3.59;489.0;383.0;1117.0;1938.0;4257.0;633.0;6171.0;5991;7529.0;11.919;22254.0;0.64;0.32;0.4946824212525484;0.3343469548149202;31.920666649495;1.14;25.52;2.11;2.88;
13877;1822;2065;56;33;12034;497;377;3586.0;14.87;8.09;6.41;5.97;0.12;0.07;24.93;5.66;20.53;24.32;8.68;5.02;33.23;16.25;429.0;373.0;1163.0;1178.0;4562.0;882.0;6010.0;6028;8642.0;10.033;23782.0;0.58;0.35;0.14505194718516476;0.07684550045196542;33.23457138393538;5.66;20.53;2.06;2.81;
