PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;
6464;4099;1315;64;876;11369;525;398;3537.0;6.92;18.19;4.08;5.88;0.13;1.82;23.55;12.73;13.07;14.91;3.84;5.32;31.40;38.40;455.0;395.0;1099.0;868.0;6141.0;985.0;5752.0;5946;8051.0;13.054;24565.0;0.37;0.45;
14036;3105;1452;55;966;12119;1523;1154;1783.0;15.04;13.78;4.51;2.97;0.11;2.0;25.1;9.65;14.44;13.83;8.95;15.05;33.47;29.79;1268.0;1144.0;1171.0;539.0;6705.0;1037.0;5489.0;2997;5956.0;11.714;21020.0;0.48;0.45;
12924;422;2408;4;725;11847;2390;1811;259.0;13.85;1.87;7.48;0.43;0.01;1.5;24.54;1.31;23.94;25.53;7.11;23.40;32.72;5.41;1958.0;1795.0;1145.0;1385.0;6769.0;714.0;5536.0;435;2474.0;13.601;15759.0;0.73;0.42;
11728;4915;1262;25;204;11107;2035;1543;882.0;12.56;21.81;3.92;1.47;0.05;0.42;23.01;15.27;12.55;8.92;11.69;20.00;30.67;44.10;1677.0;1528.0;1073.0;47.0;8139.0;1170.0;5266.0;1483;4646.0;13.293;20128.0;0.45;0.56;
12960;3840;1393;290;1197;10835;1665;1262;1533.0;13.88;17.04;4.33;2.55;0.6;2.48;22.44;11.93;13.85;11.63;9.46;17.05;29.92;36.84;1472.0;1251.0;1047.0;362.0;7322.0;1087.0;5424.0;2577;5556.0;12.744;20965.0;0.45;0.5;
5771;487;2451;36;68;12168;2537;1923;0.0;6.18;2.16;7.62;0.00;0.07;0.14;25.2;1.51;24.37;27.54;2.05;24.93;33.60;4.48;2091.0;1905.0;1176.0;1780.0;7359.0;575.0;5503.0;0;1014.0;16.254;14451.0;0.67;0.44;
14757;3368;1409;14;994;11946;1432;1085;1943.0;15.81;14.95;4.38;3.23;0.03;2.06;24.74;10.46;14.01;12.91;9.84;14.05;32.99;32.18;1177.0;1075.0;1154.0;430.0;6625.0;1078.0;5503.0;3266;6408.0;11.316;21611.0;0.48;0.45;
10363;990;2398;79;638;11053;2168;1643;649.0;11.10;4.39;7.45;1.08;0.16;1.32;22.89;3.07;23.84;24.19;4.94;21.43;30.53;10.25;1805.0;1628.0;1068.0;1418.0;6823.0;716.0;5599.0;1091;2904.0;14.361;16709.0;0.64;0.43;
5858;3980;1291;7;1025;11568;1384;1049;2027.0;6.28;17.67;4.01;3.37;0.01;2.12;23.96;12.37;12.83;13.69;4.03;13.58;31.95;37.69;1137.0;1041.0;1118.0;781.0;7339.0;963.0;5479.0;3407;5383.0;14.591;21248.0;0.37;0.5;
6074;4263;1417;38;494;11040;2176;1649;635.0;6.51;18.92;4.40;1.06;0.08;1.02;22.87;13.25;14.08;11.65;5.40;21.41;30.49;38.98;1796.0;1635.0;1067.0;573.0;8446.0;988.0;5274.0;1067;3180.0;15.732;18541.0;0.38;0.55;
5874;3501;1453;446;583;11509;2500;1895;65.0;6.29;15.54;4.52;0.11;0.92;1.21;23.84;10.88;14.45;13.26;4.25;25.64;31.79;32.42;2215.0;1878.0;1112.0;747.0;8763.0;910.0;5185.0;109;1951.0;16.456;16876.0;0.4;0.55;
14157;465;2451;3;873;11429;2534;1920;6.0;15.17;2.06;7.61;0.01;0.01;1.81;23.67;1.45;24.37;24.99;8.37;24.82;31.57;6.14;2076.0;1904.0;1105.0;1281.0;6915.0;741.0;5505.0;10;2238.0;13.499;15405.0;0.76;0.43;
14067;3624;1471;14;225;12031;85;65;4310.0;15.07;16.08;4.57;7.17;0.03;0.47;24.92;11.26;14.63;14.41;7.60;0.87;33.23;32.68;75.0;63.0;1163.0;651.0;4784.0;1085.0;5942.0;7245;10395.0;9.248;26636.0;0.43;0.37;
12712;1399;2160;56;561;11682;2371;1797;292.0;13.62;6.21;6.71;0.49;0.12;1.16;24.2;4.35;21.48;20.98;7.38;23.37;32.26;13.71;1963.0;1782.0;1129.0;1081.0;7155.0;814.0;5460.0;491;2781.0;13.620;16510.0;0.64;0.44;
7045;3458;2040;16;116;9655;1345;1019;2096.0;7.55;15.35;6.34;3.49;0.03;0.24;20.0;10.74;20.28;16.35;3.21;13.20;26.66;30.97;1107.0;1010.0;933.0;1008.0;6742.0;899.0;5738.0;3523;5567.0;14.323;21101.0;0.41;0.46;
11512;3412;1397;91;723;12131;1280;970;2210.0;12.33;15.14;4.34;3.68;0.19;1.5;25.13;10.6;13.89;13.65;6.89;12.76;33.50;31.95;1082.0;961.0;1172.0;638.0;6622.0;1018.0;5545.0;3715;6391.0;12.205;21848.0;0.43;0.45;
12950;1440;1982;28;1042;12024;1464;1110;1886.0;13.87;6.39;6.16;3.14;0.06;2.16;24.91;4.47;19.71;21.64;6.38;14.41;33.21;15.18;1210.0;1100.0;1162.0;1181.0;5980.0;832.0;5682.0;3170;5487.0;12.144;19920.0;0.59;0.39;
10429;1119;2309;56;189;11760;521;395;3544.0;11.17;4.97;7.17;5.90;0.12;0.39;24.36;3.48;22.96;26.34;3.19;5.24;32.48;10.37;447.0;392.0;1136.0;1653.0;4541.0;734.0;6083.0;5957;7844.0;11.481;22845.0;0.59;0.32;
12727;3719;1619;2;229;11185;2196;1664;600.0;13.63;16.51;5.03;1.00;0.0;0.47;23.17;11.56;16.1;11.72;9.61;21.50;30.89;33.54;1799.0;1650.0;1081.0;360.0;7796.0;1059.0;5335.0;1009;3982.0;13.218;18789.0;0.47;0.51;
7163;2596;1606;30;1029;12106;49;37;4374.0;7.67;11.52;4.99;7.28;0.06;2.13;25.08;8.06;15.97;21.19;1.90;0.56;33.43;25.41;52.0;36.0;1170.0;1385.0;4850.0;844.0;5997.0;7353;9130.0;11.990;25317.0;0.45;0.36;
6361;638;2454;0;713;11318;2395;1815;250.0;6.81;2.83;7.62;0.42;0.0;1.48;23.44;1.98;24.4;26.91;2.29;23.45;31.26;7.30;1961.0;1800.0;1094.0;1728.0;7232.0;600.0;5548.0;420;1532.0;16.139;15169.0;0.65;0.44;
12398;4673;1248;24;727;11015;17;13;4430.0;13.28;20.74;3.88;7.37;0.05;1.51;22.81;14.52;12.41;12.00;8.56;0.23;30.42;43.15;23.0;13.0;1064.0;428.0;5262.0;1161.0;5888.0;7447;10616.0;10.058;27481.0;0.4;0.42;
14257;5149;988;17;90;12194;1;0;4459.0;15.27;22.85;3.07;7.42;0.03;0.19;25.26;16.0;9.82;10.29;11.71;0.04;33.68;45.91;6.0;0.0;1178.0;136.0;5291.0;1257.0;5808.0;7496;11116.0;8.893;28056.0;0.43;0.43;
12731;1097;2124;9;697;12221;20;15;4425.0;13.64;4.87;6.60;7.36;0.02;1.44;25.31;3.41;21.11;25.95;4.28;0.21;33.75;11.35;20.0;15.0;1181.0;1573.0;3785.0;788.0;6177.0;7438;9643.0;9.850;24942.0;0.59;0.29;
7905;2548;1744;449;309;11817;1100;834;2526.0;8.47;11.31;5.42;4.20;0.93;0.64;24.48;7.92;17.34;19.04;2.98;11.93;32.64;23.33;1069.0;827.0;1142.0;1194.0;6260.0;847.0;5716.0;4246;6136.0;13.436;21556.0;0.46;0.42;
8281;4565;1005;4;999;12093;1393;1056;2011.0;8.87;20.26;3.12;3.35;0.01;2.07;25.05;14.18;9.99;10.87;7.31;13.65;33.40;42.82;1143.0;1046.0;1169.0;415.0;7477.0;1081.0;5382.0;3380;5891.0;13.550;21898.0;0.38;0.52;
10596;1521;2073;61;995;11480;1627;1233;1600.0;11.35;6.75;6.44;2.66;0.13;2.06;23.78;4.73;20.61;21.95;4.74;16.09;31.71;15.79;1356.0;1222.0;1109.0;1289.0;6356.0;788.0;5660.0;2690;4674.0;13.388;19123.0;0.57;0.41;
6666;2150;2062;4;750;10889;1372;1040;2048.0;7.14;9.54;6.41;3.41;0.01;1.55;22.56;6.68;20.5;21.50;2.15;13.45;30.07;20.81;1125.0;1032.0;1052.0;1394.0;6414.0;768.0;5736.0;3443;5029.0;14.455;20052.0;0.5;0.43;
5854;1633;2175;6;261;11611;2465;1868;127.0;6.27;7.25;6.76;0.21;0.01;0.54;24.05;5.07;21.63;22.07;2.39;24.15;32.07;15.09;2021.0;1853.0;1122.0;1415.0;7730.0;698.0;5436.0;213;1556.0;16.208;15551.0;0.55;0.47;
13721;952;2411;105;673;10987;480;364;3616.0;14.70;4.22;7.49;6.02;0.22;1.39;22.76;2.96;23.97;26.21;5.41;4.97;30.34;10.00;433.0;361.0;1062.0;1528.0;4264.0;779.0;6129.0;6078;8382.0;10.525;23271.0;0.63;0.32;
12737;579;2384;34;863;11559;1456;1104;1900.0;13.65;2.57;7.41;3.16;0.07;1.79;23.94;1.8;23.7;26.32;5.75;14.35;31.92;7.13;1206.0;1093.0;1117.0;1513.0;5564.0;726.0;5817.0;3194;5240.0;12.319;19300.0;0.68;0.37;
13562;3744;1559;15;208;11443;145;110;4205.0;14.53;16.62;4.85;6.99;0.03;0.43;23.7;11.63;15.5;14.28;7.36;1.46;31.60;33.71;125.0;109.0;1106.0;655.0;4914.0;1082.0;5953.0;7069;10175.0;9.650;26447.0;0.42;0.38;
7596;796;2354;56;250;11967;617;467;3376.0;8.14;3.53;7.32;5.62;0.12;0.52;24.79;2.47;23.41;29.05;1.57;6.18;33.05;7.64;525.0;464.0;1156.0;1905.0;4730.0;645.0;6068.0;5675;7040.0;12.666;21953.0;0.61;0.33;
6638;2439;1785;51;370;12119;2494;1890;76.0;7.11;10.83;5.55;0.13;0.11;0.77;25.1;7.58;17.74;17.48;3.53;24.55;33.47;22.51;2061.0;1875.0;1171.0;1062.0;8126.0;809.0;5296.0;128;1814.0;15.853;16123.0;0.47;0.49;
6869;3855;1402;100;86;12070;2508;1901;51.0;7.36;17.11;4.35;0.08;0.21;0.18;25.0;11.98;13.93;11.84;5.66;24.81;33.34;34.42;2091.0;1884.0;1166.0;577.0;8700.0;966.0;5165.0;86;2222.0;15.673;17105.0;0.4;0.54;
6480;4238;1287;11;893;11330;2136;1619;705.0;6.94;18.81;4.00;1.17;0.02;1.85;23.47;13.17;12.79;11.41;5.78;20.94;31.29;39.68;1753.0;1604.0;1095.0;538.0;8424.0;1000.0;5242.0;1185;3334.0;15.539;18725.0;0.38;0.55;
6663;2019;1828;2;946;12018;2531;1919;10.0;7.14;8.96;5.68;0.02;0.0;1.96;24.89;6.27;18.17;19.12;3.30;24.80;33.19;20.10;2074.0;1902.0;1161.0;1179.0;8067.0;768.0;5300.0;17;1559.0;16.068;15704.0;0.51;0.49;
9549;2840;1678;64;876;11511;331;251;3878.0;10.23;12.61;5.21;6.45;0.13;1.82;23.84;8.82;16.69;18.57;3.53;3.41;31.79;27.23;295.0;248.0;1112.0;1138.0;5157.0;911.0;5933.0;6519;8729.0;11.645;24716.0;0.44;0.38;
5687;2801;1627;42;597;12115;2523;1912;25.0;6.09;12.43;5.06;0.04;0.09;1.24;25.09;8.7;16.18;16.05;3.26;24.82;33.46;26.24;2082.0;1896.0;1171.0;983.0;8410.0;832.0;5235.0;42;1677.0;16.284;16180.0;0.44;0.51;
6177;3976;1291;42;754;11811;829;628;3003.0;6.62;17.65;4.01;5.00;0.09;1.56;24.46;12.35;12.83;14.69;3.73;8.23;32.62;37.03;694.0;624.0;1141.0;861.0;6527.0;969.0;5651.0;5048;7084.0;13.501;23318.0;0.37;0.46;
14503;269;2399;79;638;12130;2170;1645;645.0;15.54;1.20;7.45;1.07;0.16;1.32;25.13;0.84;23.85;26.09;8.08;21.46;33.50;3.86;1808.0;1630.0;1172.0;1369.0;6332.0;732.0;5600.0;1084;3318.0;12.635;16645.0;0.76;0.39;
12727;4549;1360;36;195;11185;2086;1581;793.0;13.63;20.19;4.22;1.32;0.07;0.4;23.17;14.13;13.52;9.51;11.58;20.51;30.89;40.83;1722.0;1566.0;1081.0;98.0;8000.0;1151.0;5282.0;1333;4543.0;13.007;19791.0;0.46;0.54;
12364;3089;1623;68;49;12229;216;164;4080.0;13.25;13.71;5.04;6.79;0.14;0.1;25.33;9.6;16.13;16.72;5.62;2.30;33.77;27.53;202.0;163.0;1182.0;908.0;4845.0;993.0;5952.0;6858;9606.0;10.050;25590.0;0.44;0.36;
14038;2042;2548;33;72;9367;2508;1901;51.0;15.04;9.06;7.92;0.08;0.07;0.15;19.4;6.34;25.33;19.08;8.97;24.64;25.87;18.30;2066.0;1884.0;905.0;873.0;7323.0;880.0;5543.0;86;2777.0;13.691;16575.0;0.63;0.47;
14545;4565;1005;4;999;12093;49;37;4374.0;15.58;20.26;3.12;7.28;0.01;2.07;25.05;14.18;9.99;11.29;10.52;0.49;33.40;42.82;42.0;36.0;1169.0;276.0;5227.0;1207.0;5798.0;7353;10805.0;9.137;27533.0;0.42;0.42;
11438;1170;2475;23;112;10994;477;361;3622.0;12.25;5.20;7.69;6.03;0.05;0.23;22.77;3.64;24.61;26.29;3.80;4.73;30.36;10.65;399.0;359.0;1062.0;1618.0;4375.0;751.0;6152.0;6089;8144.0;11.175;23145.0;0.6;0.32;
5671;1573;2184;53;725;11147;1747;1324;1389.0;6.08;6.98;6.79;2.31;0.11;1.5;23.09;4.89;21.71;23.91;1.65;17.25;30.79;15.63;1451.0;1313.0;1077.0;1572.0;6778.0;688.0;5661.0;2335;3607.0;15.398;18162.0;0.55;0.43;
11174;3009;2106;42;454;9647;530;402;3528.0;11.97;13.35;6.54;5.87;0.09;0.94;19.98;9.35;20.94;18.06;4.75;5.31;26.64;27.75;451.0;399.0;932.0;1041.0;5231.0;937.0;6013.0;5931;8448.0;11.651;24256.0;0.46;0.39;
6709;3792;1524;4;750;11009;2535;1922;3.0;7.19;16.83;4.74;0.00;0.01;1.55;22.8;11.78;15.16;12.25;5.30;24.84;30.40;35.39;2078.0;1905.0;1064.0;624.0;8736.0;951.0;5199.0;5;2067.0;16.138;16956.0;0.4;0.55;
13060;809;2437;45;83;11730;1415;1072;1973.0;13.99;3.59;7.57;3.28;0.09;0.17;24.3;2.51;24.23;25.50;6.01;13.97;32.40;7.37;1175.0;1062.0;1134.0;1447.0;5474.0;751.0;5847.0;3317;5515.0;11.896;19615.0;0.66;0.36;
12723;1674;2240;36;143;11325;284;215;3961.0;13.63;7.43;6.96;6.59;0.07;0.3;23.46;5.2;22.27;23.47;4.76;2.87;31.28;15.19;245.0;214.0;1094.0;1389.0;4270.0;836.0;6134.0;6658;9049.0;10.310;24361.0;0.56;0.32;
5848;1459;2140;20;185;12101;261;198;4001.0;6.26;6.48;6.65;6.66;0.04;0.38;25.06;4.53;21.28;27.63;0.85;2.61;33.42;13.38;222.0;196.0;1169.0;1847.0;4607.0;683.0;6107.0;6726;8023.0;12.659;23533.0;0.56;0.33;
6826;4197;1297;21;301;11922;288;218;3954.0;7.31;18.63;4.03;6.58;0.04;0.62;24.69;13.04;12.9;14.94;4.05;2.86;32.93;37.95;243.0;216.0;1152.0;858.0;5754.0;1003.0;5821.0;6647;8866.0;12.255;25509.0;0.37;0.43;
11178;984;2594;33;595;10209;1806;1369;1285.0;11.97;4.37;8.06;2.14;0.07;1.23;21.15;3.06;25.79;25.13;5.06;17.77;28.19;10.11;1491.0;1356.0;987.0;1473.0;6198.0;722.0;5777.0;2160;4096.0;13.653;18114.0;0.65;0.41;
14608;672;2382;25;67;12233;1102;835;2523.0;15.65;2.98;7.40;4.20;0.05;0.14;25.34;2.09;23.68;26.00;6.81;10.86;33.78;6.12;912.0;829.0;1182.0;1437.0;4907.0;772.0;5927.0;4241;6637.0;10.719;20837.0;0.68;0.33;
5878;1633;2175;3;271;11603;2529;1917;14.0;6.30;7.25;6.76;0.02;0.01;0.56;24.03;5.07;21.63;21.93;2.47;24.77;32.04;15.12;2072.0;1900.0;1121.0;1402.0;7817.0;698.0;5416.0;24;1370.0;16.300;15315.0;0.55;0.47;
14839;2801;1729;43;679;11547;384;291;3785.0;15.90;12.43;5.37;6.30;0.09;1.41;23.92;8.7;17.19;17.06;7.50;3.87;31.89;26.43;331.0;288.0;1116.0;831.0;4859.0;1010.0;5934.0;6363;9367.0;9.708;25061.0;0.49;0.36;
6914;68;2577;17;246;12034;2167;1643;650.0;7.41;0.30;8.01;1.08;0.04;0.51;24.93;0.21;25.62;29.90;2.30;21.26;33.24;1.17;1781.0;1628.0;1163.0;1917.0;6612.0;552.0;5660.0;1093;2150.0;15.343;15642.0;0.71;0.4;
10343;3953;1360;3;438;11866;1999;1515;946.0;11.08;17.54;4.23;1.57;0.01;0.91;24.58;12.28;13.53;11.37;7.98;19.58;32.77;36.10;1638.0;1501.0;1147.0;423.0;7835.0;1047.0;5309.0;1590;4264.0;13.678;19427.0;0.42;0.51;
9417;3048;1613;58;842;11555;252;191;4017.0;10.09;13.53;5.01;6.68;0.12;1.74;23.93;9.47;16.03;17.86;3.56;2.61;31.91;28.99;228.0;189.0;1117.0;1089.0;5137.0;931.0;5937.0;6753;9004.0;11.537;25138.0;0.42;0.38;
12924;1198;2176;55;1069;11401;2361;1790;309.0;13.85;5.32;6.76;0.51;0.11;2.21;23.62;3.72;21.63;21.77;7.44;23.26;31.49;13.10;1955.0;1773.0;1102.0;1129.0;7106.0;799.0;5468.0;519;2758.0;13.723;16449.0;0.65;0.44;
14784;181;2539;2;125;12182;542;411;3507.0;15.84;0.80;7.89;5.83;0.0;0.26;25.23;0.56;25.24;29.37;6.07;5.32;33.64;1.90;444.0;408.0;1177.0;1692.0;3906.0;722.0;6152.0;5895;8175.0;9.822;22560.0;0.71;0.28;
7034;4238;1287;11;312;11911;2178;1651;631.0;7.54;18.81;4.00;1.05;0.02;0.65;24.67;13.17;12.79;11.17;6.25;21.36;32.90;38.34;1788.0;1637.0;1151.0;497.0;8392.0;1011.0;5231.0;1061;3324.0;15.129;18607.0;0.39;0.54;
11163;2098;1828;0;625;12219;1582;1199;1679.0;11.96;9.31;5.68;2.79;0.0;1.3;25.31;6.52;18.17;18.96;5.54;15.49;33.75;20.07;1295.0;1189.0;1181.0;1055.0;6467.0;866.0;5594.0;2822;5081.0;12.793;19734.0;0.52;0.42;
12758;3940;1366;14;604;11682;240;182;4038.0;13.67;17.49;4.25;6.72;0.03;1.25;24.2;12.24;13.58;13.45;7.42;2.39;32.26;36.36;202.0;179.0;1129.0;594.0;5253.0;1094.0;5860.0;6788;9811.0;10.128;26169.0;0.41;0.4;
10897;1437;2034;66;701;12079;1464;1109;1887.0;11.67;6.38;6.32;3.14;0.14;1.45;25.02;4.46;20.23;22.37;4.74;14.50;33.36;14.37;1223.0;1100.0;1167.0;1316.0;6063.0;788.0;5699.0;3172;5194.0;12.822;19684.0;0.57;0.39;
14057;3105;1452;55;966;12119;1479;1121;1860.0;15.06;13.78;4.51;3.09;0.11;2.0;25.1;9.65;14.44;13.89;8.90;14.62;33.47;29.79;1231.0;1111.0;1171.0;545.0;6642.0;1037.0;5503.0;3127;6088.0;11.637;21182.0;0.48;0.45;
13663;2768;1735;42;127;12119;2245;1702;513.0;14.64;12.28;5.39;0.85;0.09;0.26;25.1;8.6;17.25;14.77;9.23;22.09;33.47;24.86;1855.0;1686.0;1171.0;582.0;7454.0;983.0;5357.0;862;3711.0;12.784;18032.0;0.53;0.47;
12032;4882;1075;55;195;12033;8;6;4446.0;12.89;21.67;3.34;7.40;0.11;0.4;24.92;15.17;10.69;11.44;9.04;0.21;33.23;43.78;27.0;5.0;1163.0;360.0;5342.0;1183.0;5835.0;7474;10676.0;9.821;27606.0;0.4;0.42;
8058;4072;1378;31;142;11873;690;523;3247.0;8.63;18.07;4.28;5.40;0.06;0.3;24.59;12.65;13.7;13.94;4.75;6.84;32.79;36.47;577.0;519.0;1147.0;763.0;6164.0;1012.0;5722.0;5458;7835.0;12.413;24071.0;0.38;0.44;
12659;3597;1359;35;765;12047;2265;1717;478.0;13.56;15.96;4.22;0.80;0.07;1.59;24.95;11.17;13.52;11.49;9.78;22.27;33.27;33.69;1868.0;1702.0;1164.0;335.0;7988.0;1060.0;5226.0;804;3706.0;13.312;18471.0;0.47;0.52;
14425;3698;1441;57;820;11428;1132;858;2470.0;15.45;16.42;4.48;4.11;0.12;1.7;23.67;11.49;14.32;12.52;9.58;11.23;31.56;34.72;948.0;850.0;1104.0;417.0;6327.0;1101.0;5607.0;4152;7343.0;11.046;22917.0;0.46;0.45;
13411;658;2431;41;396;11672;916;695;2849.0;14.37;2.92;7.55;4.74;0.09;0.82;24.18;2.05;24.17;26.83;5.61;9.09;32.23;6.76;767.0;689.0;1128.0;1555.0;4741.0;745.0;6000.0;4789;6983.0;11.088;21398.0;0.66;0.33;
14546;3746;1421;57;820;11451;1974;1496;990.0;15.58;16.63;4.41;1.65;0.12;1.7;23.72;11.64;14.13;11.27;11.19;19.48;31.62;35.14;1638.0;1483.0;1107.0;244.0;7515.0;1109.0;5339.0;1664;4887.0;12.309;19868.0;0.49;0.5;
11739;2479;1682;112;900;11964;1401;1062;1997.0;12.58;11.00;5.23;3.32;0.23;1.86;24.78;7.7;16.72;17.29;6.10;14.01;33.04;24.08;1189.0;1053.0;1156.0;917.0;6408.0;920.0;5603.0;3357;5791.0;12.452;20775.0;0.49;0.42;
11818;2390;1710;112;671;12193;1401;1062;1997.0;12.66;10.61;5.31;3.32;0.23;1.39;25.25;7.43;17.0;17.67;6.09;14.01;33.67;22.76;1189.0;1053.0;1178.0;943.0;6342.0;912.0;5611.0;3357;5790.0;12.320;20708.0;0.5;0.42;
9546;149;2580;105;418;11636;2536;1922;2.0;10.23;0.66;8.02;0.00;0.22;0.87;24.1;0.46;25.65;27.87;4.52;25.10;32.14;2.29;2116.0;1905.0;1124.0;1672.0;7035.0;612.0;5546.0;3;1466.0;15.112;14661.0;0.73;0.42;
10429;1128;2306;45;1121;10838;546;414;3500.0;11.17;5.01;7.17;5.82;0.09;2.32;22.45;3.51;22.93;26.25;3.22;5.46;29.93;12.60;463.0;410.0;1047.0;1645.0;4670.0;735.0;6074.0;5883;7723.0;11.949;22800.0;0.59;0.34;
14425;3689;1443;25;851;11433;384;291;3785.0;15.45;16.37;4.48;6.30;0.05;1.76;23.68;11.46;14.34;13.62;8.45;3.83;31.57;34.70;324.0;288.0;1105.0;553.0;5276.0;1100.0;5838.0;6363;9551.0;9.873;25656.0;0.44;0.4;
9428;2580;2272;40;906;9042;582;441;3437.0;10.10;11.45;7.06;5.72;0.08;1.88;18.73;8.02;22.59;20.69;3.25;5.80;24.97;24.99;492.0;437.0;874.0;1289.0;5262.0;853.0;6051.0;5778;7886.0;12.644;23585.0;0.48;0.39;
10596;2399;2074;23;1530;9658;1013;768;2679.0;11.35;10.65;6.44;4.46;0.05;3.17;20.01;7.45;20.62;19.60;4.48;9.98;26.67;24.82;838.0;761.0;933.0;1154.0;5843.0;870.0;5852.0;4503;6708.0;12.903;22027.0;0.5;0.42;
12742;3401;1418;35;765;12057;1456;1104;1900.0;13.65;15.10;4.41;3.16;0.07;1.59;24.97;10.57;14.1;13.19;8.15;14.35;33.30;31.96;1206.0;1093.0;1165.0;539.0;6774.0;1041.0;5498.0;3194;6053.0;12.028;21319.0;0.45;0.46;
8050;4399;1057;40;909;12148;1382;1047;2031.0;8.62;19.53;3.28;3.38;0.08;1.88;25.16;13.67;10.51;11.39;6.66;13.63;33.55;41.14;1146.0;1039.0;1174.0;487.0;7406.0;1059.0;5402.0;3414;5846.0;13.609;21801.0;0.38;0.51;
13098;3255;1433;2;1118;11885;86;66;4308.0;14.03;14.45;4.45;7.17;0.0;2.32;24.62;10.11;14.25;15.71;6.35;0.85;32.82;31.47;72.0;65.0;1149.0;804.0;4817.0;1033.0;5929.0;7242;10097.0;9.877;26304.0;0.43;0.37;
14953;2822;1719;15;730;11538;2375;1800;285.0;16.02;12.53;5.34;0.47;0.03;1.51;23.9;8.77;17.09;14.17;10.68;23.29;31.86;26.74;1950.0;1784.0;1115.0;463.0;7633.0;1015.0;5312.0;479;3506.0;12.773;17759.0;0.56;0.49;
12897;3796;1595;36;99;11281;2448;1856;156.0;13.82;16.85;4.96;0.26;0.07;0.2;23.37;11.8;15.86;11.15;10.38;24.06;31.15;33.93;2019.0;1838.0;1090.0;279.0;8166.0;1071.0;5249.0;262;3287.0;13.506;17933.0;0.48;0.53;
13422;3389;1586;62;109;11901;1356;1028;2076.0;14.38;15.04;4.93;3.45;0.13;0.23;24.65;10.53;15.77;13.58;8.40;13.44;32.87;30.33;1134.0;1019.0;1150.0;552.0;6485.0;1044.0;5584.0;3490;6478.0;11.506;21725.0;0.46;0.44;
13098;3307;1433;8;698;12221;20;15;4425.0;14.03;14.68;4.45;7.36;0.02;1.45;25.31;10.27;14.25;15.66;6.33;0.21;33.75;30.96;19.0;15.0;1181.0;802.0;4700.0;1038.0;5950.0;7438;10329.0;9.593;26566.0;0.43;0.36;
12659;3597;1359;35;765;12047;1456;1104;1900.0;13.56;15.96;4.22;3.16;0.07;1.59;24.95;11.17;13.52;12.54;8.46;14.35;33.27;33.69;1206.0;1093.0;1164.0;479.0;6861.0;1060.0;5478.0;3194;6096.0;12.050;21448.0;0.44;0.46;
10544;2567;1631;508;646;11936;1205;913;2342.0;11.30;11.39;5.07;3.90;1.05;1.34;24.72;7.98;16.21;17.50;5.00;13.10;32.96;24.27;1177.0;905.0;1153.0;990.0;6334.0;907.0;5647.0;3937;6210.0;12.705;21505.0;0.47;0.42;
6663;2441;1785;54;368;12117;2532;1919;9.0;7.14;10.83;5.55;0.02;0.11;0.76;25.1;7.58;17.74;17.40;3.59;24.93;33.46;22.51;2094.0;1902.0;1171.0;1054.0;8178.0;810.0;5285.0;15;1705.0;15.903;15987.0;0.47;0.5;
10298;533;2373;59;997;11519;1480;1122;1858.0;11.03;2.37;7.37;3.09;0.12;2.07;23.86;1.66;23.6;27.22;3.94;14.64;31.81;7.03;1234.0;1111.0;1113.0;1666.0;5751.0;674.0;5806.0;3123;4781.0;13.313;18922.0;0.66;0.37;
5878;1345;2175;1;270;12037;2529;1917;14.0;6.30;5.97;6.76;0.02;0.0;0.56;24.93;4.18;21.63;23.10;2.37;24.76;33.24;12.57;2071.0;1900.0;1163.0;1482.0;7718.0;671.0;5414.0;24;1289.0;16.218;15106.0;0.58;0.46;
8159;4618;1103;221;387;11939;2232;1692;536.0;8.74;20.50;3.43;0.89;0.46;0.8;24.73;14.35;10.96;9.72;8.42;22.43;32.97;41.89;1911.0;1677.0;1154.0;278.0;8644.0;1079.0;5153.0;901;3428.0;14.885;18855.0;0.4;0.57;
11651;3564;1482;42;915;11349;261;198;4001.0;12.48;15.82;4.61;6.66;0.09;1.89;23.51;11.07;14.74;15.00;5.82;2.67;31.34;33.75;230.0;196.0;1097.0;784.0;5230.0;1031.0;5891.0;6726;9458.0;10.756;25723.0;0.41;0.39;
9371;2740;1574;40;854;12207;751;569;3140.0;10.04;12.16;4.89;5.22;0.08;1.77;25.29;8.51;15.65;17.93;3.80;7.45;33.71;26.29;630.0;564.0;1180.0;1082.0;5738.0;903.0;5768.0;5278;7438.0;12.199;23075.0;0.44;0.4;
