PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;
5874;3649;1402;54;894;11616;2531;1919;10.0;6.29;16.19;4.36;0.02;0.11;1.85;24.06;11.34;13.94;12.69;4.58;24.93;32.08;34.45;2094.0;1902.0;1123.0;691.0;8793.0;927.0;5158.0;17;1905.0;16.371;16793.0;0.39;0.55;
7596;1253;2365;56;250;11229;617;467;3376.0;8.14;5.56;7.35;5.62;0.12;0.52;23.26;3.89;23.51;27.15;1.67;6.18;31.01;11.70;525.0;464.0;1085.0;1780.0;4883.0;687.0;6071.0;5675;7169.0;12.805;22280.0;0.58;0.34;
9417;3293;1536;56;843;11555;336;255;3869.0;10.09;14.62;4.77;6.44;0.12;1.75;23.93;10.23;15.27;16.65;3.93;3.43;31.91;31.17;296.0;252.0;1117.0;991.0;5359.0;958.0;5885.0;6504;8826.0;11.655;25005.0;0.41;0.39;
13663;1571;2109;43;130;12116;2189;1659;612.0;14.64;6.97;6.55;1.02;0.09;0.27;25.1;4.88;20.97;20.22;8.04;21.54;33.46;14.24;1808.0;1644.0;1171.0;998.0;6868.0;852.0;5498.0;1029;3535.0;12.764;17382.0;0.63;0.43;
12200;1120;2441;35;195;11141;2104;1594;762.0;13.07;4.97;7.58;1.27;0.07;0.4;23.08;3.48;24.27;23.39;6.35;20.69;30.77;10.39;1736.0;1581.0;1077.0;1291.0;6600.0;763.0;5635.0;1281;3432.0;13.428;17213.0;0.65;0.42;
12950;2776;1564;11;1059;12024;2477;1877;106.0;13.87;12.32;4.86;0.18;0.02;2.19;24.91;8.63;15.55;14.16;9.10;24.29;33.21;27.08;2033.0;1862.0;1162.0;549.0;7956.0;979.0;5228.0;178;2877.0;13.649;17149.0;0.52;0.5;
11917;5224;1076;0;144;11621;280;212;3968.0;12.77;23.19;3.34;6.60;0.0;0.3;24.07;16.23;10.7;10.40;10.19;2.74;32.09;46.71;229.0;210.0;1123.0;224.0;5825.0;1212.0;5751.0;6670;9957.0;10.326;26824.0;0.41;0.46;
13981;4480;1196;74;2;12232;2486;1885;89.0;14.98;19.89;3.71;0.15;0.15;0.0;25.34;13.92;11.89;8.85;13.63;24.54;33.78;39.78;2065.0;1867.0;1182.0;-61.0;8496.0;1178.0;5105.0;150;3540.0;12.910;18410.0;0.51;0.56;
11739;4361;1248;5;752;11475;17;13;4430.0;12.58;19.36;3.88;7.37;0.01;1.56;23.77;13.55;12.41;12.88;7.35;0.18;31.69;40.44;17.0;13.0;1109.0;555.0;5193.0;1119.0;5889.0;7447;10430.0;10.214;27185.0;0.39;0.41;
11163;2103;1826;66;895;11884;1881;1426;1153.0;11.96;9.34;5.67;1.92;0.14;1.85;24.62;6.53;18.16;18.47;5.95;18.60;32.82;20.73;1566.0;1414.0;1149.0;1000.0;6933.0;866.0;5502.0;1938;4181.0;13.433;18667.0;0.53;0.44;
6480;2740;1755;11;893;11330;2179;1652;629.0;6.94;12.16;5.45;1.05;0.02;1.85;23.47;8.51;17.45;16.90;3.28;21.37;31.29;26.37;1789.0;1637.0;1095.0;1038.0;7849.0;836.0;5385.0;1057;2779.0;15.691;17496.0;0.45;0.49;
14099;3933;1364;64;264;11994;34;26;4400.0;15.10;17.46;4.24;7.32;0.13;0.55;24.84;12.22;13.56;13.44;8.23;0.49;33.12;35.53;51.0;25.0;1159.0;551.0;4863.0;1120.0;5921.0;7396;10635.0;9.180;27062.0;0.42;0.38;
5695;1174;2269;11;723;11382;2531;1919;10.0;6.10;5.21;7.05;0.02;0.02;1.5;23.58;3.65;22.56;24.16;2.19;24.82;31.43;12.08;2078.0;1902.0;1100.0;1559.0;7699.0;647.0;5444.0;17;1181.0;16.563;14981.0;0.6;0.47;
12058;4229;1273;60;1433;10821;829;628;3003.0;12.92;18.77;3.95;5.00;0.12;2.97;22.41;13.14;12.65;11.84;8.36;8.27;29.89;40.84;701.0;624.0;1046.0;433.0;6337.0;1112.0;5645.0;5048;8002.0;11.709;24183.0;0.41;0.47;
6063;485;2385;4;728;11860;2390;1811;259.0;6.50;2.15;7.41;0.43;0.01;1.51;24.56;1.51;23.71;27.50;2.09;23.40;32.75;5.98;1958.0;1795.0;1146.0;1776.0;7211.0;584.0;5527.0;435;1460.0;16.132;15048.0;0.66;0.44;
11512;4241;1383;91;723;10952;1280;970;2210.0;12.33;18.83;4.30;3.68;0.19;1.5;22.69;13.18;13.75;11.46;8.42;12.76;30.25;39.31;1082.0;961.0;1058.0;404.0;6908.0;1096.0;5542.0;3715;6625.0;12.422;22443.0;0.42;0.49;
7125;482;2446;89;787;11429;842;638;2980.0;7.63;2.14;7.60;4.96;0.18;1.63;23.67;1.5;24.31;30.44;1.43;8.47;31.57;6.09;722.0;633.0;1105.0;1999.0;5003.0;602.0;6029.0;5009;6184.0;13.475;20881.0;0.65;0.34;
12924;3084;2124;4;725;9214;693;525;3242.0;13.85;13.69;6.60;5.39;0.01;1.5;19.09;9.58;21.12;17.03;6.35;6.79;25.45;29.05;569.0;520.0;890.0;889.0;5388.0;978.0;5969.0;5450;8240.0;11.397;23908.0;0.47;0.4;
9053;1031;2272;40;906;11367;1383;1049;2028.0;9.70;4.58;7.06;3.37;0.08;1.88;23.54;3.2;22.59;25.51;3.13;13.65;31.39;11.24;1149.0;1039.0;1098.0;1600.0;5874.0;701.0;5803.0;3409;5027.0;13.600;19490.0;0.6;0.39;
