PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;ngasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
6480;863;2329;1;363;11930;1054;799;2607.0;6.94;3.83;7.24;4.34;0.0;0.75;24.71;2.68;23.15;28.37;1.35;10.32;32.95;8.49;863.0;792.0;1153.0;1871.0;5432.0;630.0;5923.0;4382;5596.0;13.768;20261.0;0.53;0.36;0.003727172352214865;0.8351330415272661;32.948416300757565;2.68;23.15;4.37;5.95;
13666;461;2607;119;1146;10297;872;661;2927.0;14.64;2.05;8.10;4.87;0.25;2.37;21.33;1.43;25.92;28.17;5.66;8.85;28.44;6.73;760.0;654.0;995.0;1637.0;4646.0;722.0;6073.0;4920;7050.0;11.461;21500.0;0.59;0.33;0.30846752729190086;2.6370950294687336;28.43652443530632;1.43;25.92;3.61;4.93;
11209;2507;1741;12;512;12125;1927;1460;1073.0;12.01;11.13;5.41;1.79;0.03;1.06;25.11;7.79;17.31;16.67;6.39;18.90;33.49;23.43;1582.0;1449.0;1172.0;860.0;7099.0;909.0;5459.0;1804;4190.0;13.291;18760.0;0.45;0.45;0.03229329914335692;1.1794299826303782;33.48540395234033;7.79;17.31;7.99;10.88;
12756;3472;2178;26;32;9045;261;198;4001.0;13.67;15.41;6.77;6.66;0.05;0.07;18.74;10.79;21.66;16.54;5.97;2.63;24.98;30.90;224.0;196.0;874.0;879.0;4851.0;1008.0;6121.0;6726;9633.0;10.642;25726.0;0.39;0.38;0.06709907803990184;0.07399862481398482;24.980355012202434;10.79;21.66;1.08;1.48;
11028;2017;2157;14;34;11341;1588;1203;1669.0;11.81;8.95;6.70;2.78;0.03;0.07;23.49;6.27;21.44;20.18;5.25;15.58;31.32;17.98;1305.0;1193.0;1096.0;1148.0;6310.0;838.0;5700.0;2806;5047.0;12.911;19611.0;0.47;0.41;0.036464306632805775;0.07912483367078575;31.320774193547933;6.27;21.44;6.58;8.96;
14516;372;2559;8;321;11597;1578;1196;1686.0;15.55;1.65;7.95;2.80;0.02;0.67;24.02;1.16;25.44;27.02;7.25;15.47;32.03;4.04;1295.0;1186.0;1121.0;1476.0;5446.0;733.0;5836.0;2834;5117.0;11.709;18865.0;0.62;0.36;0.020727451572760652;0.7395548545603348;32.027208281184954;1.16;25.44;6.54;8.91;
10052;3810;1365;65;791;11643;2532;1919;9.0;10.77;16.91;4.24;0.02;0.13;1.64;24.12;11.84;13.57;11.10;8.30;24.96;32.15;35.64;2098.0;1902.0;1125.0;387.0;8599.0;1028.0;5147.0;15;2582.0;14.791;17365.0;0.4;0.55;0.16736441604205496;1.8209726340114436;32.15428268900334;11.84;13.57;10.49;14.3;
13094;4042;1635;15;54;10785;2114;1602;744.0;14.03;17.94;5.08;1.24;0.03;0.11;22.34;12.56;16.26;10.96;10.39;20.74;29.78;36.01;1737.0;1588.0;1042.0;266.0;7751.0;1096.0;5366.0;1251;4378.0;12.989;19356.0;0.42;0.52;0.039977829081464925;0.12491443950227073;29.784030403595168;12.56;16.26;8.76;11.94;
10977;1468;2200;13;319;11672;1238;938;2284.0;11.76;6.51;6.84;3.80;0.03;0.66;24.18;4.56;21.88;23.07;4.49;12.15;32.23;13.76;1019.0;930.0;1128.0;1375.0;5656.0;784.0;5824.0;3839;5903.0;12.411;20515.0;0.5;0.37;0.034439373591476884;0.7345891438318719;32.234932270866246;4.56;21.88;5.13;6.99;
13389;3180;1738;85;214;11356;734;556;3170.0;14.34;14.11;5.40;5.27;0.18;0.44;23.52;9.88;17.28;15.54;7.11;7.40;31.36;28.72;632.0;551.0;1097.0;752.0;5525.0;1016.0;5827.0;5329;8244.0;10.716;23871.0;0.41;0.4;0.2210945174787668;0.49359253027939004;31.362163875510817;9.88;17.28;3.04;4.14;
