PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfFCEVCars;Eloctrolyzer_Cap;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualH2demand;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;Total Local System Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;Annual MaximumImportElectr.;Annual MaximumExportElectr.;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;KWe;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KW;KW;
1352;5;7460;10;1;17601;0.29986386917396146;19.375411418650053;0.004433542590259049;3;1.77;0.01;33.61;0.019102361604390137;0.04;0.0;79.32;0.02;170.45;0.28;29.48;142.51;137.25;96.49;0.00;;;-5421;18759;26751;28830.0;70457;7.736;39.9453678304;144797.0;0.8611556178650108;0.3325328042759489;0.05093713107028916;0.002950830446824346;96.73118001326979;0.02;170.45;0.28;137.21860120802154;0.0369253362504239;9.090068834258866E-4;0.22579410854565415;0.0022988855872377776;0.03393653190721973;0.013772575192672727;0.0;0.22579410854565643;0.0022822342987101666;0.033936531907220374;29429;53861;
1411;3;7460;0;10;17606;0.5095313284284864;17.373813100252015;2.0060318609882963;1312;1.84;0.00;33.56;8.643188876254174;0.0;0.04;79.34;0.01;170.44;0.50;32.99;134.63;123.04;96.51;0.03;;;-4828;17243;27025;30482.0;71438;6.858;36.568847175200005;146188.0;0.8394851504983222;0.3208465739210508;4.966531247240433E-4;0.045025239439719505;96.7586449506474;0.01;170.44;0.50;123.0430817572948;3.7231013387965274E-4;0.014996908306239244;0.21710770023074696;0.0011906054254852835;0.2758638043321352;0.0;0.009605727475223947;0.21710770023074685;0.0011772778964301246;0.2758638043321347;30739;52585;
39696;8497;7848;1;13;7142;9.016982698538417;0.007378954607350709;19.372466006632962;12670;51.85;9.70;34.17;83.46820703617878;0.0;0.06;32.19;38.29;179.3;9.02;49.92;110.90;0.05;92.87;0.05;;;-2613;1027;30385;44969.0;84513;-15.528;5.750150681599999;160894.0;0.8029758338326342;0.16702466858613507;0.0038092349040553396;0.06101546917897527;39.25018736989667;38.29;179.3;9.02;0.05225849442471846;0.00280820698250194;0.0074014752268146385;0.21268191605726627;2.729315665826331;6.064775434445504;0.0;0.0072901782524823775;0.21268191605727327;2.7293156658263373;6.064775434445582;40544;57877;
1855;231;7415;1;13;17600;0.1614568537462393;16.820478315078695;2.559366646161618;1674;2.42;0.26;33.41;11.027287131651947;0.0;0.06;79.31;1.04;169.43;0.15;33.62;133.09;119.13;98.17;0.05;;;-4713;16841;27120;30917.0;71711;6.374;35.60008705759999;146589.0;0.835555332798717;0.3161232320968999;0.004230137019244582;0.058221225294673835;96.72321562855491;1.04;169.43;0.15;119.12430947521882;0.0038298991088305478;0.01773394010750125;0.007045772616934738;0.07930820171061512;0.05353904020235766;0.0;0.012591400643411719;0.007045772616934911;0.07930820171061821;0.05353904020235834;31015;52383;
1093;190;7420;3;9;17621;0.3455085835230849;9.551704966016018;9.828139995224292;6428;1.43;0.22;33.38;42.34552398342339;0.01;0.04;79.41;0.85;169.52;0.34;48.39;105.08;67.66;98.06;0.03;;;-2485;11409;28096;36943.0;75146;3.569;23.578710967200003;151594.0;0.7693117449496215;0.2805939267327755;0.014244108372342329;0.04261867411717626;96.83852255500516;0.85;169.52;0.34;67.64612973982204;0.011167564973775612;0.010423482271153826;0.006265856962829546;0.044516622858448394;0.2731350564568775;0.003577531921122256;0.0078099222290945415;0.006265856962829547;0.0445166228584485;0.2731350564568747;35781;47376;
2271;206;7412;1;37;17617;0.3606047351805235;9.977697452461047;9.402147508779265;6150;2.97;0.24;33.36;40.51009275632634;0.01;0.17;79.39;0.93;169.35;0.33;46.93;107.66;70.67;98.13;0.13;;;-2692;11661;28058;36585.0;75036;3.363;24.2332979064;151340.0;0.7750037599639042;0.2810026759306209;0.006337527564451098;0.17419652608951292;96.81573391749586;0.93;169.35;0.33;70.66305112807437;0.005006489087595896;0.07055485650386138;0.019866532273255234;0.0418876064965824;0.22328925081922862;0.002778182617046432;0.04305894388050248;0.01986653227325514;0.041887606496583456;0.2232892508192277;35493;48062;
7931;196;7420;0;17;17609;0.267137263138542;0.6109290969522236;18.768915864288086;12276;10.36;0.22;33.43;80.86775089287165;0.0;0.08;79.35;0.88;169.52;0.26;66.22;80.43;4.33;97.80;0.06;;;-252;4216;29418;44363.0;79971;-2.459;8.7592143056;157968.0;0.7349403628345194;0.2372471412143427;0.002021407186776484;0.0787750538967604;96.772671389239;0.88;169.52;0.26;4.326660957525343;0.0018380333900982469;0.019959628746959317;0.1577504378501193;0.07608934265157005;0.011499820499795137;0.0;0.01523245187952894;0.157750437850123;0.07608934265157076;0.011499820499795286;41627;43874;
1991;106;7448;3;66;17501;0.24350402675399552;14.536092676392924;4.843752284847387;3168;2.60;0.12;33.56;20.869791094493454;0.01;0.3;78.87;0.48;170.18;0.15;37.98;124.21;102.96;96.85;0.21;;;-4022;15089;27425;32834.0;72827;5.478;31.8270329104;148175.0;0.8122902789602844;0.3047067075531216;0.014336343779492127;0.30807761402108574;96.18244854840954;0.48;170.18;0.15;102.94606194348232;0.003921478004490986;0.18509349824086344;0.019736582483959052;0.02216790286563962;0.012584565159042436;0.002459635502201104;0.09134346936517888;0.01973658248395951;0.02216790286563971;0.012584565159042655;32563;50923;
1332;15;7459;13;24;17572;0.27812504855806486;1.7801188779505723;17.59972608328974;11511;1.74;0.02;33.57;75.83017980246217;0.06;0.11;79.19;0.07;170.42;0.24;66.83;78.80;12.65;96.67;0.09;;;-152;5512;29147;43413.0;78885;0.337;11.0521608584;156957.0;0.729316907051282;0.2522128151674973;0.06871855680184381;0.1124116610148691;96.57080677962654;0.07;170.42;0.24;12.606979905533748;0.04830330787495956;0.027227628515096174;3.9835399388936886E-4;7.209735160179655E-4;0.2014747846581018;0.020006048475666633;0.0208499340614621;3.983539938893701E-4;7.20973516017967E-4;0.201474784658109;40934;42356;
