PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfEVCars;NumberOfFCEVCars;Eloctrolyzer_Cap;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualH2demand;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;1000 units;KWe;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
42539;10059;7860;162;861;7373;20.83190655145158;8.625353637650333;9.780704439350112;0.9737868842398645;1937;55.56;10.23;34.78;21.32;4.19565816943588;0.73;3.88;33.23;45.33;160.8;16.75;23.52;175.11;68.13;92.24;3.64;;;-14856;-770;40524;29501.0;50784;-33.204;120039.0;0.9047966109415571;0.20971483687033746;0.8580863894144617;4.082944116497848;41.535752915737426;45.33;160.8;16.75;67.5391065888934;0.466924300621688;0.42642770859789386;11.290963260070107;5.7357848134088165;2.9118064687530776;0.2254818113680367;0.42526147176450524;7.553913245332287;5.630626113534645;2.911806468753155;
31166;1621;9937;674;412;6316;35.3899596857128;0.3116335768753685;18.72182781696113;0.34638356740380616;689;40.71;1.39;42.05;40.82;1.4924282385160392;3.04;1.86;28.46;7.31;203.3;24.07;39.18;143.97;4.82;33.02;1.79;;;-10269;-8129;48571;32529.0;58194;-34.361;131165.0;0.743605359317905;0.17607964191085518;3.574998916253776;1.9552441481832628;35.58009354406607;7.31;203.3;24.07;2.440184397007198;2.432954056208776;0.15477763459921878;17.171948473035165;3.224791933323652;12.405487588545993;1.012024809607528;0.1547776345992217;8.586780943475931;1.9095197152347778;12.405487588545997;
64651;9902;7887;24;2235;6171;34.42338601659171;0.1391969880716679;18.571084597298707;0.6695633758699325;1332;84.45;10.20;32.99;40.49;2.8848807612731915;0.11;10.07;27.81;44.62;161.36;25.70;29.00;193.84;1.21;84.16;9.96;;;-16154;-11980;50421;31546.0;60230;-54.294;130217.0;0.9406103583639356;0.13532018086498085;0.12710499446078397;10.603145910823526;34.75919219967449;44.62;161.36;25.70;1.0899541756975812;0.005912381983993882;0.6090482997107115;17.163088943013115;5.06340931536088;11.581927076523007;0.00591238198399398;0.6090482997107185;8.468528615865774;5.034207921983115;11.58192707652325;
28529;7440;9965;3;855;601;2.824584727150836;12.591926462839474;6.058212397916273;0.7297061004845613;1452;37.26;8.54;44.56;13.21;3.144011704547781;0.01;3.85;2.71;33.53;203.87;2.63;27.11;158.47;98.61;52.96;3.91;;;-12874;4274;35339;29533.0;45501;-18.079;114647.0;0.8389692585895117;0.27008056768127775;0.01599894917670414;4.054292361729677;3.3867919722472717;33.53;203.87;2.63;98.59856178197194;0.01161797414706568;0.14013441669094773;0.7236940207326208;0.3637085929943958;1.585429722585806;0.0036039670690226097;0.14013441669095003;0.5366329925882215;0.3637085929943934;1.585429722585805;
2395;5973;8717;858;408;7324;46.957198836779384;3.666296573524125;15.584243791660683;0.12930459605549932;258;3.13;4.86;37.88;33.98;0.5571217825647243;3.87;1.84;33.0;26.92;178.34;26.00;39.17;122.12;31.74;57.00;1.93;;;-8129;-1003;44344;30921.0;54398;-19.659;128660.0;0.6854944961536829;0.21488475875289983;4.55073147103234;1.9346090738536341;41.25423998285511;26.92;178.34;26.00;28.708202059665954;3.144242958753429;0.0017198715862146528;21.517312795835036;15.906286460695284;6.387636749909422;1.2935204534111733;0.0017198715862146827;10.268216930065321;8.051955106547508;6.387636749909451;
46762;7025;8564;60;1138;7032;23.429793055454343;0.19693723382727965;18.954446986087817;0.22846074132521108;455;61.08;7.68;38.56;41.32;0.9843459500738044;0.27;5.13;31.69;31.66;175.22;12.33;32.10;167.21;1.78;72.41;5.02;;;-13241;-9791;49455;32049.0;58295;-44.936;130008.0;0.8191607414409601;0.1438891850941729;0.3198894371465332;5.39843495495777;39.614083709482124;31.66;175.22;12.33;1.542077622037748;0.10361207515548881;0.36029135155509917;20.98383493879972;1.8315165230607378;0.1505381668832968;0.06565356744724782;0.3602913515551068;9.918042326204873;1.8315165230607928;0.1505381668832965;
22383;14150;8545;176;622;393;2.414664539258196;10.507356654731911;6.377992393374808;2.4944959131335915;4961;29.24;16.37;38.15;13.90;10.747785091327394;0.79;2.8;1.77;63.77;174.83;2.40;25.68;152.27;83.16;98.19;2.69;;;-12406;4100;38683;30133.0;47884;-20.805;120800.0;0.8258307035455726;0.22521376649989866;0.9328532011409453;2.950380173506575;2.2161453254622754;63.77;174.83;2.40;82.27575481354728;0.04532228437917205;0.24352200122134957;0.27072788333161446;0.21624365803755366;1.6388487122885063;0.0453222843791728;0.24352200122135273;0.2526894592615022;0.21624365803755913;1.6388487122885436;
64962;990;9079;544;30;11356;51.45719101188921;16.54102078701791;2.7763516857724615;0.06247248844993684;125;84.85;0.79;37.55;6.05;0.26916896373539784;2.45;0.14;51.18;4.46;185.75;33.03;21.60;210.84;131.57;49.08;0.10;;;-18546;3128;31435;27169.0;46284;-29.967;108016.0;1.1227358353861758;0.3010358893002895;2.884231325904273;0.14312538186068133;63.970195818217256;4.46;185.75;33.03;129.52115506858635;1.3450633425278855;0.09091324930298761;31.819372137389657;2.9450703262966473;15.256771956372033;0.7100632116525247;0.04349436394636647;15.63153565179802;1.3944005017721643;15.25677195637233;
68389;12105;8997;153;435;597;18.075678193730568;13.953181244118802;5.21556466287465;0.21109905424685585;420;89.33;14.04;37.37;11.37;0.9095413851280031;0.69;1.96;2.69;54.55;184.08;16.15;18.99;219.95;109.82;84.88;1.40;;;-19695;204;35077;27957.0;47221;-39.522;110459.0;1.1261724089173775;0.2444433816766996;0.81284354002998;2.0630136681141935;3.36378144484192;54.55;184.08;16.15;109.25759509582345;0.4200069105308068;1.371315337752074;1.8163242762975442;0.050871028274849926;14.417160640875293;0.20893659206121817;0.6256758776323822;0.8479592251807024;0.05087102827485127;14.417160640875638;
14848;7181;8449;610;121;7867;33.93471161292225;2.8873054976429735;14.8013891400465;1.6911503235508334;3363;19.39;7.64;36.31;32.27;7.286490284051121;2.75;0.55;35.45;32.36;172.86;22.24;35.73;131.90;25.16;75.64;0.53;;;-9426;-2659;46237;31684.0;55578;-26.244;130840.0;0.7225119606913495;0.18277325246680734;3.232587882455873;0.5751283360257606;44.31516626107396;32.36;172.86;22.24;22.608468238193776;0.823337119946543;0.04421899358728103;22.3432156637227;2.7040427839064907;8.019897051759239;0.5813824137265224;0.04421899358728084;10.886778572400766;2.704042783906444;8.019897051759404;
