PV_C HP_Heat_P AnlPV_P AnlImport AnlExport AnlOilBoilerHeat AnlOilBoilerFuel AnlNgasBoilerHeat AnlNgasBoilerFuel AnlBiomassBoilerHeat AnlBiomassBoilerFuel AnlOilCost AnlLPGCost AnlBiomassCost AnlElecExchage TotalVariableCost FixedOperationalCost AdditionalCost InvestmentCost CO2Emission AnnualCost
(KW) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (Mt) (KEuro)
8310 10.541471811895077 13.98 3.33 13.72 0 0 0 0 15.50852818810492 22.155040268721315 0.0 0.0 1196.0 -505.0 742.0 737.0 2065.0 1201.1286478099346 -5.853 4745.128647809935 
7896 10.533199028579547 13.28 3.43 13.13 0 0 0 0 15.51680097142045 22.166858530600646 0.0 0.0 1197.0 -468.0 781.0 727.0 2065.0 1095.8141078339922 -5.462 4668.814107833992 
10701 10.586711686627687 18.00 2.76 17.15 0 0 0 0 15.46328831337231 22.090411876246158 0.0 0.0 1193.0 -701.0 543.0 797.0 2067.0 1811.7473362836008 -8.110 5218.747336283601 
13532 10.533932228926938 22.77 2.16 21.34 0 0 0 0 15.51606777107306 22.16581110153294 0.0 0.0 1197.0 -894.0 354.0 868.0 2065.0 2530.944693434113 -10.803 5817.944693434113 
13213 10.5377330622645 22.23 2.22 20.86 0 0 0 0 15.512266937735497 22.16038133962214 0.0 0.0 1197.0 -874.0 374.0 860.0 2065.0 2450.036670622024 -10.500 5749.036670622024 
13959 10.50838592215903 23.49 2.08 21.98 0 0 0.0016140778409692302 0.0017934198232991447 15.54 22.2 0.0 0.0 1199.0 -921.0 329.0 879.0 2065.0 2638.001073506286 -11.211 5911.001073506286 
5986 10.546871230036958 10.07 3.98 10.46 0 0 0 0 15.50312876996304 22.147326814232915 0.0 0.0 1196.0 -284.0 963.0 679.0 2065.0 609.351210597966 -3.649 4316.351210597966 
13867 10.519598420073207 23.33 2.10 21.84 0 0 0 0 15.53040157992679 22.18628797132399 0.0 0.0 1198.0 -915.0 334.0 877.0 2065.0 2615.3616020761838 -11.122 5891.361602076184 
10411 10.586711686627687 17.52 2.82 16.73 0 0 0 0 15.46328831337231 22.090411876246158 0.0 0.0 1193.0 -679.0 565.0 790.0 2067.0 1737.7473362836008 -7.836 5159.747336283601 
12014 10.541125815572405 20.21 2.46 19.09 0 0 0 0 15.508874184427592 22.155534549182274 0.0 0.0 1196.0 -795.0 453.0 830.0 2065.0 2144.1286478099346 -9.363 5492.128647809935 
10336 10.541453501338735 17.39 2.83 16.63 0 0 0 0 15.508546498661262 22.155066426658948 0.0 0.0 1196.0 -674.0 573.0 788.0 2065.0 1717.1286478099346 -7.773 5143.128647809935 
13781 10.50838592215903 23.19 2.11 21.72 0 0 0.0016140778409692302 0.0017934198232991447 15.54 22.2 0.0 0.0 1199.0 -910.0 340.0 875.0 2065.0 2593.001073506286 -11.043 5873.001073506286 
8057 10.5726238028107 13.56 3.40 13.36 0 0 0 0 15.477376197189297 22.110537424556142 0.0 0.0 1194.0 -482.0 764.0 731.0 2066.0 1138.1642449256717 -5.607 4699.1642449256715 
14157 10.538277006977452 23.82 2.04 22.27 0 0 0 0 15.511722993022545 22.159604275746496 0.0 0.0 1197.0 -933.0 315.0 884.0 2065.0 2690.036670622024 -11.394 5954.036670622024 
11913 10.5377330622645 20.04 2.48 18.94 0 0 0 0 15.512266937735497 22.16038133962214 0.0 0.0 1197.0 -788.0 460.0 828.0 2065.0 2118.036670622024 -9.268 5471.036670622024 
