CHP3_C HP3_C PP_Cap Wind_C OffShoreWind_C PV_C Boiler3_C Anl_CHP3_heat_P Anl_CHP_elec_P Anl_HP3_heat_P Anl_PP_P Anl_Wind_P Anl_OffShoreWind_P Anl_PV_P Anl_Boiler_P Import Export CO2Emission Annual_Cost
(MW) (MW) (MW) (MW) (MW) (MW) (MJ) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (Mton) (DKK)
62 0 343 1498 1006 549 190 0.06 0.10 0.00 0.00 0.77 2.04 0.06 0.08 0.00 1.28 -0.559 5324 
57 0 276 1491 1207 483 190 0.06 0.10 0.00 0.00 0.71 2.12 0.05 0.07 0.00 1.29 -0.562 5497 
5 52 252 369 325 0 10 0.06 0.09 0.48 0.15 0.74 1.23 0.00 0.00 0.00 0.78 -0.277 3482 
76 0 163 1495 1224 648 190 0.07 0.10 0.00 0.00 0.70 2.12 0.05 0.07 0.00 1.29 -0.564 5603 
0 54 168 0 2 0 17 0.00 0.00 0.53 1.26 0.00 0.01 0.00 0.00 0.17 0.00 0.623 2835 
1 46 329 40 377 15 22 0.06 0.09 0.47 0.36 0.10 1.43 0.01 0.00 0.00 0.57 -0.092 3297 
0 57 299 1 332 8 3 0.00 0.00 0.53 0.56 0.00 1.27 0.01 0.00 0.00 0.40 0.068 3184 
0 54 270 8 334 0 17 0.00 0.00 0.53 0.55 0.02 1.28 0.00 0.00 0.00 0.41 0.059 3189 
0 46 329 40 378 15 28 0.00 0.00 0.53 0.42 0.10 1.44 0.01 0.00 0.00 0.54 -0.051 3263 
1 52 246 329 291 0 18 0.06 0.09 0.48 0.19 0.73 1.11 0.00 0.00 0.00 0.70 -0.223 3413 
2 50 248 491 354 6 19 0.06 0.09 0.48 0.09 0.81 1.31 0.00 0.00 0.00 0.89 -0.349 3601 
1 35 291 214 309 0 74 0.06 0.09 0.46 0.25 0.51 1.18 0.00 0.01 0.00 0.61 -0.159 3352 
76 0 250 1495 1224 648 190 0.07 0.10 0.00 0.00 0.70 2.12 0.05 0.07 0.00 1.29 -0.564 5603 
1 65 177 454 333 217 0 0.06 0.09 0.48 0.08 0.79 1.25 0.12 0.00 0.00 0.91 -0.360 3638 
0 57 195 4 97 0 7 0.00 0.00 0.53 1.04 0.01 0.37 0.00 0.00 0.02 0.00 0.460 2937 
62 0 256 1498 594 500 190 0.07 0.10 0.00 0.00 0.98 1.75 0.07 0.10 0.00 1.25 -0.545 4878 
1 65 211 453 333 0 0 0.06 0.09 0.48 0.11 0.82 1.25 0.00 0.00 0.00 0.85 -0.324 3550 
0 51 265 6 133 0 28 0.00 0.00 0.53 0.92 0.02 0.51 0.00 0.00 0.00 0.01 0.398 2977 
1 55 193 214 309 0 7 0.06 0.09 0.48 0.25 0.51 1.18 0.00 0.00 0.00 0.61 -0.157 3348 
62 0 256 1498 762 500 190 0.07 0.10 0.00 0.00 0.88 1.89 0.06 0.09 0.00 1.27 -0.552 5051 
0 44 138 95 99 0 53 0.00 0.00 0.53 0.75 0.24 0.38 0.00 0.00 0.08 0.02 0.356 3007 
95 0 259 1496 1425 867 190 0.07 0.10 0.00 0.00 0.65 2.18 0.06 0.07 0.00 1.30 -0.568 5920 
97 0 311 1499 1425 641 190 0.07 0.10 0.00 0.00 0.65 2.18 0.05 0.07 0.00 1.30 -0.567 5834 
0 52 246 347 317 0 15 0.00 0.00 0.53 0.20 0.74 1.21 0.00 0.00 0.00 0.71 -0.224 3417 
0 42 281 0 200 0 61 0.00 0.00 0.53 0.76 0.00 0.77 0.00 0.00 0.00 0.09 0.292 3044 
54 4 263 1047 519 335 175 0.07 0.10 0.09 0.01 0.93 1.65 0.08 0.11 0.00 1.18 -0.511 4397 
40 47 993 1208 380 252 0 0.07 0.10 0.47 0.02 1.03 1.35 0.07 0.00 0.00 1.15 -0.496 4290 
97 0 252 1499 1425 641 190 0.07 0.10 0.00 0.00 0.65 2.18 0.05 0.07 0.00 1.30 -0.567 5834 
