0.248	3071	0.048	2571
0.263	3061	0.063	2561
0.27	3058	0.07	2558
0.271	3056	0.071	2556
0.275	3053	0.075	2553
0.279	3051	0.079	2551
0.289	3050	0.089	2550
0.296	3042	0.096	2542
0.301	3039	0.101	2539
0.313	3030	0.113	2530
0.315	3028	0.115	2528
0.327	3026	0.127	2526
0.333	3025	0.133	2525
0.339	3017	0.139	2517
0.34	3013	0.14	2513
0.34	3013	0.14	2513
0.356	3010	0.156	2510
0.364	3003	0.164	2503
0.368	2998	0.168	2498
0.37	2995	0.17	2495
0.38	2991	0.18	2491
0.394	2979	0.194	2479
0.408	2969	0.208	2469
0.417	2965	0.217	2465
0.421	2962	0.221	2462
0.431	2957	0.231	2457
0.433	2955	0.233	2455
0.446	2948	0.246	2448
0.449	2945	0.249	2445
0.449	2945	0.249	2445
0.461	2936	0.261	2436
0.474	2933	0.274	2433
0.476	2928	0.276	2428
0.481	2927	0.281	2427
0.486	2924	0.286	2424
0.489	2919	0.289	2419
0.499	2914	0.299	2414
0.503	2910	0.303	2410
0.518	2904	0.318	2404
0.522	2898	0.322	2398
0.53	2897	0.33	2397
0.535	2891	0.335	2391
0.538	2887	0.338	2387
0.544	2885	0.344	2385
0.545	2884	0.345	2384
0.556	2876	0.356	2376
0.568	2870	0.368	2370
0.578	2863	0.378	2363
0.583	2861	0.383	2361
0.585	2860	0.385	2360
0.588	2858	0.388	2358
0.595	2852	0.395	2352
0.603	2848	0.403	2348
0.609	2843	0.409	2343
0.619	2837	0.419	2337
0.619	2837	0.419	2337
0.619	2837	0.419	2337
0.619	2837	0.419	2337
0.621	2835	0.421	2335
