PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfFCEVCars;Eloctrolyzer_Cap;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualH2demand;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;Total Local System Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;Annual MaximumImportElectr.;Annual MaximumExportElectr.;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;KWe;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KW;KW;
39050;11975;6077;2;9;11662;86.58420687193815;0.010995971695847677;19.368848989544464;9117;51.01;10.21;27.24;62.46453799128089;0.01;0.04;52.56;53.96;149.54;35.70;36.65;130.76;0.08;97.43;0.03;;;-3962;256;30013;44044.0;87081;-7.427;1.35206297;161394.0;0.8454196545803454;0.13083314207983004;0.010206555114801171;0.0430982791945678;62.56678542851084;53.96;149.54;35.70;0.0704984733335882;0.009554602084339617;0.031196672405700912;51.93838566683151;33.816734996622245;0.7883349339943599;0.0034682612096604047;0.013219815052736502;18.356594138728585;16.53365949022222;0.7883349339943697;36557;60672;
38049;10320;6280;101;91;12030;88.16723904844649;0.010995971695847677;19.368848989544464;9117;49.70;8.80;28.15;62.46453799128089;0.46;0.41;54.21;46.51;154.52;34.56;38.09;128.58;0.40;90.56;0.28;;;-3791;189;29909;44187.0;87057;-7.002;1.542164762;161342.0;0.8378324033579652;0.13806177990084403;0.5129638222895705;0.41548075731909934;64.53977908165977;46.51;154.52;34.56;0.0704984733335882;0.4801977896079018;0.3007455824034425;57.426733350079004;29.144965344610114;0.8145969817460221;0.16244321101028728;0.13297060319688395;19.19881367413593;14.250376465860729;0.8145969817460481;36686;60148;
37211;5001;6834;4;49;14463;19.342278101328517;0.0018366839472335808;19.378008277293077;9122;48.60;4.24;30.66;62.49407669427017;0.02;0.22;65.18;22.54;168.16;11.70;42.05;124.33;0.02;96.54;0.15;;;-3399;782;29507;44591.0;82203;-6.480;1.5594446899999999;157083.0;0.8259531374106434;0.15490598742137945;0.018496665915498915;0.2222550536064353;77.59301091277801;22.54;168.16;11.70;0.011775531790898656;0.015278054378399712;0.1401543098197589;3.8778926359784944;14.540872816278998;0.7680802848728673;0.006569252669517636;0.06784844249001246;3.877892635978577;6.9850088869919125;0.7680802848728702;37869;59613;
1190;18;8262;13;31;11659;0.8576689730129692;17.394480258601593;1.9853647026387176;935;1.55;0.02;37.10;6.402801166009864;0.06;0.14;52.54;0.08;203.29;0.81;35.50;131.99;111.58;62.64;0.10;;;-4155;14497;26960;34221.0;71898;22.103;31.0294539;147576.0;0.8057052145468541;0.31512503433726047;0.06724897756146661;0.143301882208289;62.546924309094436;0.08;203.29;0.81;111.52123128197239;0.009192759254275613;0.08744530546372041;0.023790488651481718;0.003217691980954993;0.7340227276625364;0.008575067899793403;0.042839198877028806;0.023790488651482193;0.003217691980955046;0.7340227276625333;31927;52562;
37969;3130;7424;18;115;13035;11.93276766580512;0.011014562607678765;19.368830398632632;9117;49.59;2.79;33.26;62.46447803559024;0.08;0.52;58.74;14.1;182.67;8.65;43.97;123.23;0.13;81.27;0.35;;;-3252;299;29362;44996.0;81837;-6.170;1.6979137460000002;156494.0;0.8194471672221133;0.16415359526963938;0.08961222259829868;0.5256511458635907;69.9291866359577;14.1;182.67;8.65;0.07061766524661087;0.056902647801479994;0.3875170988131721;3.4829131848986643;6.917774714021357;1.0876600202704458;0.02568214106009763;0.16949918593101246;3.482913184898712;3.879797416807672;1.0876600202704407;38751;59868;
10577;342;7966;82;68;12847;5.462493128938116;0.007826504921906794;19.372018456318404;9119;13.82;0.30;35.79;62.47475952162685;0.37;0.31;57.89;1.54;196.0;4.79;56.94;95.39;0.32;66.35;0.21;;;-1369;1551;28891;45400.0;79595;-2.916;2.1891916920000005;155437.0;0.7374255700246889;0.21172243845045144;0.4159549963919821;0.30955697577152735;68.92112619733776;1.54;196.0;4.79;0.05017807100582102;0.34220343315402874;0.223419406314018;3.575185180650153;0.7632456452004576;0.5584394636194582;0.12744770324909546;0.09995873299776528;3.575185180650268;0.42579715201649704;0.5584394636194695;39801;47674;
1005;563;8097;2;43;12011;0.9724279088346444;16.41009552883057;2.9697494324097384;1398;1.31;0.69;36.36;9.577441919521407;0.01;0.19;54.13;2.54;199.24;0.93;36.25;129.83;105.22;68.08;0.14;;;-4018;13965;27100;34750.0;72263;20.647;29.37059025;148078.0;0.8017765762286377;0.30623271265864677;0.011184743962822841;0.19370306190807987;64.43870201043151;2.54;199.24;0.93;105.21004546399145;0.011171769136904363;0.07998804169019673;0.1729952489008927;0.001250417810203467;0.707022431296447;0.0035777869682609314;0.04847413525986218;0.1729952489008976;0.0012504178102034928;0.7070224312964554;32138;52102;
39555;1671;7993;97;1;11423;6.17498403816702;0.010775154179912927;19.3690698070604;9117;51.67;1.43;35.81;62.465250127769785;0.44;0.01;51.48;7.53;196.66;3.57;45.60;123.02;0.39;69.21;0.01;;;-3159;-122;29251;45402.0;81665;-6.027;1.75489008;156196.0;0.8162060119076432;0.17174706211407212;0.4909417086383161;0.006691421065663368;61.280273415997414;7.53;196.66;3.57;0.06908274599367575;0.4207913525468992;0.00264610566266972;0.01102163064807614;4.621412221154295;1.1191127281550795;0.15263286914534208;0.001969769835834966;0.011021630648076309;2.287809051331552;1.119112728155091;39529;60501;
1530;281;8214;57;94;11549;1.0409403233246377;18.777173524361093;0.6026714368792204;284;2.00;0.32;36.89;1.943615383935486;0.26;0.42;52.04;1.27;202.12;1.03;33.31;136.47;120.62;63.50;0.42;;;-4472;15529;26838;33283.0;71390;24.049;33.423215758000005;147040.0;0.8175470698704675;0.32183619984323064;0.2868853127600227;0.42810782938401726;61.957553373474525;1.27;202.12;1.03;120.38609261673626;0.06486396586514226;0.007477723039556602;0.18626128826574134;0.09956505553439197;0.6827722906198055;0.049503360766579456;0.0074777230395568035;0.18626128826574315;0.09956505553439185;0.6827722906198208;31180;53347;
1607;77;8265;4;41;11583;0.96919214279208;15.42588664398525;3.95395831725506;1862;2.10;0.08;37.20;12.751515573147568;0.02;0.18;52.2;0.35;203.36;0.96;38.02;126.87;98.91;61.81;0.18;;;-3791;13023;27169;35527.0;72718;19.350;27.762632036000003;148437.0;0.7928166169824021;0.3041663372141113;0.020800712252861994;0.18630839326270246;62.14339179455626;0.35;203.36;0.96;98.89998704058263;0.01964111966902436;0.00888564149815982;0.6653143617129631;0.04254939956708775;0.23280162034484486;0.006976050206708851;0.008885641498159813;0.6653143617129776;0.041976220239764404;0.2328016203448522;32843;51756;
1572;271;8029;8;37;12676;1.297704848788677;14.312993386808731;5.0668515744315785;2385;2.05;0.30;36.11;16.34059632754184;0.03;0.17;57.12;1.22;197.56;1.22;38.95;124.47;91.79;68.94;0.12;;;-3632;12467;27314;36081.0;73096;17.704;25.88628111;148958.0;0.7898883464643048;0.29516727506685025;0.038363306876384354;0.17051979809610157;68.0047290968493;1.22;197.56;1.22;91.76489450084682;0.03622463943055101;0.10488556189170883;0.6116276706345573;0.12102788819729296;0.42393908863456714;0.01088722583934707;0.051761147835387634;0.6116276706345578;0.12102788819729367;0.4239390886345697;33134;51286;
37217;4675;6894;1;51;14463;18.000961959426657;0.0015505979492908897;19.37829436329102;9122;48.61;3.99;30.92;62.494999321613534;0.01;0.23;65.18;21.07;169.63;11.19;42.32;124.09;0.01;95.12;0.16;;;-3375;745;29484;44633.0;82111;-6.440;1.568213776;156973.0;0.8250371839365395;0.15614670237502215;0.006848361442674228;0.23272676166786357;77.59301091277801;21.07;169.63;11.19;0.009941348632288682;0.005644852828891815;0.14641882815464652;3.8778926359784944;13.178089627819771;0.792916014644854;0.0029336562365991133;0.07091256274034008;3.877892635978577;6.450763092710528;0.7929160146448556;37989;59604;
1607;31;8282;13;40;11525;2.587082267140637;2.1012087303754288;17.27863623086488;8134;2.10;0.03;37.24;55.72360184453924;0.06;0.18;51.94;0.14;203.79;2.55;58.55;92.22;13.51;59.57;0.17;;;-1161;3352;28536;44258.0;78095;0.968;5.752444389999999;154241.0;0.7247860782617055;0.23839558424515314;0.06421251794787455;0.18266270760492354;61.82905355160471;0.14;203.79;2.55;13.471479533055987;0.05659585814580047;0.013675707924040386;2.0579333459495373;0.017148070634433257;0.4417292844868255;0.020753779587039816;0.013675707924040468;2.0579333459495652;0.016903207192090684;0.4417292844868268;39139;45489;
1122;786;7881;13;26;12978;3.077201199557213;5.681241464448416;13.698603496791893;6448;1.46;0.88;35.45;44.17799627715386;0.06;0.12;58.48;3.54;193.91;3.01;51.40;101.88;36.47;71.83;0.08;;;-1965;6351;28235;41629.0;76581;5.734;11.591744519999999;152796.0;0.743247830092615;0.24860344017937194;0.06742532724121392;0.11732366820444741;69.62324887383042;3.54;193.91;3.01;36.42414340101813;0.0537112875618846;0.0709855925599314;2.267090968549871;0.309362981257245;0.3760503696282811;0.020521017164785788;0.03590981014670539;2.267090968549937;0.3093629812572563;0.3760503696282815;36964;47116;
1796;18;8263;4;53;11639;5.216599126755261;10.44865824048054;8.931186720759769;4204;2.35;0.02;37.10;28.803077174450255;0.02;0.24;52.45;0.08;203.32;5.13;45.09;113.64;67.00;57.43;0.17;;;-2823;9242;27685;38772.0;74973;12.454;19.515437362;150672.0;0.7635655185684049;0.27806176435540825;0.02260819313498384;0.24152686643439353;62.43933837854224;0.08;203.32;5.13;66.98948257719289;0.022238999249752745;0.1468434403569373;4.309560925905436;0.002972316290867566;0.7349834449522666;0.00714922547535706;0.07282679866133515;4.3095609259055125;0.002972316290867615;0.7349834449522715;35197;49501;
1105;52;8261;13;32;11629;3.8666464065806165;12.734639157902127;6.645205803338185;3128;1.44;0.05;37.01;21.430788715765647;0.06;0.14;52.41;0.23;203.27;3.77;41.97;119.20;81.69;59.72;0.10;;;-3238;11018;27443;37258.0;73937;15.666;23.300550146;149656.0;0.7756388661629531;0.29012251462349953;0.0645607377326395;0.14571858266046692;62.38989962496313;0.23;203.27;3.77;81.6455920330579;0.061520842413401534;0.09148038807617219;2.493254984960163;0.04517558644541189;1.175214604685468;0.02111283106837113;0.043597396424193524;2.49325498496019;0.03814373852030618;1.1752146046854943;34112;50358;
1220;3;8262;13;30;11672;2.5431387805457173;12.829038007037727;6.5508069542025815;3084;1.59;0.00;37.10;21.126352427303324;0.06;0.14;52.6;0.01;203.3;2.46;41.84;119.47;82.29;60.66;0.10;;;-3257;11126;27431;37211.0;73815;15.794;23.456846512;149583.0;0.7759765249182221;0.2908251454378873;0.06795476971299076;0.13829131621517704;62.617201389738824;0.01;203.3;2.46;82.25081137452099;0.06176833884541896;0.08538986432398632;1.660306439739907;0.0012210345436741274;0.7344531030927312;0.021129693622079518;0.04242776133183299;1.6603064397399343;0.0012040094147187182;0.7344531030927214;34079;50422;
1044;414;7947;58;55;12916;0.9831383596227243;13.787520443406201;5.592324517834108;2633;1.36;0.47;35.73;18.035246570014998;0.26;0.25;58.2;1.87;195.53;0.89;39.64;122.83;88.67;71.67;0.17;;;-3523;12246;27376;36368.0;73227;17.067;25.090246552;149217.0;0.7867415621519539;0.2921464576707324;0.2952434336079487;0.24872482244326458;69.2913787307452;1.87;195.53;0.89;88.39592981881017;0.01894044574464866;0.17428604542107334;0.17592905444386978;0.15958775340725195;0.4543950606058806;0.018940445744648624;0.07970616024012576;0.17592905444387197;0.15958775340725212;0.4543950606058866;33284;50882;
1170;78;7827;13;54;13951;3.272812419816407;2.7128432079180778;16.667001753322232;7846;1.53;0.09;35.17;53.751080654464204;0.06;0.25;62.87;0.35;192.58;3.16;56.53;94.28;17.44;72.38;0.17;;;-1358;4269;28513;43531.0;77685;1.690;6.725357154;153998.0;0.7322651128914786;0.2370480096095234;0.0665901058248595;0.2479734543389782;74.84353787885468;0.35;192.58;3.16;17.39285165892517;0.06264930207854169;0.14524769153068554;2.4833174663876783;0.028944114681242892;0.5526538451382587;0.02118923671563216;0.07425086185405294;2.483317466387774;0.02894411468124283;0.5526538451382679;38474;45732;
