PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfEVCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;Total Local System Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;Annual MaximumImportElectr.;Annual MaximumExportElectr.;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KW;KW;
1172;69;7395;8;9;21804;0.14903718454711284;19.35210713201688;0.02773782922343078;1.53;0.07;33.32;0.05;0.03;0.04;80.57;0.25;168.95;0.14;29.40;142.52;137.08;98.50;0.04;;;-6352;21497;26759;28791.0;70423;7.673;39.896194512;147470.0;0.8618407860437136;0.331848909273233;0.03556822309304405;0.03987180632533621;98.2575458689583;0.25;168.95;0.14;137.05355791965675;0.01972862083584521;0.0013110735334365305;0.09740501630730838;0.009556070609299715;0.021036403261222986;0.009364872373574092;0.0013110735334365751;0.09740501630730893;0.009556070609299713;0.021036403261223163;29363;53818;
39491;12766;7408;3;4;9341;10.915301759123576;0.019133460393821463;19.36071150084649;51.58;11.05;33.17;36.21;0.01;0.02;34.52;46.02;169.27;10.78;27.39;165.52;0.14;98.38;0.02;;;-7930;-4060;31611;33990.0;89624;-35.191;3.1837148872;151165.0;0.8191855280479002;0.10979464920118287;0.013151796063792891;0.020169396059337524;42.093965106591504;46.02;169.27;10.78;0.135505079855083;0.007689820758814454;3.4412373370309475E-4;4.22839680790102;5.596659309230578;1.0822116974994604;0.003291190456269545;3.4412373370309E-4;4.167999513577354;5.521048819835774;1.0822116974994855;37062;70036;
1024;33;7409;6;1;21762;0.12153863913762708;12.319098969262946;7.060745991977366;1.34;0.03;33.37;13.21;0.02;0.01;80.42;0.12;169.28;0.11;33.28;132.96;87.26;98.21;0.01;;;-5589;13524;28117;30698.0;75605;-2.177;27.064100454400002;147944.0;0.7816070337110348;0.2782455944911499;0.02699467685700477;0.005578607734060469;98.07041769270747;0.12;169.28;0.11;87.2450908102171;0.024070875105794854;1.1013541151506968E-4;0.021685818241052306;0.007756828890478227;0.06791498148878662;0.0072539108504286656;1.1013541151507207E-4;0.021685818241052857;0.007756828890478395;0.06791498148878773;30645;53765;
1454;42;7399;6;3;21814;0.103647281906623;12.980704266254534;6.3991406949857765;1.90;0.04;33.34;11.97;0.02;0.01;80.61;0.15;169.04;0.08;32.73;134.25;91.95;98.45;0.01;;;-5695;14248;27996;30514.0;75145;-1.397;28.250033890399997;147903.0;0.7898022892819978;0.28295036630557135;0.02843785257910526;0.011440585667603722;98.30494781405059;0.15;169.04;0.08;91.93064568404124;0.027398439258168095;0.0016340746286461903;0.06167862810949383;0.00892209237231265;0.0040140475380022475;0.007410689332539969;0.0014882671122893193;0.06167862810949386;0.008922092372312996;0.004014047538002239;30216;53913;
39491;10577;7410;8;7;11457;9.280068078293684;0.01806937259440793;19.361775588645905;51.58;9.15;33.18;36.22;0.03;0.03;42.34;38.13;169.31;9.20;28.20;164.43;0.15;98.17;0.03;;;-7812;-3949;31520;33990.0;89324;-34.701;3.2805947360000003;150885.0;0.8179270519298543;0.11431782027417815;0.03531087225507036;0.03170655542776359;51.62901842048569;38.13;169.31;9.20;0.1279691036508564;0.029603947774905614;5.394739729346983E-4;3.530309198005386;4.637139092657728;1.082476365882731;0.01047449695244029;5.394739729347003E-4;3.5303091980053662;4.5744904324905145;1.0824763658827543;37311;70019;
1409;110;7402;3;23;21707;0.130431832802258;15.16974331935844;4.210101641881871;1.84;0.11;33.36;7.87;0.01;0.1;80.21;0.4;169.12;0.13;31.51;137.12;107.44;98.28;0.10;;;-5927;16731;27574;29925.0;73535;1.705;32.2561407848;147765.0;0.8133018230925049;0.30008692172933127;0.013079702446740345;0.10254466316805753;97.82201374958898;0.4;169.12;0.13;107.43363916202841;0.006719169867438474;0.0040306395693522285;0.11247058965544815;0.0022836463473423513;0.0049277873626767995;0.003146678878319808;0.004030639569352342;0.11247058965545062;0.0022836463473423427;0.004927787362676887;29361;53900;
1414;0;7404;6;24;21794;0.12466746968536958;8.368004653022181;11.01184030821813;1.85;0.00;33.35;20.60;0.02;0.11;80.54;0.0;169.17;0.12;35.50;128.29;59.28;98.19;0.10;;;-5199;9023;28887;31761.0;78549;-7.854;19.883660040000002;148220.0;0.7442970099063891;0.24575275361932433;0.025133946729795728;0.1100708153366881;98.21640550450306;0.0;169.17;0.12;59.26304575316839;0.01674067092365615;0.009348841879845178;0.023896739343755892;1.429258440976064E-4;0.07453829169401475;0.006734943858434185;0.009348841879845398;0.023896739343756458;0.0;0.07453829169401674;33170;53900;
39491;9051;7532;4;15;12187;4.544060702277576;0.004139288683073473;19.37570567255724;51.58;7.81;33.86;36.24;0.01;0.07;45.03;32.63;172.09;4.47;29.01;163.19;0.04;98.28;0.06;;;-7686;-3835;31447;34092.0;88882;-34.203;3.3494745848000003;150586.0;0.8136827399348036;0.11841093712234908;0.01668229763058151;0.06885366569574075;54.92005757019022;32.63;172.09;4.47;0.029314856382394647;0.008950281501617191;0.011881543587880987;0.012233797974012738;4.071323922647419;0.43967115656664524;0.003420033744201838;0.010653213134458954;0.01223379797401261;4.00410131168561;0.4396711565666505;37556;69925;
1408;60;7397;4;26;21780;0.06465880528381679;7.8283091862459555;11.551535774994354;1.84;0.06;33.33;21.61;0.02;0.11;80.48;0.22;169.01;0.06;35.80;127.65;55.45;98.44;0.11;;;-5146;8417;28994;31904.0;78943;-8.632;18.901059984;148258.0;0.7394254693508255;0.24101842280226363;0.017451815062075018;0.11797101132704362;98.15029984668034;0.22;169.01;0.06;55.44086848791248;0.010358921980859661;0.004636990474209279;0.016603101926503886;0.007691975694924639;0.025367815207319334;0.005645270244332928;0.004636990474209444;0.01660310192650432;0.007691975694924821;0.025367815207320146;33504;53899;
