CHP3_C HP3_C PP_Cap Wind_C OffShoreWind_C PV_C Boiler3_C Anl_CHP3_heat_P Anl_CHP_elec_P Anl_HP3_heat_P Anl_PP_P Anl_Wind_P Anl_OffShoreWind_P Anl_PV_P Anl_Boiler_P Import Export CO2Emission Annual_Cost
(MW) (MW) (MW) (MW) (MW) (MW) (MJ) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (Mton) (DKK)
0 42 206 495 284 0 38 0.00 0.00 0.52 0.15 0.99 1.09 0.00 0.00 0.00 0.79 -0.279 3490 
0 59 244 67 153 0 0 0.00 0.00 0.52 0.74 0.17 0.59 0.00 0.00 0.00 0.06 0.296 3042 
0 51 251 20 217 3 28 0.00 0.00 0.52 0.68 0.05 0.83 0.00 0.00 0.00 0.13 0.240 3076 
43 1 128 1154 531 337 193 0.01 0.02 0.03 0.01 1.01 1.72 0.07 0.14 0.00 1.19 -0.514 4452 
2 38 224 238 372 1 63 0.00 0.00 0.51 0.21 0.50 1.40 0.00 0.01 0.00 0.69 -0.207 3402 
47 0 86 1288 490 285 196 0.01 0.02 0.00 0.01 1.09 1.66 0.07 0.15 0.00 1.20 -0.519 4493 
1 31 192 689 372 10 88 0.00 0.00 0.48 0.08 0.95 1.37 0.00 0.02 0.00 0.97 -0.389 3736 
61 0 84 1483 665 289 196 0.01 0.02 0.00 0.00 0.98 1.87 0.05 0.11 0.00 1.24 -0.541 4826 
1 31 192 689 372 10 88 0.00 0.00 0.48 0.08 0.95 1.37 0.00 0.02 0.00 0.97 -0.389 3736 
3 51 246 25 253 7 26 0.01 0.01 0.51 0.61 0.06 0.97 0.00 0.00 0.00 0.23 0.167 3127 
0 50 252 12 107 8 32 0.00 0.00 0.52 0.99 0.03 0.41 0.01 0.00 0.00 0.00 0.431 2957 
0 44 252 9 201 0 53 0.00 0.00 0.52 0.73 0.02 0.77 0.00 0.00 0.00 0.09 0.279 3051 
0 51 244 69 100 7 28 0.00 0.00 0.52 0.88 0.17 0.38 0.00 0.00 0.00 0.01 0.380 2991 
0 44 252 9 231 0 53 0.00 0.00 0.52 0.68 0.02 0.88 0.00 0.00 0.00 0.16 0.229 3082 
0 57 257 10 115 3 7 0.00 0.00 0.52 0.97 0.03 0.44 0.00 0.00 0.00 0.01 0.421 2962 
0 50 230 214 319 0 20 0.00 0.00 0.52 0.29 0.51 1.22 0.00 0.00 0.00 0.59 -0.131 3322 
0 49 284 0 3 3 35 0.00 0.00 0.52 1.42 0.00 0.01 0.00 0.00 0.00 0.00 0.619 2837 
0 50 284 0 3 3 32 0.00 0.00 0.52 1.42 0.00 0.01 0.00 0.00 0.00 0.00 0.619 2837 
2 47 253 0 149 18 41 0.01 0.01 0.51 0.86 0.00 0.57 0.01 0.00 0.00 0.03 0.364 3003 
1 46 183 651 442 91 35 0.00 0.00 0.52 0.07 0.82 1.51 0.04 0.00 0.00 1.00 -0.409 3808 
3 48 200 604 341 9 27 0.00 0.00 0.52 0.09 0.96 1.28 0.00 0.00 0.00 0.91 -0.356 3638 
0 50 247 37 29 2 32 0.00 0.00 0.52 1.23 0.09 0.11 0.00 0.00 0.00 0.00 0.535 2891 
2 47 204 494 356 1 31 0.00 0.00 0.52 0.11 0.85 1.33 0.00 0.00 0.00 0.86 -0.328 3569 
1 47 250 17 68 9 42 0.00 0.01 0.51 1.11 0.04 0.26 0.01 0.00 0.00 0.00 0.486 2924 
