PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;LPG_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualLPGBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;LPGConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;LPGBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
31575;5231;1353;590;115;11852;2273;1723;860.0;38.61;3.66;4.21;1.43;1.22;0.24;24.6;16.28;13.48;4.99;38.74;23.79;53.15;0.27;2084.0;1708.0;2870.0;-843.0;5933.0;1586.0;3078.0;1445.66;9451.863790527974;-13.035;22378.560073230776;1.3742928975487116;0.2599144610994752;1.5296982291325294;0.26591131506903765;32.79456579673086;16.28;13.48;9.42;12.84;
33727;9409;1474;2;756;4953;62;47;4747.0;41.24;6.59;4.59;7.90;0.0;1.57;10.28;29.29;14.68;8.96;41.43;0.61;50.32;1.74;51.0;47.0;2717.0;-652.0;2631.0;1952.0;3804.0;7979.7;12356.717870748711;-18.081;33603.09956143498;1.3030773209206103;0.1705540902222235;0.004689323962216049;1.7431094861559902;13.705854118629619;29.29;14.68;.26;.35;
24085;10387;988;155;590;5830;41;31;4784.0;29.45;7.28;3.08;7.96;0.32;1.22;12.1;32.33;9.84;7.70;30.51;0.80;56.55;1.36;92.0;31.0;3054.0;-639.0;2914.0;1861.0;3651.0;8041.9;11225.560311986388;-12.579;32611.173121812197;1.0265986029016658;0.14300406746279248;0.40314608536091573;1.3599608004292008;16.132838553817106;32.33;9.84;.17;.23;
32001;6692;1936;34;1590;5943;2693;2042;121.0;39.13;4.69;6.03;0.20;0.07;3.3;12.33;20.83;19.28;4.71;39.42;26.46;42.49;3.67;2218.0;2023.0;2294.0;-872.0;6591.0;1679.0;3140.0;203.4;10541.893176818816;-12.191;22279.676025896766;1.361616784942919;0.2968796492324986;0.08705738129482843;3.667281264373217;16.44573623162231;20.83;19.28;11.16;15.21;
31437;11147;930;1;1188;4522;921;698;3237.0;38.44;7.81;2.90;5.39;0.0;2.47;9.38;34.7;9.27;4.86;39.94;9.02;55.89;2.74;754.0;693.0;3018.0;-928.0;4242.0;2071.0;3359.0;5441.39;12893.679304283056;-17.172;31334.54775440976;1.2996808819263126;0.16805756524499754;0.0019750102254485905;2.739894092445874;12.512607859067643;34.7;9.27;3.82;5.2;
24804;2534;2203;143;1111;11268;1933;1466;1457.0;30.33;1.77;6.86;2.42;0.3;2.31;23.38;7.89;21.95;8.88;28.83;19.30;41.04;2.56;1637.0;1452.0;2216.0;-421.0;5548.0;1194.0;3463.0;2449.22;6901.712538476194;-5.836;21053.651473241287;1.0634517766497462;0.31269353128590166;0.3698338818889088;2.562651095935824;31.178615294950177;7.89;21.95;8.01;10.92;
32914;9451;1446;202;50;5528;2163;1640;1053.0;40.25;6.62;4.50;1.75;0.42;0.1;11.47;29.42;14.4;3.62;41.36;21.70;52.07;0.11;1848.0;1624.0;2812.0;-992.0;5371.0;1940.0;3142.0;1770.09;12240.41238362108;-15.896;25545.935855349042;1.3869873573851372;0.21794630818153743;0.5231166984944972;0.11436302657070672;15.296656181041447;29.42;14.4;8.96;12.22;
36234;2927;1420;100;315;15274;1187;900;2769.0;44.31;2.05;4.42;4.61;0.21;0.65;31.7;9.11;14.15;8.69;43.14;11.89;53.65;0.73;1011.0;892.0;2897.0;-619.0;4405.0;1495.0;3438.0;4654.69;8906.169091508822;-16.465;25745.24933197865;1.4720249928997442;0.24596566023334288;0.25905157011286734;0.7266546710355246;42.26341949750198;9.11;14.15;4.92;6.71;
12801;7483;1229;450;30;9297;802;608;3446.0;15.65;5.24;3.82;5.73;0.93;0.06;19.29;23.29;12.24;7.53;15.98;9.02;54.84;0.07;826.0;602.0;2961.0;-300.0;4157.0;1394.0;3494.0;5792.72;7654.692496423415;-2.463;26034.73132223021;0.6579904841869578;0.18529000049802005;1.1671726712111952;0.06829976707127232;25.72447245149368;23.29;12.24;3.32;4.53;
41887;11027;1108;26;539;4476;1404;1064;2388.0;51.22;7.72;3.45;3.97;0.05;1.12;9.29;34.33;11.03;4.00;52.64;13.82;55.29;1.24;1160.0;1055.0;2986.0;-1077.0;4472.0;2261.0;3267.0;4014.23;14602.356737006685;-23.985;31071.327345255857;1.6857142857142857;0.1801909844260381;0.06663704543851394;1.242212298306361;12.384408916485606;34.33;11.03;5.82;7.93;
27883;11012;973;188;577;4945;98;74;4684.0;34.10;7.71;3.03;7.79;0.39;1.2;10.26;34.28;9.69;7.22;35.33;1.45;56.53;1.33;151.0;74.0;3053.0;-734.0;2912.0;1987.0;3628.0;7873.8;12230.347370455262;-15.449;33446.06526368772;1.15;0.14066727462275538;0.4881829686440592;1.331245747748917;13.684364050390807;34.28;9.69;.41;.55;
40907;8528;1885;313;679;4067;2691;2040;125.0;50.02;5.97;5.87;0.21;0.65;1.41;8.44;26.55;18.78;3.77;50.81;27.16;44.44;1.57;2322.0;2021.0;2400.0;-1050.0;6118.0;2005.0;3123.0;210.12;13117.869811694136;-19.498;24702.488457435826;1.6918784872907628;0.27264983923407043;0.8110509457521722;1.5655372173806332;11.254023678668103;26.55;18.78;11.15;15.2;
