PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;LPG_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualLPGBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;LPGConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;LPGBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
14923;590;2046;417;127;15650;2598;1970;288.0;18.25;0.41;6.37;0.48;0.87;0.26;32.48;1.84;20.38;8.44;17.38;26.53;45.60;0.29;2286.0;1953.0;2462.0;-220.0;6601.0;852.0;3205.0;484.13;4119.093464839034;1.905;15557.270824627878;0.7817135937026946;0.33405925175010814;1.0813326806674683;0.29210132635852376;43.30360147929289;1.84;20.38;10.77;14.68;
24353;10963;988;155;602;4953;41;31;4784.0;29.78;7.68;3.08;7.96;0.32;1.25;10.28;34.13;9.84;7.45;31.00;0.80;56.37;1.39;92.0;31.0;3044.0;-666.0;2883.0;1911.0;3650.0;8041.9;11617.306154457072;-12.992;33020.91896428288;1.0330467490596456;0.13874221191325822;0.40314608536091573;1.388925698246035;13.705854118629619;34.13;9.84;.17;.23;
5387;7319;1078;247;751;9747;2755;2089;12.0;6.59;5.13;3.35;0.02;0.51;1.56;20.23;22.78;10.74;3.46;8.92;27.63;55.45;1.73;2351.0;2070.0;2994.0;-214.0;7666.0;1241.0;2837.0;20.17;6286.78103553164;4.479;18063.288425522842;0.4189509306260575;0.24712713357774044;0.6407893771763119;1.7318404652082426;26.971641955454754;22.78;10.74;11.42;15.57;
29311;8877;977;185;994;7713;99;75;4682.0;35.84;6.22;3.04;7.79;0.38;2.06;16.01;27.63;9.74;8.13;36.47;1.45;55.88;2.29;151.0;74.0;3018.0;-669.0;3173.0;1847.0;3630.0;7870.44;11182.58847500405;-15.390;32515.888469904643;1.2050797081869766;0.1658744611677269;0.478872662509328;2.2913216809090855;21.3413463538361;27.63;9.74;.41;.56;
36605;1166;2064;96;322;14823;2760;2092;4.0;44.76;0.82;6.42;0.01;0.2;0.67;30.76;3.63;20.56;7.23;43.49;27.28;45.56;0.74;2297.0;2074.0;2460.0;-699.0;6361.0;1330.0;3163.0;6.72;8035.107561885491;-13.463;18899.943358549226;1.5553511192885618;0.32834627884338335;0.24873171059715557;0.7421927089951772;41.01726968548025;3.63;20.56;11.44;15.59;
36047;6066;1499;241;552;9809;2759;2092;5.0;44.08;4.25;4.67;0.01;0.5;1.15;20.36;18.88;14.94;4.00;44.77;27.64;50.74;1.27;2351.0;2072.0;2740.0;-983.0;6536.0;1734.0;2976.0;8.4;10733.320180666044;-15.840;21992.86492649571;1.580362929358393;0.2769735597634466;0.6244012484181716;1.273511696206423;27.141266189660275;18.88;14.94;11.43;15.59;
41354;8528;1885;307;179;4573;2691;2040;125.0;50.57;5.97;5.87;0.21;0.64;0.37;9.49;26.55;18.78;3.76;51.35;27.15;45.84;0.41;2319.0;2021.0;2475.0;-1055.0;5911.0;2014.0;3123.0;210.12;13191.869811694136;-20.050;24578.488457435826;1.7083075015499072;0.26358316360707257;0.7955327103280604;0.4126281185305529;12.654067381740584;26.55;18.78;11.15;15.2;
33798;8495;1469;0;1609;5495;790;599;3467.0;41.33;5.95;4.57;5.77;0.0;3.34;11.4;26.44;14.63;7.27;41.33;7.73;48.26;3.71;647.0;593.0;2606.0;-737.0;4047.0;1881.0;3577.0;5828.02;11816.395626491849;-16.723;30713.322384783252;1.330777656078861;0.21043427984714652;3.54392648569068E-4;3.7111496142046176;15.205730027699191;26.44;14.63;3.27;4.46;
39749;9276;2215;82;175;2093;819;621;3416.0;48.61;6.50;6.90;5.68;0.17;0.36;4.34;28.87;22.07;8.33;47.97;8.23;41.88;0.40;702.0;615.0;2262.0;-706.0;3020.0;2023.0;3816.0;5742.29;13454.229518986083;-20.466;31566.999869814877;1.4525283797729618;0.20734909842353014;0.21274068167614976;0.40320218286860254;5.791336844999127;28.87;22.07;3.39;4.63;
27376;8447;1437;24;915;6391;740;561;3555.0;33.48;5.92;4.47;5.91;0.05;1.9;13.26;26.29;14.31;7.43;33.55;7.31;50.55;2.11;615.0;557.0;2730.0;-647.0;3810.0;1751.0;3583.0;5975.95;10711.264794341889;-12.615;29485.579079235442;1.1208971553610503;0.19447914267290398;0.061198516809253374;2.1102852496993565;17.684406612569692;26.29;14.31;3.07;4.18;
37900;12377;1417;282;780;469;160;121;4575.0;46.35;8.67;4.41;7.61;0.59;1.62;0.97;38.53;14.11;7.24;47.35;2.29;49.46;1.80;237.0;120.0;2671.0;-837.0;2671.0;2271.0;3757.0;7690.57;14826.335325677623;-22.009;35918.77775982334;1.4290575916230366;0.15383911991521632;0.7324978461263117;1.7991129205257543;1.298788614165762;38.53;14.11;.66;.9;
6610;5974;1290;202;47;11493;2057;1559;1240.0;8.08;4.18;4.02;2.06;0.42;0.1;23.85;18.6;12.85;5.65;8.96;20.66;55.05;0.11;1761.0;1545.0;2973.0;-85.0;6271.0;1148.0;3123.0;2084.44;5729.738471840147;3.552;19630.835437597674;0.45288282703037824;0.22976992015923464;0.5247467594963052;0.1084356750254599;31.803131184918783;18.6;12.85;8.52;11.62;
41864;10256;1074;26;461;5869;2090;1585;1181.0;51.19;7.18;3.34;1.96;0.05;0.96;12.18;31.93;10.7;2.82;53.00;20.54;56.15;1.06;1722.0;1570.0;3032.0;-1165.0;5464.0;2202.0;3043.0;1985.26;14126.372568973738;-23.142;28034.64153394119;1.773189326556544;0.20657784352606792;0.0676704167022753;1.0626838618606216;16.24047528118863;31.93;10.7;8.66;11.81;
5363;320;1936;139;280;16706;2693;2042;121.0;6.56;0.22;6.03;0.20;0.29;0.58;34.67;1.0;19.28;9.05;6.72;26.73;47.47;0.65;2258.0;2023.0;2564.0;271.0;7321.0;645.0;3140.0;203.4;2395.3397197030254;8.480;13829.122568780977;0.48657821659981493;0.340447410585144;0.359753896846715;0.6456241561787884;46.226884237013884;1.0;19.28;11.16;15.21;
41914;11076;1097;61;336;4619;397;301;4158.0;51.25;7.76;3.42;6.92;0.13;0.7;9.59;34.48;10.93;6.50;52.30;4.05;55.88;0.77;348.0;299.0;3017.0;-916.0;2984.0;2266.0;3576.0;6989.59;14634.242429580812;-25.013;34724.05306153226;1.610076670317634;0.14769755885609312;0.15788685329288157;0.7747992815156428;12.781351755686273;34.48;10.93;1.65;2.24;
31380;5207;1439;53;156;11974;919;697;3240.0;38.37;3.65;4.48;5.39;0.11;0.32;24.85;16.21;14.33;8.43;37.70;9.14;53.39;0.36;772.0;691.0;2883.0;-603.0;3880.0;1576.0;3527.0;5446.44;9424.873279403135;-14.296;27184.86857702764;1.2796116504854371;0.21533674384134496;0.1371892610452504;0.35909258528444493;33.132041206811344;16.21;14.33;3.81;5.19;
40288;1503;2825;90;252;10742;2526;1915;415.0;49.27;1.05;8.79;0.69;0.19;0.52;22.29;4.68;28.14;9.08;47.03;24.97;35.57;0.58;2103.0;1898.0;1921.0;-582.0;5530.0;1391.0;3487.0;697.61;9004.985939523338;-15.068;20537.199843385733;1.5734716769489625;0.34445704791818615;0.2325491877386711;0.5803312897559191;29.723979367789482;4.68;28.14;10.47;14.27;
10671;11035;965;149;616;4946;42;32;4782.0;13.05;7.73;3.01;7.95;0.31;1.28;10.26;34.35;9.62;7.54;14.47;0.80;56.62;1.42;91.0;31.0;3058.0;-286.0;3284.0;1644.0;3644.0;8038.54;9378.24980028728;-3.474;30904.444711781223;0.5926225094238019;0.13229472959235897;0.38763689489836217;1.4201220803535595;13.684961596593977;34.35;9.62;.17;.24;
8785;4742;1046;860;48;13856;2425;1839;592.0;10.74;3.32;3.26;0.98;1.79;0.1;28.76;14.76;10.42;4.87;11.82;25.98;56.79;0.11;2310.0;1822.0;3067.0;-282.0;6994.0;1108.0;2928.0;995.15;5291.056006281904;2.865;17924.753912514527;0.5486522024983563;0.2582169137677786;2.2319812487307313;0.11075974311684657;38.34172720418744;14.76;10.42;10.05;13.7;
41772;14241;261;225;4047;13;29;22;4805.0;51.08;9.97;0.81;7.99;0.47;8.4;0.03;44.33;2.6;5.12;54.49;0.86;55.45;9.33;108.0;22.0;2994.0;-1115.0;4289.0;2556.0;3413.0;8077.2;16352.30945725334;-26.149;39626.81019956375;1.7041166380789021;0.1673231354118432;0.5830825742976695;9.331466178933052;0.037231737722310476;44.33;2.6;.12;.16;
32914;8953;1446;161;135;6232;2163;1640;1053.0;40.25;6.27;4.50;1.75;0.33;0.28;12.93;27.87;14.4;3.82;41.20;21.60;52.08;0.31;1833.0;1624.0;2812.0;-972.0;5422.0;1901.0;3143.0;1770.09;11939.854129091518;-15.683;25258.37760081948;1.3882207832254088;0.22240019003730643;0.41743054124783163;0.3109470322399948;17.24333537401019;27.87;14.4;8.96;12.22;
7380;2618;2157;91;76;12449;2738;2076;42.0;9.02;1.83;6.71;0.07;0.19;0.16;25.83;8.15;21.49;7.96;9.15;27.06;44.63;0.18;2277.0;2058.0;2410.0;67.0;6905.0;854.0;3199.0;70.6;4041.734376370938;6.454;15113.510241340144;0.5191140776699029;0.3159550451781587;0.23601157128344807;0.17636305229054364;34.446560772346224;8.15;21.49;11.35;15.47;
39706;3583;1215;15;356;15318;2630;1994;232.0;48.55;2.51;3.78;0.39;0.03;0.74;31.79;11.15;12.11;4.68;48.70;25.80;56.33;0.82;2161.0;1976.0;3042.0;-953.0;6472.0;1627.0;2920.0;389.99;9832.725999632878;-18.273;21480.20220612945;1.7588138385502472;0.2748673375500202;0.03971998536420875;0.8199077652655605;42.38546947482451;11.15;12.11;10.9;14.86;
22602;1279;1295;147;1533;17080;2729;2069;58.0;27.64;0.90;4.03;0.10;0.31;3.18;35.45;3.98;12.9;5.95;27.47;27.11;52.24;3.53;2291.0;2050.0;2821.0;-622.0;7437.0;1099.0;2918.0;97.5;5709.945902215798;-4.493;17321.06495383994;1.1026064005278786;0.323265400382355;0.38236386715189835;3.533901130466221;47.26195199399195;3.98;12.9;11.31;15.42;
34910;7166;1847;362;439;6483;2517;1908;431.0;42.69;5.02;5.75;0.72;0.75;0.91;13.45;22.31;18.4;4.61;42.97;25.59;45.82;1.01;2198.0;1891.0;2474.0;-913.0;5943.0;1779.0;3166.0;724.51;11290.237617274204;-15.052;23345.794707791538;1.4572741194486982;0.2705403406090086;0.9401401351524585;1.0120147136375595;17.938582857420865;22.31;18.4;10.43;14.22;
37843;6815;2200;158;150;5808;2395;1816;645.0;46.28;4.77;6.85;1.07;0.33;0.31;12.05;21.22;21.91;5.63;45.87;23.87;42.59;0.35;2021.0;1800.0;2300.0;-851.0;5404.0;1792.0;3321.0;1084.24;11651.104442793987;-16.720;23915.376654821084;1.5102639296187683;0.27200148162247506;0.40875510677147103;0.3454192162353715;16.070792139430868;21.22;21.91;9.93;13.53;
21369;10261;1073;35;426;5895;1988;1507;1361.0;26.13;7.19;3.34;2.26;0.07;0.88;12.23;31.94;10.69;3.13;27.96;19.56;56.24;0.98;1642.0;1494.0;3037.0;-886.0;5572.0;1792.0;3074.0;2287.84;10718.241983373617;-8.891;24843.121798209093;0.9782882315921965;0.19493824957380596;0.09135307814465245;0.9819662301117993;16.31207493374868;31.94;10.69;8.24;11.23;
32537;3571;1423;147;930;13633;2704;2050;102.0;39.79;2.50;4.43;0.17;0.3;1.93;28.29;11.12;14.18;5.04;39.85;26.86;51.62;2.15;2270.0;2032.0;2787.0;-848.0;6805.0;1471.0;2967.0;171.46;8628.142587346383;-12.451;20147.4554022716;1.458414554905783;0.29664599673480857;0.3810541813731683;2.1454309138838754;37.723048495498695;11.12;14.18;11.21;15.27;
6995;2483;2199;93;74;12449;2738;2076;42.0;8.55;1.74;6.85;0.07;0.19;0.15;25.83;7.73;21.91;8.18;8.67;27.06;44.11;0.17;2278.0;2058.0;2382.0;107.0;6917.0;834.0;3214.0;70.6;3905.218971576007;6.854;14983.994836545213;0.5090634441087614;0.3192423619992296;0.24248562050359448;0.17060834187263574;34.446560772346224;7.73;21.91;11.35;15.47;
39615;8465;1499;259;978;5770;2395;1816;645.0;48.44;5.93;4.66;1.07;0.54;2.03;11.98;26.35;14.93;3.63;49.38;24.13;48.90;2.25;2059.0;1800.0;2641.0;-1054.0;6037.0;1994.0;3088.0;1084.24;12773.443075096227;-19.415;25639.715287123327;1.6612347226574744;0.25477479463274166;0.6721817141315145;2.25498749210793;15.967249402475135;26.35;14.93;9.93;13.53;
22476;10656;1295;147;137;4410;2034;1542;1280.0;27.48;7.46;4.03;2.13;0.31;0.29;9.15;33.17;12.9;3.24;29.15;20.30;53.67;0.32;1722.0;1528.0;2898.0;-891.0;5384.0;1834.0;3132.0;2151.68;11193.127466584547;-9.446;25010.582398979415;1.0015460729746446;0.19714831831203133;0.38236386715189835;0.3169031360666641;12.201780575149238;33.17;12.9;8.43;11.49;
27376;8397;1452;21;918;6391;701;532;3623.0;33.48;5.88;4.52;6.03;0.04;1.9;13.26;26.14;14.47;7.59;33.52;6.92;50.36;2.12;582.0;528.0;2719.0;-636.0;3750.0;1746.0;3599.0;6090.26;10684.223578343699;-12.603;29593.746406520728;1.119248570650694;0.19453513894153987;0.05482392608074612;2.115951552569141;17.684406612569692;26.14;14.47;2.91;3.96;
29397;11035;965;1;1188;4522;41;31;4784.0;35.95;7.73;3.01;7.96;0.0;2.47;9.38;34.35;9.62;7.35;37.18;0.40;55.45;2.74;34.0;31.0;2994.0;-748.0;3017.0;2019.0;3644.0;8041.9;12495.24980028728;-16.424;34134.86261011309;1.1986541049798116;0.14664317768607146;0.0019750102254485905;2.739894092445874;12.512607859067643;34.35;9.62;.17;.23;
35252;11590;1786;36;660;244;160;121;4575.0;43.11;8.12;5.56;7.61;0.08;1.37;0.51;36.08;17.79;8.30;43.48;1.65;45.77;1.52;144.0;120.0;2472.0;-716.0;2434.0;2137.0;3878.0;7690.57;13998.776664029872;-19.404;34841.219098175585;1.3158831003811944;0.16422732641785706;0.09414073894629994;1.5215727750152455;0.6765022431238794;36.08;17.79;.66;.9;
37958;1076;2200;158;146;14420;2476;1877;503.0;46.42;0.75;6.85;0.84;0.33;0.3;29.93;3.35;21.91;8.09;44.70;24.66;44.09;0.34;2088.0;1860.0;2381.0;-640.0;5820.0;1343.0;3294.0;845.54;8216.896135341973;-14.428;20036.49756580652;1.5586064363743728;0.3232331678241368;0.40875510677147103;0.33699879486409273;39.90128869458091;3.35;21.91;10.26;13.99;
31790;13103;1364;175;494;27;2573;1951;332.0;38.87;9.18;4.25;0.55;0.36;1.02;0.06;40.79;13.59;1.77;42.14;25.66;51.06;1.14;2174.0;1933.0;2757.0;-1203.0;5984.0;2209.0;2988.0;558.09;14233.573570331366;-16.161;26313.944693421283;1.4173660426081345;0.2178591006836872;0.45523850749150363;1.1382046170659146;0.07487083642431325;40.79;13.59;10.66;14.54;
40249;11993;1474;903;276;654;76;58;4722.0;49.22;8.40;4.59;7.85;1.87;0.57;1.36;37.33;14.68;7.74;50.03;3.08;48.48;0.64;402.0;56.0;2618.0;-821.0;2458.0;2285.0;3801.0;7937.68;14998.807324045027;-23.289;36334.465285582955;1.4958570688762298;0.16073350317995155;2.3418972128712636;0.635299858365142;1.8103833272573018;37.33;14.68;.31;.43;
8625;2414;1462;56;737;15467;2755;2089;12.0;10.55;1.69;4.55;0.02;0.12;1.53;32.1;7.51;14.56;6.32;11.10;27.14;52.19;1.70;2279.0;2070.0;2818.0;-144.0;7481.0;900.0;2965.0;20.17;4021.663017981037;4.727;15400.170407972239;0.5665040650406504;0.3039639349216551;0.14522446930991542;1.6994466109693174;42.79934931283936;7.51;14.56;11.42;15.57;
36603;12607;1435;91;896;111;1189;901;2766.0;44.76;8.83;4.47;4.60;0.19;1.86;0.23;39.25;14.3;4.47;46.11;11.87;49.37;2.07;1007.0;894.0;2666.0;-998.0;4113.0;2263.0;3442.0;4649.64;14753.585230398647;-20.314;32064.538623370678;1.4348936170212765;0.1778494217070623;0.23484925677755608;2.06595463354983;0.30836336384159835;39.25;14.3;4.93;6.71;
31399;9290;2211;87;170;2093;2759;2091;6.0;38.40;6.51;6.88;0.01;0.18;0.35;4.34;28.92;22.03;4.03;39.16;27.24;41.94;0.39;2292.0;2072.0;2265.0;-930.0;5844.0;1857.0;3211.0;10.09;12071.707176585602;-12.894;22999.960871581203;1.3060175385545811;0.2625527014099511;0.22605652197083376;0.391365880384439;5.791336844999127;28.92;22.03;11.43;15.58;
31277;12607;1435;91;896;111;1534;1163;2159.0;38.25;8.83;4.47;3.59;0.19;1.86;0.23;39.25;14.3;3.71;39.85;15.26;49.37;2.07;1291.0;1153.0;2666.0;-996.0;4659.0;2156.0;3335.0;3629.28;13866.585230398647;-16.272;29865.20647964905;1.272196261682243;0.1865859194559131;0.23484925677755608;2.06595463354983;0.30836336384159835;39.25;14.3;6.36;8.67;
36344;8755;1990;101;317;3795;2700;2047;109.0;44.44;6.13;6.19;0.18;0.21;0.66;7.88;27.25;19.82;3.89;45.20;26.70;44.57;0.73;2249.0;2029.0;2407.0;-997.0;5914.0;1926.0;3156.0;183.23;12520.322320204148;-16.511;23811.597779290896;1.5081413210445471;0.26244614932614435;0.2619386902049553;0.7304531715660217;10.500367146479386;27.25;19.82;11.19;15.25;
23355;10595;1153;23;730;4717;1089;826;2941.0;28.56;7.42;3.59;4.89;0.05;1.52;9.79;32.98;11.49;5.08;29.69;10.72;54.28;1.68;900.0;818.0;2931.0;-776.0;4327.0;1854.0;3380.0;4943.82;11268.545266561337;-10.944;28796.564763571725;1.0031736872475479;0.1721597817281195;0.059445837681528765;1.6839186616158974;13.052400386429667;32.98;11.49;4.51;6.15;
38296;540;2211;97;160;15218;2759;2091;6.0;46.83;0.38;6.88;0.01;0.2;0.33;31.58;1.68;22.03;7.80;45.23;27.26;44.21;0.37;2296.0;2072.0;2387.0;-667.0;6227.0;1307.0;3211.0;10.09;7994.818189193152;-14.213;18756.071884188754;1.603568188690656;0.33582414589615495;0.2524102563058612;0.3679403387533035;42.10785554117997;1.68;22.03;11.43;15.58;
5182;5923;1201;90;4;12156;2760;2093;3.0;6.34;4.15;3.74;0.00;0.19;0.01;25.23;18.44;11.96;4.34;8.20;27.26;56.69;0.01;2294.0;2074.0;3061.0;-116.0;7367.0;1120.0;2877.0;5.04;5440.250586984195;4.945;16812.377434481994;0.4191176470588235;0.24860281386747832;0.2326205377376564;0.008169094725252615;33.636588380819006;18.44;11.96;11.44;15.59;
17302;10050;1255;88;161;5550;2748;2083;25.0;21.16;7.04;3.91;0.04;0.18;0.33;11.52;31.29;12.5;2.37;23.74;27.14;54.46;0.37;2284.0;2065.0;2941.0;-872.0;6558.0;1685.0;2898.0;42.02;9957.465712024685;-5.042;21166.18944117302;0.8665781613010289;0.22508834069130945;0.22844937872354218;0.37181112460124927;15.35598091925081;31.29;12.5;11.39;15.52;
8483;12983;977;832;88;1810;33;25;4798.0;10.37;9.09;3.04;7.98;1.73;0.18;3.76;40.42;9.74;6.81;12.37;2.49;55.53;0.20;341.0;25.0;2999.0;-246.0;3218.0;1753.0;3649.0;8065.43;10191.46810656978;-2.491;31809.00620471866;0.5155913978494624;0.1202971243985061;2.158831973093027;0.20315467340784468;5.009402053859055;40.42;9.74;.14;.19;
8707;2993;2046;310;516;11759;2738;2076;42.0;10.65;2.10;6.37;0.07;0.64;1.07;24.4;9.32;20.38;7.37;10.79;27.62;44.18;1.19;2360.0;2058.0;2386.0;-58.0;7081.0;916.0;3164.0;70.6;4461.878821135104;5.533;15736.65468610431;0.556713672593501;0.3187147240831487;0.8048651674725444;1.1904567326793307;32.537685534259516;9.32;20.38;11.35;15.47;
8044;10030;1139;721;181;5483;2757;2090;9.0;9.84;7.03;3.55;0.02;1.5;0.38;11.38;31.22;11.35;2.42;12.84;28.87;54.20;0.42;2529.0;2072.0;2927.0;-503.0;7176.0;1504.0;2858.0;15.13;8376.326957338058;1.694;19938.707499831464;0.5129411764705882;0.22858309514135944;1.8704170174189199;0.41691059208817205;15.170412183577541;31.22;11.35;11.43;15.57;
39706;3389;1276;15;400;15274;458;347;4051.0;48.55;2.37;3.97;6.74;0.03;0.83;31.7;10.55;12.71;10.21;47.55;4.53;55.45;0.92;381.0;344.0;2994.0;-580.0;3411.0;1608.0;3615.0;6809.73;9727.364765091443;-20.010;29335.317836288006;1.5657359718080779;0.22046167046801132;0.03971998536420875;0.9216160797009988;42.26341949750198;10.55;12.71;1.9;2.59;
6007;6066;1254;277;109;11394;2752;2086;18.0;7.35;4.25;3.90;0.03;0.57;0.23;23.65;18.88;12.49;4.32;9.10;27.66;55.13;0.25;2358.0;2067.0;2977.0;-168.0;7345.0;1145.0;2897.0;30.26;5676.027746289114;4.572;17111.788831275917;0.4456991032879442;0.2535721169465039;0.718713364805047;0.25094338403807426;31.528419723965172;18.88;12.49;11.4;15.54;
8625;6197;1458;241;552;9809;2755;2088;13.0;10.55;4.34;4.54;0.02;0.5;1.15;20.36;19.29;14.53;4.50;11.94;27.60;51.25;1.27;2347.0;2070.0;2768.0;-310.0;7231.0;1197.0;2964.0;21.85;6238.966171061095;3.241;17666.18251021823;0.534808067664281;0.2660476832056632;0.6244012484181716;1.273511696206423;27.141266189660275;19.29;14.53;11.42;15.56;
17414;1090;2063;83;19;15259;2663;2019;174.0;21.29;0.76;6.42;0.29;0.17;0.04;31.67;3.39;20.55;7.98;20.44;26.30;46.46;0.04;2212.0;2002.0;2509.0;-330.0;6454.0;940.0;3191.0;292.49;4818.6887522631005;-0.231;15875.045907135529;0.8640924293098207;0.32230078021808267;0.21509915653013692;0.044341003725507214;42.222559215636316;3.39;20.55;11.04;15.04;
40500;8293;2085;336;1021;3090;2747;2082;27.0;49.53;5.81;6.49;0.05;0.7;2.12;6.41;25.82;20.77;4.13;50.05;27.76;40.82;2.35;2375.0;2063.0;2204.0;-1012.0;6244.0;1968.0;3173.0;45.39;12956.352776333371;-18.535;24414.494403813573;1.6558679706601467;0.28879730456928976;0.8713363407339353;2.3540668408241148;8.55143933723767;25.82;20.77;11.38;15.51;
41652;10935;1136;516;41;4483;79;60;4717.0;50.93;7.66;3.54;7.85;1.07;0.08;9.3;34.04;11.32;7.54;51.87;2.12;54.95;0.09;260.0;60.0;2968.0;-850.0;2510.0;2248.0;3688.0;7929.27;14515.066019177084;-24.816;35739.17923488535;1.5813148788927334;0.1461809926655718;1.3396823488850023;0.09344174025502683;12.405018595804286;34.04;11.32;.33;.45;
17254;9937;1290;202;47;5550;2075;1573;1208.0;21.10;6.96;4.02;2.01;0.42;0.1;11.52;30.93;12.85;3.50;22.65;20.84;54.02;0.11;1776.0;1559.0;2917.0;-749.0;5580.0;1673.0;3119.0;2030.65;9889.036208028909;-5.477;23533.446800476562;0.8118596709096555;0.20058348686414962;0.5247467594963052;0.1084356750254599;15.35598091925081;30.93;12.85;8.6;11.72;
33192;8262;1177;107;974;7776;2577;1954;325.0;40.59;5.79;3.66;0.54;0.22;2.02;16.14;25.72;11.72;2.91;42.20;25.52;53.66;2.25;2151.0;1936.0;2898.0;-1063.0;6510.0;1866.0;2926.0;546.32;11505.556582873822;-15.351;23687.965061802206;1.4848584595128373;0.24908616739871667;0.27691158583939296;2.2462231230958056;21.51606197400201;25.72;11.72;10.68;14.56;
7612;4671;1592;276;123;11851;2754;2088;14.0;9.31;3.27;4.96;0.02;0.57;0.25;24.59;14.54;15.86;5.57;10.29;27.69;50.97;0.28;2360.0;2069.0;2752.0;-151.0;7148.0;1050.0;3007.0;23.53;5183.309556631385;4.620;16426.234844954455;0.5089858793324775;0.27844837700330444;0.7151047758761662;0.28293889803155886;32.79221476283703;14.54;15.86;11.41;15.56;
22916;10230;1267;55;1347;4068;1594;1208;2054.0;28.02;7.17;3.94;3.42;0.11;2.8;8.44;31.85;12.62;4.25;29.20;15.75;51.06;3.11;1326.0;1198.0;2757.0;-815.0;5260.0;1810.0;3260.0;3452.77;11003.432024975096;-9.521;26897.61361180248;0.9973166368515207;0.20427656611166015;0.14369150787425297;3.1057736381155525;11.256312366424508;31.85;12.62;6.61;9;
36519;3635;2036;139;279;11255;2692;2041;123.0;44.66;2.55;6.34;0.20;0.29;0.58;23.36;11.32;20.28;6.17;43.95;26.73;45.29;0.64;2258.0;2023.0;2445.0;-789.0;6143.0;1524.0;3174.0;206.76;9474.804419854434;-14.495;20649.00516726425;1.5317848410757948;0.304306892653238;0.359753896846715;0.6435063212177909;31.142216323728686;11.32;20.28;11.16;15.21;
5158;1269;1553;101;522;16918;2721;2063;72.0;6.31;0.89;4.83;0.12;0.21;1.08;35.11;3.95;15.47;7.56;6.93;26.91;51.75;1.20;2267.0;2045.0;2795.0;165.0;7610.0;735.0;3004.0;121.03;2853.536819985102;7.674;14397.581159932313;0.4654673947960166;0.3184324020020387;0.2608397750657239;1.204074201450841;46.81386218387408;3.95;15.47;11.28;15.37;
40955;13305;1108;159;91;1374;741;562;3553.0;50.08;9.32;3.45;5.91;0.33;0.19;2.85;41.42;11.03;4.79;51.95;7.67;55.57;0.21;667.0;557.0;3001.0;-1048.0;3279.0;2422.0;3473.0;5972.59;15820.066036107643;-24.959;34618.96242266933;1.5965109735509284;0.13956524556054867;0.4113792433176151;0.21090324672515232;3.8009206932214687;41.42;11.03;3.07;4.19;
36344;265;1990;139;279;16530;2700;2047;109.0;44.44;0.19;6.19;0.18;0.29;0.58;34.31;0.83;19.82;7.61;42.98;26.80;46.77;0.64;2264.0;2029.0;2526.0;-663.0;6360.0;1258.0;3156.0;183.23;7521.44422747656;-13.097;18590.71968656331;1.5542242703533027;0.3315819207775013;0.359753896846715;0.6435063212177909;45.74015013558478;0.83;19.82;11.19;15.25;
29312;5255;1168;170;1575;11661;2082;1579;1195.0;35.84;3.68;3.64;1.99;0.35;3.27;24.2;16.36;11.64;5.03;36.05;20.84;52.72;3.63;1771.0;1565.0;2847.0;-815.0;6286.0;1552.0;3075.0;2008.79;9045.805777907251;-11.558;23196.000031197767;1.2914177931468092;0.2651970073384913;0.43984393281138495;3.631570543045074;32.267975128628485;16.36;11.64;8.63;11.77;
12819;87;2210;97;161;15903;2759;2091;6.0;15.68;0.06;6.88;0.01;0.2;0.33;33.0;0.27;22.01;8.90;14.87;27.26;44.34;0.37;2296.0;2072.0;2394.0;-112.0;6790.0;762.0;3210.0;10.09;3517.6347182260133;3.813;14295.888413221615;0.7187783489567584;0.3458953885567143;0.2524102563058612;0.3701763791460732;44.00337555846354;0.27;22.01;11.43;15.58;
41652;10832;1169;81;477;4481;739;561;3556.0;50.93;7.59;3.64;5.92;0.17;0.99;9.3;33.72;11.64;5.80;51.88;7.45;54.55;1.10;637.0;555.0;2946.0;-949.0;3502.0;2238.0;3494.0;5977.63;14460.428229348085;-24.219;33327.45146340757;1.613878007834359;0.16358130882878347;0.209710259698265;1.1002837572355098;12.398698522618469;33.72;11.64;3.06;4.18;
