PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfEVCars;NumberOfFCEVCars;Eloctrolyzer_Cap;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualH2demand;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;Total Local System Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;Annual MaximumImportElectr.;Annual MaximumExportElectr.;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;1000 units;KWe;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KW;KW;
39931;33;7196;12;17;17591;1.9126344265131972;19.047062444886485;0.32799993408046313;0.0047825822733629335;8;52.16;0.04;35.90;0.61;0.01647264812414395;0.06;0.08;79.27;0.15;164.42;1.90;20.63;183.86;134.94;92.96;0.07;;;-15997;7892;27815;28796.0;75040;-20.138;38.3255694824;139543.0;1.0227568270481144;0.30675429517272307;0.061272217997933254;0.07569794700818801;93.26304966967508;0.15;164.42;1.90;134.89320094093057;0.02926226062331508;0.010459857014037026;0.42020479829668755;0.003558192027254581;1.4491493185519029;0.016462847538096535;0.010204726726162485;0.4202047982966975;0.0035581920272545523;1.4491493185519237;29358;70168;
39493;988;7026;5;23;17502;0.8025909427489024;5.503952585753536;13.853038014165298;0.022854361321476415;36;51.58;1.07;35.32;25.91;0.07871727669956122;0.02;0.1;78.87;4.45;160.52;0.79;27.82;166.70;39.00;98.70;0.09;;;-13611;-3899;42881;32367.0;91117;-37.324;13.597021473599998;162466.0;0.8658417163714056;0.1885166074363219;0.024653135410912835;0.10407337241118905;92.78884636326016;4.45;160.52;0.79;38.97954260756512;0.015541278206502604;0.017053363105972497;0.3140470132816513;0.29347829914403206;0.16247098901074394;0.006602843974602089;0.01526111747426662;0.3140470132816593;0.2934782991440304;0.16247098901074952;34665;69921;
39867;831;7066;5;66;17409;0.9939978071333024;12.855270945246353;6.516141234839261;0.008432781154697637;14;52.07;0.90;35.49;12.19;0.029045028131125073;0.02;0.3;78.45;3.75;161.45;0.98;23.43;176.25;91.06;97.10;0.29;;;-14977;2503;34730;30406.0;82357;-28.203;27.0046356264;149996.0;0.9458576097768935;0.2539774665766763;0.02599384100039839;0.2996450445725759;92.29639871654827;3.75;161.45;0.98;91.0423143613292;0.02253496228783052;0.004448507079419277;0.3957321351277922;0.24866642667524658;0.322615775963014;0.007167099406379875;0.00444850707941943;0.395732135127799;0.24866642667525252;0.322615775963025;30015;70105;
39918;159;7056;16;1;18186;0.8946935148169578;10.65371863058022;8.68472892031659;0.04139741034349958;65;52.14;0.18;35.36;16.24;0.1425851004461156;0.07;0.0;81.96;0.72;161.22;0.88;24.97;173.06;75.51;97.29;0.00;;;-14514;619;37140;30993.0;84925;-30.780;22.9802220056;153677.0;0.9209412640096729;0.2366670290175245;0.08025400245355736;0.0039479068065485555;96.41865076373118;0.72;161.22;0.88;75.45070071363219;0.02594165621611698;0.002497238841144528;0.1702015794674815;0.005768412587596532;0.6902846277046183;0.01670385223456083;0.0;0.17020157946748307;0.005768412587596641;0.6902846277046386;31502;70126;
39743;959;7072;12;5;17306;1.0667190089151384;17.480825711241298;1.5042575353865866;0.3947617146124259;620;51.91;1.11;35.49;2.81;1.3596777736395784;0.05;0.02;77.99;4.32;161.58;1.05;21.10;181.55;123.84;97.59;0.02;;;-15724;6677;29759;29314.0;77047;-22.148;35.414462728;142797.0;1.0045605512318445;0.29089758317913317;0.05810564694428506;0.024768849220716208;91.75065057489917;4.32;161.58;1.05;123.800955769582;0.0277499760923842;0.01577771133707452;0.5567039376223932;0.007694266475826252;0.45879311738746015;0.014560444517244543;0.006631656360465956;0.5567039376224081;0.007694266475826406;0.45879311738746764;29261;69879;
39843;654;7090;18;2;17518;0.8285621216221777;15.425275688654896;3.951347478214456;0.00322179437096001;6;52.04;0.72;35.61;7.39;0.011096826351897564;0.08;0.01;78.95;2.95;161.99;0.79;22.12;179.45;109.30;96.77;0.01;;;-15418;4768;31867;29726.0;79240;-24.948;31.6554225376;145601.0;0.9764569103328004;0.2754999288006166;0.08836086771098921;0.008895134590488074;92.87673949694016;2.95;161.99;0.79;109.24334495462284;0.05854349175680573;0.004363105146120475;0.2950274596172656;0.13468750659655693;0.33594055850542887;0.025925660732543786;0.0025977495292689484;0.29502745961726456;0.1346875065965604;0.33594055850543425;29133;70092;
39938;274;7209;8;56;17248;0.9416528555307403;3.720210302578664;15.422964089288964;0.23667056937268252;372;52.17;0.32;36.12;28.85;0.8151644420903305;0.03;0.25;77.73;1.24;164.72;0.94;29.79;163.77;26.38;93.08;0.23;;;-13130;-5522;44898;33049.0;93482;-38.972;10.4889144392;165907.0;0.8474605954465849;0.17613889686515427;0.03855431497208331;0.2519281227263786;91.4461482792415;1.24;164.72;0.94;26.34690138389236;0.012472176423439773;0.021160413506373387;0.1890304089856643;0.0014237379181095999;0.7175661186971533;0.007605262421413019;0.02116041350637343;0.18903040898566176;0.001423737918109642;0.7175661186971575;35983;70003;
39615;693;7070;12;5;17581;0.6859090540048987;14.396181617173239;4.928099014926854;0.0555643291402183;88;51.74;0.77;35.52;9.22;0.19138021885765388;0.05;0.02;79.23;3.12;161.54;0.66;22.69;177.77;102.00;97.46;0.02;;;-15199;3918;33024;30014.0;80456;-26.124;29.777782431199995;147412.0;0.9629629629629629;0.26690198620101;0.060269354430228184;0.024768799523464877;93.21222976080625;3.12;161.54;0.66;101.9551978309826;0.040108804366040286;0.0067267931906900575;0.21131119900278927;0.14173923813786055;0.28602301930751844;0.016655666875609817;0.004520360969205727;0.21131119900279063;0.14173923813786193;0.2860230193075218;29134;69958;
39493;988;7026;5;23;17502;0.8025909427489024;5.503952585753536;13.853038014165298;0.022854361321476415;36;51.58;1.07;35.32;25.91;0.07871727669956122;0.02;0.1;78.87;4.45;160.52;0.79;27.82;166.70;39.00;98.70;0.09;;;-13611;-3899;42881;32367.0;91117;-37.324;13.597021473599998;162466.0;0.8658417163714056;0.1885166074363219;0.024653135410912835;0.10407337241118905;92.78884636326016;4.45;160.52;0.79;38.97954260756512;0.015541278206502604;0.017053363105972497;0.3140470132816513;0.29347829914403206;0.16247098901074394;0.006602843974602089;0.01526111747426662;0.3140470132816593;0.2934782991440304;0.16247098901074952;34665;69921;
